Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Aleutians            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    36.1    40.6    48.5    60.3    68.4    72.0    70.2    66.4    58.6    54.1    46.4    39.6    59.1    69.5    53.0    39.0    55.1
 1902    36.4    41.1    48.7    61.3    68.0    71.3    70.5    65.7    57.4    53.8    46.4    39.3    59.4    69.1    52.5    39.1    55.0
 1903    36.5    41.4    48.7    61.1    68.2    70.8    71.0    65.8    59.0    54.1    46.4    39.5    59.3    69.2    53.2    39.2    55.2
 1904    36.7    41.6    48.4    61.6    68.4    71.6    70.3    65.8    59.1    53.8    46.4    39.5    59.5    69.2    53.1    39.2    55.3
 1905    36.6    41.5    48.5    61.1    67.8    71.1    71.2    65.6    59.5    54.4    46.6    39.8    59.2    69.3    53.5    38.9    55.3
 1906    35.6    41.4    48.2    61.0    67.5    71.7    71.0    65.9    58.9    53.9    47.1    40.2    58.9    69.5    53.3    39.9    55.2
 1907    36.6    42.8    49.3    62.3    68.8    72.1    71.5    66.9    59.4    54.6    47.2    41.2    60.2    70.1    53.7    40.3    56.1
 1908    37.2    42.6    49.4    61.6    68.2    71.6    71.1    66.9    59.3    54.3    47.4    39.6    59.7    69.8    53.7    39.8    55.8
 1909    37.6    42.3    49.0    61.9    69.0    71.7    70.5    65.8    58.4    54.7    47.8    40.3    60.0    69.4    53.6    39.4    55.8
 1910    36.1    41.8    49.1    61.6    69.2    71.9    72.0    66.2    59.7    54.6    47.6    40.8    60.0    70.0    54.0    39.8    55.9
 1911    37.3    41.4    47.8    62.0    68.8    71.9    71.5    66.5    60.2    55.0    47.7    41.1    59.5    69.9    54.3    40.2    55.9
 1912    37.1    42.3    49.1    62.3    68.4    71.9    71.6    66.2    59.2    55.1    47.5    41.5    59.9    69.9    53.9    40.6    56.0
 1913    37.9    42.5    50.4    61.8    69.2    71.6    70.8    66.0    59.0    54.5    46.8    39.3    60.5    69.5    53.4    39.1    55.8
 1914    36.9    41.0    49.0    62.1    68.5    71.7    70.8    66.0    59.0    53.7    46.7    39.2    59.9    69.5    53.1    39.2    55.4
 1915    38.3    40.3    48.4    61.9    67.7    71.9    72.3    66.0    58.8    54.0    45.9    38.5    59.3    70.1    52.9    38.4    55.3
 1916    35.1    41.6    49.0    61.6    68.2    72.1    71.2    66.2    59.5    54.5    46.5    39.5    59.6    69.8    53.5    40.2    55.4
 1917    37.1    44.1    50.2    61.3    69.0    72.2    70.5    66.0    59.4    54.5    46.9    40.6    60.1    69.6    53.6    40.0    56.0
 1918    37.3    42.3    48.4    60.7    68.0    71.6    70.1    65.3    58.7    53.9    45.8    39.4    59.0    69.0    52.8    39.5    55.1
 1919    37.6    41.4    49.3    60.4    67.8    72.6    70.4    66.2    59.0    53.8    47.4    39.8    59.2    69.7    53.4    38.9    55.5
 1920    35.8    41.0    47.8    60.8    68.3    71.0    71.4    65.9    58.5    54.2    46.8    39.3    59.0    69.5    53.2    38.8    55.1
 1921    36.2    40.8    48.5    61.2    68.2    71.7    71.2    66.9    58.5    53.6    46.3    38.9    59.3    69.9    52.8    38.7    55.2
 1922    35.7    41.4    48.6    62.0    68.6    72.0    71.2    66.3    58.8    54.4    46.5    40.2    59.7    69.8    53.2    39.0    55.5
 1923    35.3    41.4    48.8    61.8    68.5    71.9    70.9    64.9    59.4    55.3    46.3    39.8    59.7    69.2    53.7    37.4    55.4
 1924    35.4    37.0    49.6    60.4    67.5    71.0    71.1    66.1    59.3    54.2    46.2    38.6    59.2    69.4    53.2    36.0    54.7
 1925    27.8    41.6    49.7    60.0    67.1    70.2    67.5    63.8    61.6    54.9    45.3    34.9    59.0    67.2    53.9    35.8    53.7
 1926    33.1    39.5    49.5    60.3    65.9    70.0    68.8    63.4    60.1    53.5    46.8    39.5    58.5    67.4    53.5    39.4    54.2
 1927    36.8    42.1    47.6    61.3    68.4    71.4    69.8    65.9    57.6    53.2    45.3    39.4    59.1    69.0    52.0    40.6    54.9
