Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Armenia              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    68.1    67.1    64.2    62.4    57.6    41.8    34.6    33.2    37.4    49.4    59.3    70.3    61.4    36.5    48.7    69.7    53.8
 1902    69.3    69.6    64.0    62.8    57.6    42.0    37.1    34.8    36.7    48.5    61.0    69.8    61.5    38.0    48.7    69.4    54.4
 1903    68.9    69.4    63.1    62.2    56.9    45.3    36.5    34.2    39.0    48.5    61.0    68.7    60.7    38.6    49.5    67.9    54.5
 1904    67.7    67.2    67.1    63.5    56.7    43.4    35.0    35.0    38.4    52.3    61.9    68.9    62.4    37.8    50.9    67.6    54.8
 1905    65.4    68.5    70.7    61.1    57.4    45.3    41.1    43.6    36.8    46.7    61.0    72.0    63.1    43.3    48.2    69.9    55.8
 1906    68.6    69.1    65.1    65.5    57.2    45.3    39.2    37.8    40.0    49.7    62.0    69.8    62.6    40.8    50.5    69.8    55.8
 1907    68.8    70.8    62.0    63.9    47.3    39.1    33.9    39.8    45.9    57.0    64.1    69.6    57.7    37.6    55.6    69.2    55.2
 1908    69.6    68.5    64.7    63.2    49.2    37.4    39.4    37.5    38.8    52.2    62.9    74.5    59.0    38.1    51.3    74.0    54.8
 1909    71.6    75.8    70.6    72.5    58.7    50.1    39.7    38.5    36.0    57.5    61.0    73.4    67.3    42.8    51.5    72.5    58.8
 1910    70.9    73.1    66.8    71.8    63.8    47.5    37.9    38.5    45.2    51.2    62.2    70.1    67.5    41.3    52.9    70.4    58.3
 1911    71.3    69.8    73.8    69.8    60.0    43.7    37.6    37.3    43.0    50.7    62.2    75.1    67.9    39.5    51.9    71.3    57.9
 1912    68.7    70.2    63.4    59.9    54.4    39.9    37.4    31.8    30.3    55.6    61.1    70.0    59.2    36.4    49.0    69.1    53.6
 1913    68.0    69.2    54.7    65.6    56.4    42.7    35.9    25.2    34.7    46.2    60.2    64.6    58.9    34.6    47.0    64.9    51.9
 1914    67.2    62.8    58.0    64.1    52.0    43.9    35.3    34.1    38.5    50.2    63.6    72.1    58.0    37.8    50.8    67.5    53.5
 1915    64.9    65.4    62.8    67.7    51.7    45.7    36.2    35.9    38.2    49.6    58.5    67.7    60.7    39.3    48.8    67.9    53.7
 1916    67.4    68.4    65.1    62.6    56.1    38.6    37.3    37.7    38.4    47.2    62.7    70.5    61.2    37.9    49.4    67.4    54.3
 1917    66.2    65.4    51.3    53.0    59.3    42.0    33.3    33.6    37.5    49.7    58.4    69.3    54.5    36.3    48.5    70.4    51.6
 1918    69.1    72.8    64.0    70.8    61.1    41.4    35.0    31.9    29.9    46.7    63.8    73.1    65.3    36.1    46.8    74.4    55.0
 1919    76.9    73.1    69.5    67.8    65.4    45.1    40.5    34.7    35.9    49.1    59.0    66.8    67.6    40.1    48.0    69.4    57.0
 1920    67.9    73.4    65.2    66.6    59.6    43.9    37.4    29.4    38.8    49.8    63.8    69.3    63.8    36.9    50.8    69.8    55.4
 1921    68.4    71.5    65.6    70.2    54.8    43.3    44.1    32.8    32.6    46.1    61.8    67.3    63.5    40.1    46.8    67.9    54.9
 1922    67.2    69.1    55.4    59.1    53.9    42.5    37.9    34.5    35.0    44.9    60.2    70.3    56.1    38.3    46.7    70.4    52.5
 1923    71.9    69.1    63.4    68.6    53.7    42.8    37.5    37.8    37.5    45.2    55.0    68.4    61.9    39.4    45.9    68.7    54.2
 1924    68.4    69.2    68.2    64.6    55.3    40.9    34.9    31.2    34.6    48.9    61.0    70.5    62.7    35.6    48.2    65.5    54.0
 1925    67.5    58.3    61.2    63.6    49.2    41.0    35.6    28.5    33.9    46.6    57.1    67.8    58.0    35.0    45.9    69.6    50.9
 1926    69.2    71.7    64.6    55.5    56.1    43.6    37.1    31.8    35.9    42.5    57.9    69.7    58.7    37.5    45.4    70.2    53.0
 1927    68.9    72.0    65.9    65.9    61.6    44.0    36.6    31.7    35.2    46.3    61.5    71.5    64.5    37.4    47.6    71.9    55.1
 1928    71.2    72.9    72.8    62.7    59.5    45.7    37.3    30.9    38.4    47.4    58.5    67.6    65.0    37.9    48.1    68.2    55.4
 1929    66.8    70.2    68.7    63.6    59.6    42.9    37.7    29.7    33.0    46.7    57.8    71.3    63.9    36.8    45.9    69.1    54.0
 1930    67.9    68.0    59.1    68.1    54.1    42.2    34.1    28.3    34.3    47.8    61.2    68.2    60.4    34.9    47.8    73.5    52.8
 1931    73.5    78.7    62.5    69.0    62.8    43.9    35.1    34.3    31.9    42.0    64.9    68.8    64.7    37.7    46.3    69.2    55.6
 1932    69.9    69.0    67.4    62.4    58.0    40.7    36.6    30.9    38.5    43.9    60.9    70.2    62.6    36.1    47.7    71.1    54.0
 1933    72.3    70.8    64.8    64.1    56.9    44.6    37.8    30.2    35.5    47.7    61.6    68.6    61.9    37.5    48.2    68.9    54.6
 1934    70.0    68.1    64.3    67.4    55.8    40.5    33.2    31.2    35.0    48.4    60.6    68.8    62.5    35.0    48.0    67.2    53.6
 1935    68.8    63.9    64.2    58.3    51.3    43.2    35.5    30.1    32.7    46.8    66.9    70.4    57.9    36.3    48.8    66.7    52.7
 1936    62.7    67.1    63.4    63.2    63.6    44.2    37.7    27.7    34.6    46.4    62.3    66.0    63.4    36.5    47.8    67.6    53.2
 1937    68.9    67.9    60.4    63.0    62.4    44.4    35.8    31.1    27.0    47.0    57.8    62.4    61.9    37.1    43.9    64.3    52.4
 1938    65.2    65.4    59.9    59.8    58.7    41.9    34.3    27.4    39.1    42.6    57.5    73.5    59.5    34.5    46.4    68.4    52.1
 1939    66.7    65.1    65.8    63.7    50.7    39.9    38.6    34.0    34.9    46.6    64.4    69.4    60.1    37.5    48.6    70.1    53.3
