Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bahamas              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    57.1    47.5    49.0    49.5    54.7    58.9    61.1    59.8    66.7    64.3    54.9    50.4    51.1    59.9    62.0    48.7    56.2
 1902    49.9    45.9    52.0    49.5    58.7    64.4    58.6    54.1    63.7    59.3    59.6    52.2    53.4    59.0    60.9    50.1    55.6
 1903    47.9    50.3    54.8    47.9    59.7    58.3    59.1    55.5    65.8    58.7    53.1    46.3    54.2    57.6    59.2    45.7    54.8
 1904    42.7    48.0    52.3    49.9    64.0    62.0    59.4    66.9    72.0    64.6    59.2    50.1    55.4    62.8    65.3    48.8    57.6
 1905    48.2    48.1    54.9    52.8    62.4    63.3    60.0    59.7    70.6    64.5    58.9    54.1    56.7    61.0    64.7    52.6    58.1
 1906    52.5    51.2    52.3    54.0    63.2    64.6    59.1    62.8    70.2    58.9    66.3    51.5    56.5    62.2    65.1    52.5    58.9
 1907    59.5    46.5    48.8    46.6    63.2    57.9    54.3    57.7    64.2    59.3    60.8    57.3    52.9    56.6    61.5    55.1    56.3
 1908    54.7    53.3    53.7    47.7    59.8    62.4    60.2    57.0    64.3    64.7    62.5    57.8    53.7    59.8    63.8    56.8    58.2
 1909    57.5    55.1    50.2    52.2    63.1    65.5    60.9    62.3    71.2    72.5    66.2    52.1    55.1    62.9    70.0    52.1    60.7
 1910    52.0    52.2    53.1    46.9    63.6    63.3    59.5    58.1    66.5    56.6    48.9    48.6    54.6    60.3    57.4    49.8    55.8
 1911    52.2    48.8    47.6    54.5    61.4    61.6    56.0    54.3    63.0    53.6    58.1    59.6    54.5    57.3    58.2    53.4    55.9
 1912    51.4    49.2    53.1    51.9    59.8    60.6    60.4    58.8    62.3    60.9    66.5    58.4    54.9    59.9    63.2    55.5    57.8
 1913    57.8    50.1    53.7    51.2    61.7    62.2    58.5    55.0    63.3    55.3    58.5    44.5    55.6    58.6    59.0    48.0    56.0
 1914    49.4    50.1    51.4    50.0    58.4    60.8    58.5    60.9    63.6    56.9    57.9    49.8    53.3    60.0    59.5    51.6    55.6
 1915    54.2    50.8    47.0    53.8    59.3    62.3    60.2    61.3    65.8    62.4    58.1    54.5    53.4    61.3    62.1    55.1    57.5
 1916    59.6    51.3    47.6    47.8    65.0    62.2    61.3    64.6    63.9    62.4    66.7    52.2    53.5    62.7    64.4    49.5    58.7
 1917    49.1    47.1    55.4    51.8    57.2    67.3    59.8    58.4    65.2    58.9    51.6    48.7    54.8    61.8    58.6    49.2    55.9
 1918    46.2    52.6    48.9    49.4    70.5    62.8    57.5    63.5    65.1    63.6    56.2    51.8    56.3    61.3    61.6    51.3    57.3
 1919    51.1    50.9    53.4    50.5    61.0    62.7    59.6    56.6    65.5    59.4    54.1    52.7    55.0    59.6    59.7    51.6    56.5
 1920    52.6    49.7    51.0    50.0    60.2    57.2    57.4    50.7    59.3    61.0    55.8    55.0    53.7    55.1    58.7    52.1    55.0
 1921    52.2    49.1    50.8    48.4    56.7    55.9    55.6    54.5    63.7    58.6    53.3    49.8    51.9    55.3    58.5    50.0    54.1
 1922    47.0    53.3    51.2    49.8    57.1    53.2    48.1    46.6    61.4    55.6    50.0    48.3    52.7    49.3    55.7    47.6    51.8
 1923    46.0    48.4    48.6    44.0    55.7    57.2    56.3    58.6    62.9    52.4    44.7    47.7    49.4    57.4    53.4    47.5    51.9
 1924    49.5    45.3    44.8    47.0    57.6    52.5    52.1    49.3    61.8    61.5    57.5    52.6    49.8    51.3    60.3    52.2    52.6
 1925    52.4    51.6    51.5    47.9    62.8    65.3    56.7    58.3    66.0    54.3    58.4    49.3    54.1    60.1    59.6    49.3    56.2
 1926    49.4    49.2    49.9    49.2    59.0    60.3    55.6    60.4    72.1    64.1    58.6    53.6    52.7    58.8    64.9    51.5    56.8
 1927    51.6    49.3    52.1    52.3    56.2    58.7    60.6    53.2    65.8    59.4    63.2    54.8    53.5    57.5    62.8    53.8    56.4
 1928    52.4    54.1    48.4    53.5    57.7    64.9    62.1    67.3    68.2    60.7    60.1    50.0    53.2    64.8    63.0    52.2    58.3
 1929    55.4    51.4    52.5    51.0    64.6    62.7    58.6    60.2    66.3    60.3    58.4    58.8    56.0    60.5    61.7    55.7    58.3
 1930    56.7    51.6    48.9    49.7    62.2    61.0    55.4    55.4    65.5    56.6    55.4    45.7    53.6    57.3    59.2    49.6    55.3
 1931    51.5    51.7    48.9    50.3    59.3    61.4    61.9    57.4    67.8    62.1    67.9    61.6    52.8    60.2    65.9    56.3    58.5
 1932    57.1    50.2    49.4    48.0    58.8    61.6    52.3    56.3    68.1    58.7    54.3    60.1    52.0    56.7    60.4    53.3    56.2
 1933    50.1    49.8    51.0    47.5    64.1    62.4    58.6    60.8    63.7    62.7    54.0    51.0    54.2    60.6    60.1    50.0    56.3
 1934    49.3    49.6    51.4    48.0    59.6    64.1    55.1    57.5    65.0    54.7    56.8    48.8    53.0    58.9    58.8    48.6    55.0
 1935    47.9    49.2    52.1    41.7    62.4    61.5    61.1    52.9    63.4    61.9    50.2    46.7    52.0    58.5    58.5    50.4    54.2
 1936    51.4    53.1    47.9    50.5    65.4    63.8    58.8    64.7    63.7    56.8    56.2    53.4    54.6    62.4    58.9    55.5    57.1
