Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Cambodia             : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1902    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.6    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1903    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1904    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.5    67.5    55.4    45.6    58.9    79.8    66.8    44.7    62.5
 1905    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1906    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1907    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1908    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.5    62.5
 1909    42.9    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.5    67.5    55.4    45.6    58.9    79.8    66.8    44.7    62.5
 1910    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.8    79.8    66.7    44.7    62.5
 1911    43.4    45.0    50.3    57.1    69.2    78.8    79.2    81.3    77.2    67.5    55.4    45.6    58.9    79.8    66.7    44.7    62.5
 1912    43.4    45.0    49.1    57.1    69.0    78.9    79.1    80.8    76.8    66.5    55.3    45.6    58.4    79.6    66.2    44.4    62.2
 1913    42.7    44.9    50.6    56.9    69.2    79.4    79.3    82.2    77.6    67.2    54.7    46.1    58.9    80.3    66.5    44.7    62.6
 1914    42.4    45.7    50.3    56.8    69.2    79.3    79.2    81.9    77.2    68.0    56.0    46.0    58.8    80.1    67.1    44.6    62.7
 1915    42.8    44.9    50.3    57.1    69.1    79.3    79.5    81.8    77.0    67.4    55.6    44.7    58.8    80.2    66.7    43.9    62.4
 1916    42.2    44.7    50.9    57.7    69.2    80.0    79.5    81.5    78.3    68.1    54.6    45.4    59.3    80.3    67.0    44.0    62.7
 1917    42.2    44.2    50.7    58.1    67.9    79.9    80.5    82.5    77.5    66.4    56.2    45.2    58.9    81.0    66.7    43.6    62.6
 1918    42.2    43.6    51.6    57.5    70.8    79.6    80.2    84.0    79.5    67.7    55.9    46.3    60.0    81.2    67.7    45.5    63.2
 1919    44.4    45.6    51.3    57.0    68.3    79.7    80.8    82.5    77.2    67.9    57.4    46.6    58.9    81.0    67.5    45.5    63.2
 1920    43.5    46.4    52.6    59.4    69.5    79.1    80.4    84.1    78.6    68.5    55.6    47.0    60.5    81.2    67.6    44.4    63.7
 1921    43.2    43.2    51.0    56.8    70.5    80.0    80.4    82.4    78.8    66.8    56.6    46.9    59.4    80.9    67.4    46.2    63.0
 1922    45.0    46.7    52.4    58.0    69.6    83.1    83.0    85.3    80.7    69.8    57.2    45.7    60.0    83.8    69.3    44.6    64.7
 1923    42.3    45.7    49.9    57.5    70.8    82.7    84.1    84.5    80.5    69.5    57.0    48.2    59.4    83.8    69.0    46.1    64.4
 1924    44.2    45.8    49.4    58.1    70.8    82.6    83.6    84.4    79.6    69.7    55.2    43.1    59.4    83.5    68.2    44.5    63.9
 1925    44.6    45.9    49.8    58.0    70.8    83.4    83.2    84.6    78.9    69.4    54.4    43.1    59.5    83.7    67.6    44.5    63.8
