Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Djibouti             : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1902    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1903    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1904    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1905    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1906    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1907    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1908    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1909    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1910    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1911    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1912    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1913    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1914    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1915    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1916    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1917    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1918    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1919    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1920    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1921    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1922    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1923    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1924    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1925    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1926    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1927    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1928    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1929    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1930    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1931    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1932    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1933    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1934    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1935    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1936    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1937    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1938    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
 1939    38.9    43.5    39.7    39.3    36.4    39.7    50.8    46.9    41.4    33.9    30.3    33.3    38.5    45.8    35.2    38.6    39.5
