Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Falkland_Isl         : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    65.3    65.6    64.7    62.7    63.0    60.6    63.5    63.6    62.2    63.3    68.2    71.4    63.5    62.6    64.5    67.8    64.5
 1902    67.5    64.4    64.1    64.3    62.5    60.6    61.0    63.7    62.1    63.5    69.2    70.3    63.6    61.8    64.9    66.3    64.4
 1903    66.6    62.1    63.3    63.4    62.5    59.7    61.3    62.4    62.3    63.4    68.8    70.2    63.1    61.1    64.8    67.4    63.8
 1904    67.8    64.1    66.3    64.5    63.1    61.1    61.7    62.4    58.7    63.4    69.3    70.5    64.6    61.7    63.8    67.2    64.4
 1905    66.9    64.1    63.3    62.1    61.9    58.7    60.9    61.9    60.4    62.3    66.6    70.3    62.4    60.5    63.1    66.9    63.3
 1906    67.4    62.9    66.2    62.0    62.0    59.7    60.8    62.8    62.1    63.4    67.9    70.3    63.4    61.1    64.5    64.8    64.0
 1907    67.8    56.2    63.1    60.8    61.5    59.3    61.4    63.8    62.7    64.1    70.0    71.5    61.8    61.5    65.6    67.1    63.5
 1908    66.6    63.1    65.5    66.2    63.3    60.5    62.7    63.6    62.9    63.8    69.7    70.9    65.0    62.3    65.5    67.6    64.9
 1909    67.8    64.3    65.9    64.4    63.8    62.7    62.0    63.9    63.8    63.9    69.7    71.0    64.7    62.9    65.8    68.4    65.3
 1910    69.0    65.2    66.6    62.3    62.8    59.9    63.7    63.5    61.9    60.0    64.1    68.7    63.9    62.4    62.0    67.1    64.0
 1911    67.6    65.1    63.3    64.3    64.1    60.6    62.2    63.7    63.3    63.4    69.6    70.3    63.9    62.2    65.4    66.7    64.8
