Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Heard_Isl            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1902    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1903    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1904    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1905    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1906    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1907    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1908    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1909    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1910    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1911    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1912    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1913    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1914    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1915    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1916    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1917    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1918    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1919    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1920    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1921    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
 1922    58.8    60.0    62.5    63.8    58.8    56.3    57.5    60.0    60.0    61.3    61.3    61.3    61.7    57.9    60.9    60.0    60.1
