Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ireland              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1902    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1903    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1904    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1905    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1906    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1907    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1908    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1909    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1910    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1911    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1912    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1913    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1914    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1915    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1916    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1917    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1918    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1919    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1920    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1921    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1922    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1923    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1924    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1925    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1926    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1927    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1928    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1929    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1930    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1931    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1932    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1933    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1934    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1935    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1936    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1937    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1938    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1939    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1940    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1941    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1942    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1943    75.9    76.1    74.3    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1944    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1945    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1946    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1947    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.2    74.1
 1948    75.9    76.1    74.2    69.2    70.7    74.3    76.3    74.0    73.2    75.0    73.9    76.5    71.4    74.8    74.0    76.3    74.1
 1949    76.7    75.7    72.2    70.4    67.7    68.3    74.6    74.2    70.4    75.3    74.1    78.3    70.1    72.4    73.3    76.3    73.2
 1950    77.1    73.6    71.0    70.8    67.6    72.9    76.8    75.3    74.7    75.9    72.1    76.8    69.8    75.0    74.2    76.2    73.7
 1951    76.8    75.0    73.6    68.5    71.1    71.7    77.7    75.3    74.1    74.5    74.6    75.3    71.1    74.9    74.4    75.8    74.0
 1952    76.8    75.2    75.2    67.5    68.2    74.9    77.2    75.1    72.7    76.4    73.0    77.2    70.3    75.8    74.0    76.0    74.1
 1953    77.0    73.9    67.1    66.1    68.7    73.3    78.3    73.4    74.5    75.2    75.2    77.6    67.3    75.0    75.0    76.7    73.4
 1954    77.4    75.2    75.2    67.0    74.3    77.4    80.6    75.8    74.0    74.7    71.4    78.8    72.2    77.9    73.4    77.5    75.1
 1955    77.3    76.5    67.8    64.6    72.0    78.7    67.7    70.3    73.5    73.2    73.0    76.9    68.1    72.2    73.2    75.5    72.6
 1956    75.9    73.7    72.4    63.9    68.1    73.6    77.0    75.1    75.7    75.1    75.4    78.1    68.1    75.2    75.4    75.4    73.7
 1957    72.9    75.2    76.7    68.1    69.3    68.2    80.2    77.1    75.6    75.7    74.8    77.9    71.4    75.2    75.4    76.6    74.3
 1958    76.1    75.8    76.8    70.4    69.5    76.5    77.2    76.8    75.2    77.0    77.0    76.6    72.2    76.8    76.4    75.4    75.4
 1959    74.1    75.7    75.3    71.1    67.7    72.3    75.2    73.3    67.4    74.0    74.3    76.5    71.4    73.6    71.9    76.1    73.1
 1960    75.9    75.8    79.7    69.3    69.9    74.2    78.7    74.5    74.6    75.7    74.1    77.8    73.0    75.8    74.8    78.2    75.0
 1961    74.9    82.1    78.5    76.4    65.9    80.6    81.9    75.5    73.1    73.2    75.1    67.1    73.6    79.3    73.8    73.6    75.4
 1962    75.3    78.3    68.5    60.0    66.5    71.4    80.5    74.1    78.0    72.8    81.1    75.4    65.0    75.3    77.3    71.9    73.5
 1963    66.0    74.3    71.4    78.5    73.7    69.3    78.1    83.8    73.8    80.1    72.7    72.3    74.5    77.0    75.5    77.8    74.5
 1964    83.5    77.5    79.6    73.6    76.1    79.4    84.0    75.1    71.0    75.8    71.6    75.0    76.4    79.5    72.8    74.0    76.9
