Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Isl_de_San_Andres    : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    53.8    48.7    50.0    50.0    60.8    66.7    65.6    65.3    67.3    65.7    64.4    58.3    53.6    65.9    65.8    53.7    59.7
 1902    53.9    48.8    49.9    49.6    61.2    67.0    66.2    65.9    67.5    65.0    63.8    58.8    53.6    66.4    65.4    53.7    59.8
 1903    53.5    48.7    49.4    50.0    61.2    66.8    66.2    65.6    67.0    65.2    63.8    58.9    53.5    66.2    65.3    53.6    59.7
 1904    53.1    48.7    50.0    50.0    60.9    67.5    66.3    65.8    67.5    65.0    63.9    58.5    53.6    66.5    65.5    53.3    59.8
 1905    53.2    48.2    50.0    50.1    61.3    67.5    66.2    66.2    67.5    65.0    64.3    58.2    53.8    66.6    65.6    53.4    59.8
 1906    53.5    48.4    50.0    50.0    61.3    67.5    65.5    65.3    67.4    65.0    63.8    58.8    53.8    66.1    65.4    53.7    59.7
 1907    53.8    48.6    50.0    50.0    60.9    67.4    66.1    65.4    67.5    65.0    63.8    57.8    53.6    66.3    65.4    53.0    59.7
 1908    53.0    48.1    50.0    49.7    60.5    66.5    65.5    65.2    66.6    65.0    63.8    57.8    53.4    65.7    65.1    53.2    59.3
 1909    53.0    48.8    50.0    48.7    60.7    66.6    65.5    65.3    67.5    65.1    63.8    57.7    53.1    65.8    65.5    53.1    59.4
 1910    53.3    48.2    50.0    50.0    61.1    67.0    64.8    65.4    67.5    64.4    63.4    57.2    53.7    65.7    65.1    53.0    59.4
 1911    53.3    48.6    50.0    49.3    60.7    67.7    66.0    65.3    67.5    65.0    63.8    58.9    53.3    66.3    65.4    53.8    59.7
 1912    53.8    48.8    50.0    50.0    60.9    66.6    66.3    66.3    67.5    65.0    63.8    58.8    53.6    66.4    65.4    53.4    59.8
 1913    53.4    48.0    50.0    50.0    60.8    67.1    66.3    65.3    67.5    65.0    63.8    57.8    53.6    66.2    65.4    53.2    59.6
 1914    53.5    48.2    50.0    49.8    60.8    67.5    66.0    65.9    67.5    65.0    63.8    57.6    53.5    66.5    65.4    53.1    59.6
 1915    53.6    48.0    50.0    50.0    61.0    67.5    66.0    66.3    67.5    65.0    63.8    58.8    53.7    66.6    65.4    53.6    59.8
