Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Jan_Mayen            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1902    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1903    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1904    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1905    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1906    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1907    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1908    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1909    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1910    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1911    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1912    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1913    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1914    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
 1915    77.1    75.9    77.1    75.0    80.0    82.5    85.0    84.2    83.8    84.6    80.9    79.2    77.4    83.9    83.1    77.4    80.4
