Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Kuril_Isl            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    76.4    68.9    70.2    69.8    75.0    82.7    83.4    82.4    70.8    63.5    68.6    71.3    71.7    82.8    67.6    67.2    73.6
 1902    70.6    59.6    68.6    74.3    78.0    79.7    83.1    80.6    68.9    55.0    68.7    69.4    73.6    81.1    64.2    70.3    71.4
 1903    74.9    66.5    69.8    65.0    80.4    80.5    83.5    82.5    68.0    63.8    70.5    71.7    71.7    82.1    67.4    72.3    73.1
 1904    76.2    69.1    78.2    71.9    71.8    75.6    80.2    82.0    68.2    63.8    73.2    73.3    74.0    79.2    68.4    72.1    73.6
 1905    78.3    64.7    67.2    79.5    70.4    78.3    78.3    83.2    69.5    62.6    69.6    81.1    72.4    80.0    67.2    79.3    73.6
 1906    83.1    73.8    62.6    76.9    74.7    77.9    80.5    80.6    65.9    61.6    70.3    71.8    71.4    79.7    65.9    75.8    73.3
 1907    80.1    75.4    67.6    71.4    77.0    79.0    82.5    79.1    72.5    60.5    70.1    74.2    72.0    80.2    67.7    68.0    74.1
 1908    72.2    57.6    74.8    72.1    81.6    80.0    82.2    76.3    70.6    63.9    72.2    72.3    76.2    79.5    68.9    67.2    73.0
 1909    70.7    58.7    67.8    72.0    78.0    77.5    80.5    82.2    72.4    66.5    71.6    78.6    72.6    80.1    70.2    74.7    73.0
 1910    73.7    71.8    72.7    75.6    75.1    79.8    83.1    80.6    66.1    59.6    71.5    66.5    74.5    81.2    65.8    65.7    73.0
 1911    72.6    58.0    69.4    73.5    68.7    81.4    82.8    82.2    66.8    62.8    74.2    64.1    70.6    82.1    67.9    67.0    71.4
 1912    72.0    64.8    65.6    67.9    77.6    83.5    83.2    80.3    70.6    61.0    72.8    69.6    70.4    82.3    68.1    61.7    72.4
 1913    69.6    46.0    57.2    64.3    82.7    85.3    88.2    84.5    71.8    66.9    71.2    81.3    68.1    86.0    70.0    80.2    72.4
 1914    75.8    83.3    70.7    79.2    74.2    83.4    85.1    84.6    73.8    60.0    72.7    75.5    74.7    84.4    68.8    68.7    76.5
 1915    67.7    62.7    75.7    66.4    92.7    79.1    88.6    84.7    70.0    64.9    72.5    71.4    78.2    84.1    69.1    72.9    74.7
 1916    72.0    75.3    74.0    70.7    86.5    83.3    86.8    83.4    69.5    65.6    76.3    81.3    77.1    84.5    70.5    77.3    77.1
 1917    80.7    70.0    67.7    77.3    76.9    82.2    86.3    86.0    71.0    68.0    79.2    93.8    74.0    84.8    72.7    83.8    78.3
 1918    83.3    74.4    74.9    73.9    78.2    83.4    87.8    81.7    71.2    62.4    76.3    70.7    75.6    84.3    70.0    69.6    76.5
 1919    75.6    62.5    61.7    77.8    73.7    82.5    82.2    83.2    73.2    67.1    72.5    82.9    71.0    82.7    70.9    84.4    74.6
 1920    88.9    81.4    65.3    78.4    86.9    80.4    82.2    84.0    67.5    65.2    73.7    72.3    76.9    82.2    68.8    73.3    77.2
 1921    72.6    75.1    67.9    81.3    76.9    78.3    80.6    81.8    71.0    66.6    73.8    76.4    75.4    80.2    70.5    70.9    75.2
 1922    70.9    65.3    68.6    72.5    81.4    81.0    81.4    78.8    69.6    65.7    75.0    84.4    74.2    80.4    70.1    72.8    74.6
 1923    67.3    66.6    65.6    68.1    74.2    82.2    77.3    78.4    71.2    64.8    73.0    63.1    69.3    79.3    69.7    65.9    71.0
 1924    73.3    61.3    59.3    68.7    80.2    83.5    71.9    82.1    69.2    62.3    77.7    71.9    69.4    79.2    69.8    75.1    71.8
 1925    85.5    67.8    58.6    65.5    77.0    76.9    78.8    81.7    69.2    61.0    76.7    78.0    67.0    79.1    69.0    75.6    73.1
 1926    78.5    70.2    68.8    71.7    76.7    75.3    80.8    82.3    73.6    67.2    79.6    74.8    72.4    79.5    73.5    74.1    75.0
