Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Latvia               : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    89.4    77.0    70.2    66.5    50.3    49.8    52.4    51.5    64.4    72.1    82.4    86.9    62.3    51.2    72.9    81.9    67.7
 1902    82.7    76.0    73.2    68.2    58.8    53.3    59.2    60.5    70.6    79.2    84.1    87.2    66.7    57.7    78.0    85.5    71.1
 1903    90.5    78.9    72.4    68.1    55.3    50.7    54.7    57.1    61.2    81.7    86.1    91.4    65.3    54.1    76.3    89.6    70.7
 1904    91.9    85.5    66.9    63.3    56.8    51.2    55.6    56.0    67.1    79.7    85.2    87.3    62.3    54.3    77.3    84.2    70.5
 1905    82.5    82.9    79.9    67.5    56.3    52.6    57.1    52.4    68.8    83.8    88.8    92.7    67.9    54.0    80.4    89.2    72.1
 1906    89.2    85.8    75.3    62.1    49.8    50.8    57.3    61.1    68.7    78.9    88.3    90.7    62.4    56.4    78.6    88.1    71.5
 1907    85.1    88.3    71.2    74.3    60.5    54.3    58.2    61.8    62.3    66.5    84.5    86.9    68.7    58.1    71.1    87.7    71.2
 1908    87.4    88.8    73.4    74.1    59.7    51.2    55.7    63.4    73.2    75.8    81.0    88.8    69.1    56.7    76.7    85.5    72.7
 1909    88.0    79.5    84.4    75.2    61.7    51.3    61.0    56.3    67.4    71.8    83.3    91.3    73.8    56.2    74.1    90.2    72.6
 1910    88.6    90.7    81.5    65.3    50.3    45.5    49.7    54.0    59.6    71.1    85.5    91.7    65.7    49.7    72.1    85.9    69.5
 1911    87.5    78.6    74.5    68.6    53.1    51.4    55.7    52.8    66.6    72.4    82.2    90.6    65.4    53.3    73.7    83.2    69.5
 1912    79.0    79.9    92.6    70.5    57.9    50.9    54.1    56.0    73.4    79.6    87.9    93.2    73.7    53.7    80.3    88.6    72.9
 1913    89.8    82.8    78.0    67.6    55.7    53.6    59.2    55.3    66.2    75.1    85.7    86.9    67.1    56.0    75.7    87.8    71.3
 1914    83.5    93.0    84.0    69.1    51.2    48.6    53.3    56.6    64.0    77.9    80.7    91.5    68.1    52.8    74.2    90.4    71.1
 1915    90.0    89.5    74.9    67.8    52.9    50.0    55.3    59.2    72.6    77.8    88.5    89.0    65.2    54.8    79.6    88.9    72.3
 1916    91.1    86.5    85.4    68.4    55.5    53.0    57.8    62.0    67.2    78.4    86.1    92.1    69.8    57.6    77.2    82.6    73.6
 1917    82.1    73.7    68.8    73.3    51.4    49.8    60.9    55.7    70.0    79.9    88.8    89.9    64.5    55.5    79.6    84.7    70.4
 1918    84.2    79.8    69.5    61.4    47.0    54.1    58.8    59.4    68.7    75.1    87.4    90.8    59.3    57.4    77.0    86.7    69.7
 1919    90.7    78.7    74.6    66.3    53.5    51.7    57.2    60.7    61.3    73.9    83.5    87.3    64.8    56.5    72.9    87.2    69.9
 1920    87.5    86.8    73.7    64.9    47.9    52.3    52.1    53.2    65.7    76.5    88.8    88.0    62.2    52.5    77.0    83.1    69.8
 1921    85.8    75.4    68.0    58.0    49.4    52.3    57.1    53.4    67.5    72.5    82.4    87.3    58.5    54.3    74.1    85.8    67.4
 1922    86.9    83.3    76.6    68.9    60.1    52.1    60.7    62.0    69.5    82.5    86.3    90.2    68.5    58.3    79.4    89.4    73.2
 1923    97.3    80.8    79.8    69.0    57.1    60.0    59.1    66.2    71.0    81.1    87.6    95.5    68.6    61.8    79.9    89.5    75.4
 1924    88.5    84.5    77.6    74.1    55.5    53.5    59.6    60.8    67.9    80.4    91.2    93.9    69.1    58.0    79.8    95.5    74.0
 1925    98.2    94.4    83.0    66.1    49.6    58.2    58.4    66.8    74.2    81.1    85.2    90.8    66.2    61.1    80.1    91.3    75.5
 1926    92.4    90.7    79.0    70.5    59.6    56.0    58.2    66.1    72.1    83.1    88.2    90.1    69.7    60.1    81.1    89.5    75.5
 1927    89.0    89.5    87.9    76.6    65.7    54.9    56.8    62.9    70.8    82.3    88.6    87.3    76.8    58.2    80.6    89.2    76.0
 1928    94.0    86.5    72.8    70.4    57.6    59.5    61.3    66.3    71.8    81.3    90.0    93.1    66.9    62.4    81.0    82.0    75.4
 1929    84.1    68.8    74.6    71.1    51.5    55.7    58.5    58.9    66.5    79.6    90.3    95.4    65.7    57.7    78.8    92.0    71.3
 1930    96.2    84.4    80.0    62.2    57.4    52.3    59.8    65.0    71.0    80.3    87.2    94.6    66.5    59.0    79.5    91.0    74.2
 1931    91.3    87.0    71.9    70.7    52.4    57.8    56.7    63.1    73.5    81.8    90.1    91.6    65.0    59.2    81.8    85.2    74.0
 1932    94.8    69.2    68.9    70.9    57.0    56.9    56.1    62.4    72.0    82.4    89.3    97.3    65.6    58.5    81.2    91.0    73.1
 1933    92.0    83.6    78.2    72.8    59.8    54.6    58.3    64.8    73.7    81.7    86.9    83.1    70.3    59.2    80.7    86.9    74.1
 1934    93.3    84.1    81.3    57.3    51.9    50.3    61.6    57.2    60.4    81.7    89.4    95.1    63.5    56.3    77.2    89.0    72.0
 1935    86.6    85.4    73.4    64.6    57.9    53.4    63.6    65.3    75.1    83.3    88.8    97.4    65.3    60.8    82.4    91.9    74.6
 1936    96.8    81.4    83.1    69.9    55.3    50.2    56.4    59.7    69.3    82.9    90.2    98.4    69.4    55.5    80.8    93.1    74.5
 1937    92.3    88.7    86.3    61.6    50.2    49.8    59.3    58.0    69.5    77.7    92.1    94.3    66.0    55.7    79.8    93.6    73.3
 1938    97.0    89.4    82.9    70.5    55.4    55.9    56.3    49.9    60.1    82.1    90.0    96.4    69.6    54.0    77.4    95.5    73.8
 1939    95.0    95.2    82.6    71.1    56.0    50.6    56.6    42.2    65.4    81.8    92.2    92.9    69.9    49.8    79.8    82.1    73.5
