Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Line_Isl             : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1902    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1903    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1904    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1905    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1906    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1907    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1908    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1909    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1910    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1911    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1912    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1913    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1914    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1915    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1916    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1917    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1918    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1919    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1920    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
 1921    58.7    59.5    60.7    60.9    59.7    58.6    60.2    59.3    61.4    62.2    64.1    62.4    60.4    59.4    62.6    60.2    60.7
