Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Macedonia            : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    79.1    73.8    69.8    62.5    56.2    48.5    35.9    34.2    43.3    54.9    69.8    80.9    62.9    39.5    56.0    78.3    59.1
 1902    78.8    75.1    69.4    62.5    57.7    47.4    35.5    33.2    41.6    54.5    70.7    79.6    63.2    38.7    55.6    76.5    58.8
 1903    77.2    72.6    66.3    61.7    53.8    48.1    35.1    30.0    39.8    52.1    69.1    79.2    60.6    37.8    53.7    76.5    57.1
 1904    77.9    72.4    68.3    59.3    55.1    46.7    33.7    30.1    43.6    54.2    69.6    79.1    60.9    36.8    55.8    77.4    57.5
 1905    77.9    75.1    69.9    61.7    56.3    48.6    35.3    33.4    41.3    54.2    71.4    80.6    62.6    39.1    55.6    78.5    58.8
 1906    79.6    75.2    67.7    61.9    55.8    48.2    35.2    33.0    41.7    54.7    71.9    79.3    61.8    38.8    56.1    77.0    58.7
 1907    78.4    73.3    68.7    63.4    56.2    47.9    35.0    32.5    40.2    52.1    70.6    79.4    62.7    38.5    54.3    77.5    58.1
 1908    78.1    75.1    69.7    62.7    55.3    48.4    36.1    33.8    41.6    53.2    70.7    81.2    62.6    39.4    55.1    77.7    58.8
 1909    78.4    73.4    69.7    62.0    56.3    48.5    36.0    33.2    41.9    54.0    70.4    79.0    62.7    39.3    55.4    77.4    58.6
 1910    78.0    75.2    67.8    62.6    56.5    47.9    35.7    32.6    40.8    53.3    70.4    79.0    62.3    38.7    54.8    77.3    58.3
 1911    79.3    73.6    70.2    63.7    56.2    48.1    35.6    33.3    41.0    53.3    70.5    80.7    63.4    39.0    54.9    77.5    58.8
 1912    78.0    74.0    69.8    62.8    57.2    48.2    35.9    33.5    41.9    53.6    71.5    79.1    63.2    39.2    55.7    77.4    58.8
 1913    79.4    73.6    67.7    63.6    58.1    47.3    35.3    33.2    41.3    53.2    70.4    79.0    63.1    38.6    55.0    77.4    58.5
 1914    78.4    74.9    67.7    61.5    54.4    48.7    37.2    33.9    43.3    55.1    72.4    80.7    61.2    39.9    56.9    78.2    59.0
 1915    79.1    74.9    68.4    60.0    55.0    48.4    35.7    34.9    42.0    54.4    70.1    77.1    61.1    39.7    55.5    76.9    58.3
 1916    79.0    74.5    69.8    62.5    57.4    48.3    35.3    33.0    40.8    53.2    71.3    80.6    63.2    38.9    55.1    76.5    58.8
 1917    78.1    70.7    68.1    61.4    54.2    49.9    37.5    34.5    40.4    53.6    70.4    81.0    61.2    40.6    54.8    77.4    58.3
 1918    77.8    73.4    67.4    63.6    56.1    47.6    36.2    33.6    41.5    54.7    71.6    80.9    62.4    39.1    56.0    78.5    58.7
 1919    79.6    74.9    68.8    62.6    57.7    48.9    36.2    33.7    41.0    54.7    70.8    79.0    63.0    39.6    55.5    77.4    59.0
 1920    79.1    73.9    68.0    63.4    55.5    47.9    35.6    32.8    41.6    52.9    71.4    81.3    62.3    38.8    55.3    77.7    58.6
 1921    78.4    73.6    67.7    62.1    55.8    47.5    35.6    34.7    40.7    53.2    71.6    81.3    61.9    39.3    55.2    78.6    58.5
 1922    79.6    74.9    67.5    63.3    56.2    48.2    35.2    33.8    42.2    54.7    71.4    80.9    62.3    39.0    56.1    78.5    59.0
 1923    79.5    75.2    70.1    62.5    56.0    47.5    35.2    34.2    41.6    53.8    71.4    79.4    62.9    39.0    55.6    77.4    58.9
 1924    78.2    74.6    69.8    63.6    55.9    48.5    35.3    34.0    42.6    53.8    71.4    81.3    63.1    39.3    55.9    78.2    59.1
 1925    78.7    74.4    68.6    61.7    58.1    48.1    35.8    34.3    42.5    53.9    71.3    79.8    62.8    39.4    55.9    78.1    58.9
 1926    79.3    75.1    69.6    62.3    56.9    49.3    38.3    33.4    41.0    53.1    71.8    80.6    62.9    40.3    55.3    78.4    59.2
 1927    79.4    75.3    68.5    61.8    57.3    48.2    35.4    33.6    41.6    53.6    70.7    80.8    62.5    39.1    55.3    77.9    58.8
 1928    79.2    73.7    68.9    61.6    56.2    48.3    35.4    34.0    41.9    54.2    71.8    80.9    62.2    39.2    56.0    77.9    58.8
 1929    79.4    73.3    68.0    63.5    57.3    48.1    35.5    33.0    41.6    54.8    72.0    80.9    62.9    38.9    56.2    77.9    58.9
 1930    79.2    73.7    67.8    63.5    57.3    47.8    35.3    33.9    42.1    53.3    70.2    80.8    62.9    39.0    55.2    78.2    58.8
 1931    78.9    75.0    68.6    63.4    56.6    48.1    35.9    34.7    42.2    53.5    71.8    80.9    62.9    39.6    55.8    78.0    59.1
 1932    79.5    73.5    68.3    61.8    56.5    49.3    35.4    33.5    42.2    54.4    70.4    81.3    62.2    39.4    55.7    78.6    58.8
 1933    79.5    74.9    68.2    62.8    57.9    49.5    35.8    34.4    42.2    54.3    71.3    79.8    63.0    39.9    55.9    77.7    59.2
 1934    79.3    73.9    69.0    63.9    56.1    48.2    36.2    34.8    42.6    53.8    71.7    80.9    63.0    39.7    56.0    78.0    59.2
 1935    79.2    73.9    69.7    63.5    56.2    48.2    35.2    34.7    41.1    54.7    71.5    80.8    63.1    39.4    55.8    83.6    59.1
 1936    77.2    92.9    70.7    74.5    59.3    52.1    37.8    37.8    43.7    57.7    72.9    82.6    68.2    42.6    58.1    80.2    63.3
 1937    81.8    76.1    70.5    66.7    61.0    47.1    40.9    36.6    43.0    56.5    72.8    81.5    66.1    41.5    57.4    80.1    61.2
 1938    80.1    78.6    71.3    66.5    59.8    49.9    36.4    36.3    42.7    54.9    71.9    81.7    65.9    40.9    56.5    80.4    60.8
 1939    80.7    78.9    71.8    64.4    48.5    49.9    33.6    33.1    41.0    54.9    72.0    78.7    61.6    38.9    56.0    74.8    58.9
 1940    77.0    68.8    67.6    61.8    58.1    47.3    38.4    35.9    41.0    56.6    70.5    81.8    62.5    40.5    56.0    79.5    58.7
 1941    80.4    76.2    72.3    64.8    60.0    48.4    35.8    34.3    42.0    54.3    71.4    79.4    65.7    39.5    55.9    75.7    59.9
 1942    76.3    71.3    66.8    63.7    56.2    41.7    25.0    30.9    27.9    39.1    77.3    75.9    62.3    32.5    48.1    72.1    54.3
 1943    76.3    63.9    56.0    46.9    51.4    52.0    25.6    24.1    40.4    48.8    74.5    86.5    51.5    33.9    54.6    85.0    53.9
 1944    82.1    86.3    95.7    77.3    60.3    47.0    41.7    36.3    52.2    65.1    72.0    89.7    77.8    41.6    63.1    81.5    67.1
 1945    77.3    77.4    70.1    65.0    55.4    46.9    34.4    32.8    40.6    53.0    69.4    81.1    63.5    38.0    54.3    77.7    58.6
 1946    78.3    73.7    73.0    61.0    55.9    44.8    31.5    31.3    38.2    54.9    73.2    76.3    63.3    35.9    55.4    75.3    57.7
 1947    76.3    73.3    69.7    60.8    54.8    47.6    36.0    33.8    39.9    50.5    71.6    79.6    61.8    39.2    54.0    77.7    57.8
 1948    79.2    74.4    66.9    59.0    53.4    51.1    35.3    32.4    39.6    53.5    69.2    76.9    59.8    39.6    54.1    74.5    57.6
 1949    76.3    70.2    66.4    60.0    54.0    49.6    36.1    32.8    40.8    50.9    72.5    80.0    60.1    39.5    54.7    74.9    57.5
 1950    73.1    71.5    65.4    60.6    55.4    46.3    34.3    31.2    40.1    54.3    71.9    80.1    60.5    37.3    55.4    81.4    57.0
 1951    87.0    77.3    73.4    61.9    60.4    48.8    39.4    33.3    48.6    61.6    69.8    73.7    65.2    40.5    60.0    75.8    61.3
 1952    79.1    74.4    63.2    46.8    62.0    43.2    30.2    16.2    46.3    57.9    73.9    82.9    57.3    29.9    59.4    77.7    56.3
 1953    79.6    70.6    56.6    59.2    58.6    54.3    30.7    31.1    32.6    64.3    64.0    72.8    58.1    38.7    53.6    77.8    56.2
 1954    79.6    81.1    77.6    63.8    62.1    44.3    29.7    29.5    28.8    48.6    86.2    77.4    67.8    34.5    54.5    79.7    59.0
 1955    84.2    77.4    76.3    72.4    54.8    48.1    39.5    45.4    52.6    63.7    76.8    74.5    67.8    44.3    64.4    80.4    63.8
 1956    83.6    82.9    84.4    65.9    58.6    55.8    32.1    18.2    37.1    48.6    71.5    80.6    69.6    35.4    52.4    75.4    59.9
 1957    77.6    68.0    57.0    60.8    72.3    53.2    40.6    38.3    49.6    58.6    75.9    83.9    63.4    44.0    61.4    73.7    61.3
 1958    77.2    60.1    81.6    79.5    51.4    50.0    33.1    28.7    38.8    57.6    78.9    77.0    70.8    37.3    58.4    72.7    59.5
 1959    79.9    61.2    65.1    61.9    62.9    50.8    39.2    41.2    47.0    50.6    80.3    83.5    63.3    43.7    59.3    78.5    60.3
 1960    77.8    74.2    77.8    70.8    63.1    54.7    38.0    25.8    52.6    61.9    74.7    81.3    70.6    39.5    63.0    75.5    62.7
 1961    76.9    68.3    52.2    59.3    58.2    48.3    29.3    22.8    23.1    55.8    75.2    87.0    56.6    33.5    51.4    82.7    54.7
 1962    80.8    80.4    79.4    54.3    51.5    43.0    31.1    18.4    37.3    57.9    79.7    83.9    61.7    30.8    58.3    85.3    58.1
 1963    87.6    84.6    67.8    62.4    56.4    44.3    44.1    22.0    38.4    58.9    68.8    83.2    62.2    36.8    55.4    76.0    59.9
