Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Myanmar              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1902    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1903    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1904    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1905    28.0    26.7    30.9    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.2    47.5    87.1    60.9    28.3    55.9
 1906    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.2    61.1    42.2    30.0    47.4    87.1    60.8    28.3    55.9
 1907    28.0    26.8    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.0    42.3    30.0    47.4    87.1    60.9    28.2    55.9
 1908    28.0    26.7    30.8    44.2    67.3    85.0    88.5    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1909    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.0    42.2    30.0    47.4    87.1    60.8    28.2    55.9
 1910    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.0    47.4    87.1    60.9    28.2    55.9
 1911    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.1    47.4    87.1    60.8    28.3    55.9
 1912    28.0    26.8    30.7    44.2    67.2    85.0    88.4    87.6    79.2    60.8    42.2    30.1    47.4    87.0    60.8    28.2    55.9
 1913    28.0    26.7    30.8    44.2    67.3    85.0    88.4    87.8    79.2    60.9    42.2    30.0    47.4    87.1    60.8    28.2    55.9
 1914    27.7    26.8    30.8    44.2    67.3    85.0    88.4    87.8    79.3    61.1    42.2    30.1    47.4    87.1    60.9    28.3    55.9
 1915    27.9    26.7    30.8    44.2    67.3    85.0    88.5    87.8    79.2    61.1    42.2    30.0    47.4    87.1    60.8    29.5    55.9
 1916    31.3    27.3    29.6    49.2    66.7    85.7    89.6    89.9    82.0    72.0    47.6    37.9    48.5    88.4    67.2    30.9    59.1
 1917    27.9    26.9    30.9    47.4    65.1    90.1    93.2    93.2    85.4    67.0    47.0    27.3    47.8    92.2    66.5    27.5    58.4
 1918    28.5    26.8    38.4    48.4    76.4    90.6    90.7    95.8    87.5    69.4    39.0    26.9    54.4    92.4    65.3    27.3    59.9
 1919    28.1    26.7    30.0    43.0    63.5    86.2    92.5    90.8    79.3    63.8    50.5    36.1    45.5    89.8    64.5    33.8    57.5
 1920    33.5    31.9    41.2    44.8    67.3    85.0    90.8    97.0    86.4    62.9    32.9    30.7    51.1    90.9    60.8    27.3    58.7
 1921    26.2    24.9    33.7    43.2    72.7    88.8    92.3    94.6    89.3    61.0    47.5    31.0    49.9    91.9    65.9    24.7    58.8
 1922    25.6    17.4    35.3    48.3    69.6    89.7    93.5    95.8    84.0    74.5    51.5    33.7    51.1    93.0    70.0    30.4    59.9
 1923    21.2    36.3    27.2    48.1    71.8    88.3    94.7    92.6    89.2    63.4    48.3    32.8    49.0    91.9    67.0    29.0    59.5
 1924    25.5    28.8    22.3    46.1    68.6    90.1    93.6    95.9    87.3    72.5    52.0    30.2    45.7    93.2    70.6    34.6    59.4
 1925    41.1    32.6    29.0    50.6    69.7    88.1    94.7    96.5    88.9    68.5    41.7    32.3    49.8    93.1    66.4    31.4    61.1
 1926    31.2    30.7    39.7    44.4    68.5    88.8    93.9    93.8    84.6    76.6    45.5    39.1    50.9    92.2    68.9    34.9    61.4
 1927    32.5    33.2    31.7    48.4    73.1    89.4    90.8    94.7    92.6    70.4    47.2    25.5    51.1    91.6    70.1    26.6    60.8
 1928    26.8    27.5    31.9    41.5    68.1    91.2    91.3    94.6    93.6    64.7    43.0    27.5    47.2    92.3    67.1    27.2    58.5
 1929    30.5    23.7    32.4    49.2    73.3    89.4    90.9    92.3    83.6    62.4    46.9    26.4    51.6    90.9    64.3    29.5    58.4
 1930    32.6    29.6    37.2    46.0    76.0    87.9    89.9    94.7    88.0    67.2    59.2    29.0    53.1    90.8    71.5    27.6    61.4
 1931    24.6    29.3    31.5    44.6    69.3    86.1    96.4    91.6    88.7    74.0    47.3    41.0    48.5    91.4    70.0    35.2    60.4
 1932    30.5    34.0    30.3    41.8    66.4    88.4    90.0    95.3    88.9    66.8    51.9    37.5    46.2    91.3    69.2    29.8    60.2
 1933    27.7    24.1    24.0    44.8    72.3    89.7    92.9    92.5    81.9    68.8    46.0    34.5    47.0    91.7    65.6    31.8    58.3
 1934    27.7    33.1    29.5    44.5    66.3    86.8    92.5    93.1    84.9    65.8    51.4    28.6    46.8    90.8    67.4    26.2    58.7
 1935    20.4    29.8    27.6    39.8    63.1    87.5    90.1    87.2    85.0    62.3    44.5    25.1    43.5    88.2    63.9    27.5    55.2
 1936    26.5    30.7    29.8    46.7    72.0    85.6    91.6    95.0    79.9    62.2    42.5    29.2    49.5    90.7    61.5    26.5    57.6
 1937    18.8    31.3    25.6    41.1    70.2    87.8    88.9    96.0    84.9    63.5    38.2    41.5    45.7    90.9    62.2    32.0    57.3
 1938    28.8    25.9    38.9    38.8    80.0    90.9    94.2    95.8    90.0    72.1    35.4    21.8    52.6    93.7    65.8    21.9    59.4
 1939    16.6    27.2    31.7    44.3    66.2    85.5    87.9    82.1    80.1    52.6    38.3    34.6    47.4    85.2    57.0    28.7    53.9
 1940    25.5    25.9    35.9    42.1    66.4    83.1    86.9    87.4    77.5    56.8    41.8    34.8    48.1    85.8    58.7    30.7    55.4
 1941    30.2    27.0    35.7    46.9    67.6    87.6    88.1    87.3    78.0    62.3    48.5    38.9    50.1    87.7    63.0    32.0    58.2
 1942    31.0    26.0    37.6    50.6    65.3    86.1    87.1    87.4    76.2    51.4    51.9    35.9    51.2    86.8    59.8    31.4    57.2
 1943    33.7    24.7    35.7    39.6    55.2    84.4    85.2    86.8    77.9    56.5    44.1    33.3    43.5    85.4    59.5    31.6    54.8
 1944    30.7    30.7    29.6    43.5    68.0    84.7    87.6    83.9    78.9    52.6    32.9    27.5    47.0    85.4    54.8    25.9    54.2
 1945    24.2    25.9    29.3    42.4    70.3    84.8    87.3    91.0    80.0    62.1    36.8    26.7    47.3    87.7    59.6    26.4    55.1
 1946    24.0    28.6    27.9    55.5    68.3    82.3    87.7    90.9    77.9    64.5    41.8    23.7    50.6    87.0    61.4    25.2    56.1
 1947    24.3    27.5    35.6    51.0    66.3    85.3    89.7    87.9    82.7    64.4    38.2    30.8    51.0    87.7    61.8    29.7    57.0
 1948    27.8    30.5    30.8    45.4    68.3    82.1    88.1    84.8    73.3    51.6    51.3    21.6    48.2    85.0    58.7    23.3    54.6
 1949    25.2    23.2    28.2    41.7    66.7    83.7    87.5    87.8    79.0    61.6    42.9    22.3    45.5    86.3    61.2    27.1    54.1
 1950    21.9    37.2    28.8    41.5    64.0    83.3    84.5    89.1    76.6    60.2    37.5    26.2    44.7    85.7    58.1    23.1    54.2
 1951    26.5    16.5    29.3    40.8    61.3    86.4    85.3    86.5    71.1    60.3    37.8    37.6    43.8    86.0    56.4    28.8    53.3
 1952    23.6    25.3    34.6    42.5    62.9    84.0    88.2    88.7    81.0    70.2    40.8    23.4    46.7    87.0    64.0    28.9    55.4
