Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Norfolk_Isl          : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    62.5    63.8    61.1    58.8    61.3    63.8    57.5    56.3    55.0    58.1    61.3    60.0    60.4    59.2    58.1    61.8    60.0
 1902    61.7    63.8    62.8    58.8    61.3    63.7    57.5    53.5    55.0    58.3    61.3    60.0    61.0    58.2    58.2    62.1    59.8
 1903    62.5    63.8    62.5    58.8    61.1    63.0    57.5    56.3    54.9    58.8    61.3    60.0    60.8    58.9    58.3    61.7    60.0
 1904    62.5    62.5    60.9    58.8    61.3    63.8    57.5    56.3    55.0    58.4    60.1    60.0    60.3    59.2    57.8    62.1    59.8
 1905    62.5    63.8    63.2    58.6    61.3    64.2    56.2    56.3    53.3    58.4    61.3    60.0    61.0    58.9    57.7    62.1    59.9
 1906    62.5    63.8    62.4    58.8    61.3    63.8    57.5    54.9    55.0    58.8    61.3    60.0    60.8    58.7    58.4    61.8    60.0
 1907    61.7    63.8    61.5    54.9    61.3    63.8    56.5    53.4    55.0    58.8    61.3    60.0    59.2    57.9    58.4    61.8    59.3
 1908    61.5    63.8    61.1    58.8    61.5    62.4    57.5    56.3    55.0    58.1    61.5    61.9    60.5    58.7    58.2    62.7    60.0
 1909    62.5    63.7    61.0    58.8    60.1    61.2    57.3    56.3    55.0    58.8    61.8    60.0    60.0    58.3    58.5    62.1    59.7
 1910    62.5    63.8    62.5    59.1    61.3    63.8    53.8    56.3    56.2    58.6    61.3    59.1    61.0    58.0    58.7    61.8    59.9
 1911    62.5    63.8    61.9    58.8    61.3    63.8    57.0    56.3    55.0    58.8    61.6    58.4    60.7    59.0    58.5    61.3    59.9
 1912    61.9    63.5    61.8    58.8    61.3    63.8    57.8    56.3    53.6    58.8    61.9    61.2    60.6    59.3    58.1    62.5    60.1
 1913    62.5    63.8    61.2    58.8    61.3    63.8    58.2    56.3    55.5    58.8    61.3    60.9    60.4    59.4    58.5    62.4    60.2
 1914    62.5    63.8    62.3    58.3    58.6    63.8    57.5    58.4    56.8    59.7    61.3    60.0    59.7    59.9    59.3    62.2    60.2
 1915    62.5    64.0    62.5    58.8    56.2    63.3    57.5    54.3    54.8    58.8    61.3    60.0    59.2    58.4    58.3    62.1    59.5
 1916    62.5    63.8    62.5    58.9    61.2    61.5    57.5    55.7    55.0    58.8    61.3    59.7    60.9    58.2    58.4    61.8    59.9
 1917    62.5    63.1    62.5    58.8    61.3    63.8    57.5    56.3    55.0    58.8    61.3    60.0    60.9    59.2    58.4    62.1    60.1
