Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Paracel_Isl          : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    62.5    67.6    67.1    68.8    72.5    81.3    76.2    81.3    72.2    66.4    61.7    60.0    69.5    79.6    66.8    63.3    69.8
 1902    62.5    67.5    67.4    68.8    72.5    81.3    76.3    81.3    72.1    65.5    61.3    60.0    69.6    79.6    66.3    63.4    69.7
 1903    62.5    67.6    67.5    68.8    72.5    80.7    76.2    81.3    72.0    66.3    61.3    60.7    69.6    79.4    66.5    63.6    69.8
 1904    62.5    67.5    67.5    68.8    72.5    80.8    76.3    80.7    70.6    66.3    61.3    60.0    69.6    79.3    66.1    63.5    69.6
 1905    62.1    68.5    68.8    69.2    72.5    81.3    76.2    81.8    74.3    68.8    61.3    62.6    70.2    79.8    68.1    64.2    70.6
 1906    62.5    67.6    67.7    68.8    72.5    80.7    76.1    81.3    73.5    66.3    61.3    60.0    69.7    79.4    67.0    63.6    69.9
 1907    61.8    68.9    68.1    68.8    71.9    80.8    76.3    81.0    72.5    68.2    62.5    61.1    69.6    79.4    67.7    63.5    70.2
 1908    61.9    67.5    67.5    69.2    71.2    81.0    77.1    79.5    71.8    67.2    61.3    60.6    69.3    79.2    66.8    63.4    69.7
 1909    62.2    67.5    67.6    67.7    72.0    81.3    75.8    80.5    72.0    68.0    61.4    60.0    69.1    79.2    67.1    63.4    69.7
 1910    62.0    68.1    67.5    69.4    72.5    80.6    76.3    81.1    72.2    66.3    62.3    60.0    69.8    79.3    66.9    63.3    69.9
 1911    61.8    68.2    67.5    68.2    72.5    81.3    75.7    81.3    72.3    66.3    61.1    61.9    69.4    79.4    66.6    63.7    69.8
 1912    62.5    66.7    53.3    68.2    71.1    83.4    74.5    76.7    68.0    60.1    58.0    61.4    64.2    78.2    62.0    61.6    67.0
 1913    57.9    65.4    69.6    67.3    72.5    86.2    78.9    83.6    74.8    62.8    57.2    63.5    69.8    82.9    64.9    62.6    70.0
 1914    53.8    70.6    67.5    67.8    72.5    86.2    76.3    82.6    72.5    69.6    64.1    63.4    69.3    81.7    68.7    62.4    70.6
 1915    58.1    65.7    66.5    68.4    74.5    83.5    79.3    82.6    68.3    65.2    63.5    53.2    69.8    81.8    65.7    56.7    69.1
 1916    51.3    65.6    72.1    67.2    72.4    87.6    77.2    80.0    73.4    63.1    54.6    53.1    70.6    81.6    63.7    55.5    68.1
 1917    55.5    58.0    69.6    73.0    69.6    83.4    78.9    81.7    68.3    57.5    59.5    60.2    70.7    81.3    61.8    56.7    67.9
 1918    51.1    58.7    63.7    67.1    75.6    82.3    74.6    90.4    76.9    62.8    67.0    67.4    68.8    82.4    68.9    67.5    69.8
 1919    65.3    69.7    74.2    69.4    74.0    85.0    78.8    82.9    71.4    65.1    62.4    60.3    72.5    82.2    66.3    62.0    71.5
 1920    53.4    72.4    71.0    83.2    76.3    82.1    80.0    89.0    74.6    67.4    67.4    68.2    76.8    83.7    69.8    63.7    73.8
 1921    61.6    61.3    66.6    68.3    78.5    83.6    77.7    79.4    72.8    59.6    61.1    65.1    71.1    80.2    64.5    70.4    69.6
 1922    70.5    75.6    76.2    67.9    72.7    87.2    79.8    87.7    78.0    65.1    59.5    59.8    72.3    84.9    67.5    59.8    73.3
 1923    55.6    63.9    65.2    67.9    75.9    94.9    91.6    90.5    74.4    69.7    60.4    63.5    69.7    92.3    68.2    67.6    72.8
 1924    65.3    74.0    67.7    69.8    74.7    91.3    85.8    87.4    74.9    67.8    52.6    47.0    70.7    88.2    65.1    58.8    71.5
 1925    63.0    66.4    66.5    69.9    74.0    93.0    81.0    83.1    70.0    61.8    54.4    48.0    70.1    85.7    62.1    58.1    69.3
 1926    55.7    70.6    65.1    75.4    73.3    92.2    82.0    86.9    78.7    67.3    54.8    62.7    71.3    87.0    66.9    64.5    72.1
 1927    61.0    69.7    69.4    71.0    74.9    86.6    89.7    86.9    79.3    67.8    55.9    60.1    71.8    87.7    67.7    65.9    72.7
 1928    64.7    73.0    66.0    66.7    68.5    72.1    74.0    75.3    65.7    59.8    57.9    60.0    67.1    73.8    61.1    64.1    67.0
 1929    60.0    72.4    65.8    69.4    63.2    71.7    74.2    72.6    69.2    58.7    61.2    55.6    66.1    72.8    63.0    61.9    66.2
 1930    66.3    63.7    64.6    56.4    67.2    73.6    79.0    80.3    73.9    53.8    56.9    66.7    62.7    77.6    61.5    63.4    66.9
 1931    57.5    66.1    68.0    65.0    64.6    68.6    63.3    76.3    66.3    68.5    53.5    64.6    65.9    69.4    62.8    64.3    65.2
 1932    54.7    73.5    66.5    64.0    56.7    73.0    69.4    71.8    69.1    64.9    60.3    61.4    62.4    71.4    64.8    64.3    65.4
 1933    67.8    63.6    64.0    66.5    63.4    62.2    70.4    66.5    66.0    61.9    50.6    51.6    64.6    66.4    59.5    61.8    62.9
