Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Prince_Edward_Isl    : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1902    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1903    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1904    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1905    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1906    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1907    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1908    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1909    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1910    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1911    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1912    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1913    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1914    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1915    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1916    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1917    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1918    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1919    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1920    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1921    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1922    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1923    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1924    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1925    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1926    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1927    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1928    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1929    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1930    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1931    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1932    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1933    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1934    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1935    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1936    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1937    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1938    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1939    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1940    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1941    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1942    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1943    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1944    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1945    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1946    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1947    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1948    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1949    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1950    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1951    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1952    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1953    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1954    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1955    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1956    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
 1957    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    75.5    76.3    75.5    74.6    76.4    75.9    75.6
 1958    75.0    76.3    76.3    76.3    73.8    73.8    75.0    75.0    76.3    77.5    76.3    76.3    75.5    74.6    76.7    75.9    75.7
