Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Severnaya_Zemlya     : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    59.8    63.3    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1902    59.7    63.3    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.7    67.0    63.8    84.3    82.6    63.3    73.5
 1903    59.6    63.3    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    67.0    63.8    84.3    82.6    63.3    73.5
 1904    59.6    63.2    55.1    62.2    74.0    86.4    81.8    84.6    94.1    85.9    67.8    66.9    63.8    84.3    82.6    63.2    73.5
 1905    59.5    63.2    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.8    67.1    63.8    84.3    82.6    63.3    73.5
 1906    59.5    63.3    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    66.9    63.8    84.3    82.6    63.3    73.5
 1907    59.6    63.3    55.1    62.2    74.0    86.4    81.9    84.7    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1908    59.6    63.2    55.1    62.2    74.0    86.4    81.9    84.6    94.1    85.9    67.7    66.8    63.8    84.3    82.6    63.3    73.5
 1909    59.8    63.3    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    66.9    63.8    84.3    82.6    63.3    73.5
 1910    59.6    63.3    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    66.7    63.8    84.3    82.6    63.2    73.5
 1911    59.6    63.3    55.1    62.2    74.0    86.4    82.0    84.7    94.1    85.9    67.7    67.1    63.8    84.4    82.6    63.3    73.5
 1912    59.7    63.3    55.1    62.2    74.0    86.4    81.8    84.6    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1913    59.6    63.4    55.1    62.2    74.0    86.4    81.8    84.7    94.1    85.9    67.7    66.9    63.8    84.3    82.6    63.2    73.5
 1914    59.4    63.3    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.8    67.0    63.8    84.3    82.6    63.2    73.5
 1915    59.4    63.2    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.7    66.8    63.8    84.3    82.6    63.2    73.4
 1916    59.3    63.6    55.1    62.2    74.0    86.3    81.8    84.6    94.1    85.9    67.7    67.3    63.8    84.2    82.6    63.4    73.5
 1917    59.6    63.3    55.1    62.2    74.0    86.4    81.8    84.6    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1918    59.5    63.3    55.1    62.2    74.0    86.4    81.9    84.7    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1919    59.6    63.3    55.1    62.2    74.0    86.4    81.9    84.7    94.1    85.9    67.7    67.0    63.8    84.3    82.6    63.3    73.5
 1920    59.5    63.3    55.1    62.2    74.0    86.4    81.9    84.7    94.1    85.9    67.7    67.1    63.8    84.4    82.6    63.4    73.5
 1921    59.5    63.7    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1922    59.5    63.3    55.1    62.2    74.0    86.4    81.7    84.8    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.3    73.5
 1923    59.5    63.3    55.1    62.2    74.0    86.4    81.9    84.9    94.1    85.9    67.7    66.4    63.8    84.4    82.6    63.1    73.5
 1924    59.5    63.4    55.1    62.2    74.0    86.3    81.9    84.7    94.1    85.9    67.8    67.1    63.8    84.3    82.6    63.3    73.5
 1925    59.5    63.3    55.1    62.2    74.0    86.4    81.7    84.7    94.1    85.9    67.7    67.1    63.8    84.3    82.6    63.5    73.5
 1926    59.8    63.7    55.1    62.1    74.1    87.3    81.9    85.0    94.1    85.9    67.7    67.1    63.8    84.7    82.6    63.4    73.6
