Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Sudan                : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1902    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1903    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1904    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1905    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1906    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1907    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1908    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1909    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1910    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1911    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1912    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1913    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1914    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1915    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1916    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1917    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1918    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
 1919    29.2    30.0    34.4    32.7    37.1    44.0    53.1    53.3    49.0    36.3    26.6    27.9    34.7    50.1    37.3    29.0    37.8
