Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Tunisia              : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1902    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1903    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1904    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1905    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1906    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1907    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1908    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1909    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1910    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1911    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1912    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1913    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1914    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1915    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1916    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1917    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1918    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1919    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1920    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1921    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1922    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1923    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1924    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1925    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1926    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1927    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1928    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1929    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1930    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1931    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1932    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1933    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
 1934    43.3    43.7    48.8    48.8    43.8    40.2    31.0    31.6    37.8    40.3    38.9    40.9    47.1    34.3    39.0    42.6    40.8
