Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = USA                  : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    63.8    65.1    62.5    58.8    59.0    54.3    49.9    53.8    53.1    52.5    58.9    62.3    60.1    52.6    54.8    63.5    57.8
 1902    62.5    65.7    63.8    59.7    60.4    51.7    51.4    52.1    51.7    53.5    65.9    66.7    61.3    51.7    57.0    65.2    58.8
 1903    65.0    63.8    63.7    58.3    59.4    55.6    52.2    54.7    51.4    50.3    58.8    59.0    60.5    54.1    53.5    59.5    57.7
 1904    60.2    59.4    62.1    61.6    57.3    55.2    52.4    53.6    52.2    54.3    53.9    63.5    60.4    53.7    53.4    65.7    57.1
 1905    66.2    67.4    65.2    62.0    62.3    56.6    55.6    52.2    52.2    56.2    61.3    65.8    63.1    54.8    56.6    64.3    60.2
 1906    63.2    63.8    66.6    58.6    61.3    56.2    54.8    56.5    52.9    55.5    64.8    67.5    62.1    55.8    57.7    65.0    60.1
 1907    66.1    61.4    62.1    61.3    62.7    57.0    55.2    54.7    53.6    55.6    62.9    65.6    62.0    55.6    57.4    64.7    59.8
 1908    63.6    64.9    61.5    59.9    63.5    56.3    53.9    54.4    49.5    54.4    58.5    64.8    61.6    54.9    54.1    64.7    58.8
 1909    66.4    63.0    64.1    62.0    61.2    57.5    54.4    52.5    51.8    51.0    61.0    68.4    62.4    54.8    54.6    65.2    59.4
 1910    65.1    62.2    57.1    57.2    59.7    54.4    51.9    51.6    51.6    51.3    61.8    64.4    58.0    52.6    54.9    65.0    57.4
 1911    64.3    66.2    61.5    61.0    60.7    53.8    52.9    53.2    55.6    59.5    61.6    66.5    61.1    53.3    58.9    64.5    59.7
 1912    63.2    63.8    67.6    64.6    61.7    57.2    57.5    57.0    56.0    56.7    58.9    63.9    64.6    57.2    57.2    64.4    60.7
 1913    63.2    66.2    63.8    60.8    60.0    53.7    52.0    50.6    54.0    58.2    65.4    69.0    61.5    52.1    59.2    66.8    59.7
 1914    66.2    65.3    64.0    64.2    62.0    55.9    53.2    53.5    52.3    59.8    56.6    70.2    63.4    54.2    56.2    68.2    60.3
 1915    65.8    68.5    67.5    63.2    62.6    56.3    55.9    55.7    56.0    51.7    59.6    64.9    64.4    56.0    55.7    64.7    60.6
 1916    66.4    62.9    59.8    63.3    62.1    57.0    53.9    54.0    51.5    56.4    56.6    61.5    61.7    55.0    54.8    62.5    58.8
 1917    63.5    62.5    63.7    62.1    63.1    54.7    54.1    52.1    53.7    51.4    56.7    61.0    63.0    53.7    53.9    61.6    58.2
 1918    63.3    60.7    58.9    62.2    60.9    54.4    50.7    51.8    51.9    60.2    65.6    67.5    60.7    52.3    59.3    65.8    59.0
 1919    62.6    67.3    64.6    61.7    62.2    57.0    54.5    52.6    54.1    62.4    64.2    63.3    62.8    54.7    60.2    64.9    60.5
 1920    65.2    66.2    62.0    62.6    61.8    56.0    53.3    55.2    52.7    55.4    66.3    65.9    62.1    54.8    58.1    64.1    60.2
 1921    64.8    61.4    61.6    59.2    62.0    56.6    54.1    53.8    52.6    50.6    60.4    64.3    60.9    54.8    54.5    64.3    58.4
 1922    64.3    64.3    63.4    65.2    61.5    56.9    54.9    52.3    47.8    52.5    65.2    64.9    63.4    54.7    55.1    63.9    59.4
 1923    62.8    63.9    61.2    62.3    60.5    58.4    52.9    53.3    55.8    59.5    62.7    67.1    61.3    54.8    59.3    63.9    60.0
 1924    60.5    64.1    68.0    60.8    59.5    54.7    52.1    50.8    51.9    51.1    58.1    64.5    62.8    52.5    53.7    63.0    58.0
 1925    62.0    62.4    59.3    59.9    57.6    55.5    51.7    49.9    55.7    64.3    63.2    65.0    58.9    52.4    61.1    64.5    58.9
 1926    64.8    63.6    64.2    61.8    57.9    52.9    51.9    54.1    57.0    57.4    63.8    66.9    61.3    53.0    59.4    65.6    59.7
 1927    64.2    65.9    64.8    62.2    62.9    57.8    52.2    54.8    54.7    50.8    63.3    64.4    63.3    55.0    56.2    63.5    59.8
 1928    61.9    64.2    62.3    60.9    58.9    59.4    54.8    54.4    50.6    56.2    65.1    63.4    60.7    56.2    57.3    63.7    59.3
 1929    62.9    64.7    63.5    62.9    61.4    54.2    52.6    50.2    55.3    55.7    63.6    61.6    62.6    52.3    58.2    62.7    59.0
 1930    65.2    61.4    62.9    58.5    61.9    53.4    49.6    50.8    52.9    59.0    61.3    64.8    61.1    51.3    57.8    64.3    58.5
 1931    63.0    65.1    63.7    60.0    60.3    53.3    51.8    53.0    53.2    55.0    63.1    67.9    61.3    52.7    57.1    66.1    59.1
 1932    67.0    63.4    65.0    60.9    60.9    56.4    52.2    53.9    50.5    56.4    58.1    65.3    62.3    54.1    55.0    63.4    59.2
 1933    62.9    61.9    62.7    61.6    62.6    50.9    51.8    53.5    52.7    51.8    57.9    61.4    62.3    52.1    54.1    62.1    57.6
 1934    63.2    61.8    58.1    60.7    56.5    53.7    50.1    53.2    52.5    53.5    63.9    65.8    58.4    52.3    56.6    64.7    57.7
 1935    63.8    64.6    63.7    65.3    65.1    56.7    54.6    54.1    51.9    53.6    65.4    66.8    64.7    55.1    57.0    65.3    60.5
 1936    65.1    64.1    62.3    58.8    59.2    51.2    50.5    50.7    54.1    56.7    58.2    65.3    60.1    50.8    56.3    65.3    58.0
 1937    66.2    64.4    64.7    61.7    59.1    57.0    52.4    52.5    51.7    56.4    63.3    68.1    61.8    54.0    57.1    66.5    59.8
