Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Yemen                : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1902    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1903    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1904    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1905    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1906    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1907    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1908    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1909    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1910    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1911    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
 1912    31.0    35.5    30.6    29.8    27.0    31.5    43.3    42.5    31.5    23.1    24.4    26.6    29.1    39.1    26.3    31.0    31.4
