Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Zambia               : parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    80.7    77.7    70.3    55.5    43.0    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1902    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1903    80.7    77.7    70.3    55.5    43.3    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.4    37.6    55.5    79.5    57.2
 1904    80.7    77.7    70.3    55.5    43.0    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1905    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1906    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1907    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1908    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1909    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1910    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1911    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1912    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1913    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1914    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1915    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1916    80.7    77.7    70.3    55.5    43.3    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.4    37.6    55.5    79.5    57.2
 1917    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1918    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1919    80.7    77.7    70.3    55.5    43.1    38.7    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1920    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1921    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1922    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    43.8    55.3    67.3    80.1    56.3    37.6    55.5    79.5    57.2
 1923    80.7    77.7    70.3    55.5    43.1    38.8    36.7    37.5    39.4    55.3    58.2    72.9    56.3    37.6    50.9    76.4    55.5
 1924    80.7    75.7    66.0    48.6    30.5    22.4    25.7    28.7    35.0    48.6    59.8    74.3    48.3    25.6    47.8    77.3    49.7
 1925    80.7    76.8    68.6    52.3    40.2    28.6    33.1    31.1    35.8    49.3    58.2    72.8    53.7    30.9    47.8    74.5    52.3
 1926    78.1    72.6    67.1    53.0    43.2    33.1    37.6    34.0    37.2    45.9    59.3    71.1    54.5    34.9    47.5    75.9    52.7
 1927    78.9    77.7    66.9    54.7    43.2    38.2    36.7    34.2    41.6    52.3    58.4    74.6    55.0    36.4    50.8    75.2    54.8
 1928    78.2    72.8    70.9    56.2    46.1    38.8    34.2    37.1    41.2    46.0    63.4    75.6    57.7    36.7    50.2    77.4    55.0
 1929    80.7    75.9    70.3    55.6    41.9    38.8    34.4    37.5    42.2    52.4    64.2    78.6    55.9    36.9    52.9    77.4    56.0
 1930    80.7    73.0    71.4    56.9    45.4    42.5    37.8    37.5    41.8    50.1    63.0    77.1    57.9    39.3    51.6    78.4    56.4
 1931    83.0    75.1    70.3    56.2    46.2    43.5    36.7    34.8    42.3    53.2    67.3    78.0    57.6    38.3    54.3    77.0    57.2
 1932    74.9    78.1    68.7    55.7    51.0    46.3    38.8    38.1    45.2    54.4    64.4    76.1    58.5    41.1    54.7    78.2    57.6
 1933    82.0    76.4    70.9    55.5    44.3    43.9    37.2    36.8    43.8    52.8    65.1    82.8    56.9    39.3    53.9    81.7    57.6
 1934    81.4    80.8    74.8    60.1    47.3    56.5    41.0    43.3    45.0    55.3    70.4    81.2    60.7    46.9    56.9    79.3    61.4
