Climatic Research Unit Land Average File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = All                  : Parameter = Cloud Cover                    : Units = percentage          
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    55.1    54.7    55.1    54.8    54.9    54.9    54.6    54.2    54.1    54.5    54.3    55.0    54.9    54.6    54.3    54.9    54.7
 1902    55.1    54.6    54.6    54.7    55.2    54.5    53.9    54.0    54.1    54.2    54.6    55.6    54.8    54.1    54.3    54.9    54.6
 1903    54.8    54.4    55.1    55.3    55.8    55.1    54.6    54.6    54.6    54.2    54.5    55.5    55.4    54.8    54.5    54.8    54.9
 1904    54.9    53.9    54.9    54.9    55.6    55.3    54.9    54.3    54.2    54.9    53.9    55.3    55.1    54.8    54.3    55.1    54.7
 1905    54.8    55.3    55.1    55.8    55.7    54.9    54.3    54.3    54.5    54.3    54.5    55.9    55.6    54.5    54.4    55.3    55.0
 1906    55.1    54.7    55.2    54.4    54.9    55.0    54.5    54.6    54.9    54.6    55.3    56.1    54.9    54.7    55.0    55.4    55.0
 1907    55.7    54.4    54.6    54.9    55.0    55.5    54.3    54.3    54.1    54.8    55.4    55.8    54.8    54.7    54.8    55.5    54.9
 1908    55.2    55.3    55.0    56.0    55.8    54.7    54.9    54.5    54.1    54.5    54.2    55.4    55.6    54.7    54.2    55.0    55.0
 1909    55.5    54.2    55.1    55.7    55.0    55.7    54.3    54.3    53.9    54.3    54.4    56.0    55.3    54.8    54.2    55.3    54.9
 1910    55.3    54.5    54.6    54.4    55.1    55.0    54.5    54.0    54.4    54.2    55.0    55.4    54.7    54.5    54.5    55.1    54.7
 1911    55.3    54.5    54.9    54.3    54.8    54.5    54.3    54.4    54.6    54.8    54.5    56.3    54.7    54.4    54.7    55.2    54.8
 1912    54.8    54.5    55.2    55.0    54.6    55.3    55.0    54.7    54.2    54.5    55.0    55.6    54.9    55.0    54.6    55.4    54.9
 1913    55.6    55.0    55.3    55.2    55.3    54.5    53.9    53.6    54.1    54.6    54.7    55.9    55.3    54.0    54.5    55.2    54.8
 1914    55.0    54.8    55.3    55.0    55.4    54.4    54.2    54.0    54.3    54.9    55.5    57.4    55.2    54.2    54.9    56.2    55.0
