Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Comoros              : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1902     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1903     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1904     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1905     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1906     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1907     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1908     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1909     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1910     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1911     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1912     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1913     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1914     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1915     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1916     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1917     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1918     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1919     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1920     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1921     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1922     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1923     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1924     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1925     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1926     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1927     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1928     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1929     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1930     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1931     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1932     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1933     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1934     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1935     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1936     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1937     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1938     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1939     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1940     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1941     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1942     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1943     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1944     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1945     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1946     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1947     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1948     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1949     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1950     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1951     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1952     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1953     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1954     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1955     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1956     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.9     7.9
 1957     6.8     6.7     7.3     7.6     8.0     8.4     8.7     8.9     8.9     8.3     7.7     7.2     7.7     8.7     8.3     6.7     7.9
 1958     6.8     6.3     6.9     7.8     8.3     8.2     8.6     8.9     9.0     8.4     7.3     6.9     7.7     8.6     8.2     6.7     7.8
 1959     6.8     6.5     6.8     8.0     8.7     8.5     8.5     8.8     8.9     8.1     7.6     7.0     7.8     8.6     8.2     7.1     7.8
 1960     7.1     7.3     7.1     7.4     8.2     8.3     8.8     9.4     8.9     8.3     7.9     7.2     7.5     8.8     8.4     7.8     8.0
 1961     7.9     8.4     8.4     8.1     7.9     8.4     7.5     9.2     9.4     8.6     7.7     6.5     8.2     8.4     8.6     6.5     8.2
 1962     5.9     7.2     8.4     8.0     8.4     9.1     9.3     8.1     9.0     7.5     7.5     7.9     8.3     8.8     8.0     7.1     8.0
 1963     6.8     6.5     7.3     7.3     8.4     8.1     8.7     9.3     9.0     8.4     6.5     6.9     7.6     8.7     7.9     6.4     7.8
 1964     5.8     6.6     6.2     7.2     8.4     8.1     8.8     8.8     9.1     8.4     8.2     8.0     7.3     8.6     8.6     6.8     7.8
 1965     6.5     6.0     6.3     7.6     8.2     8.8     8.4     8.5     8.8     8.2     6.8     6.6     7.4     8.6     7.9     6.9     7.5
 1966     7.8     6.4     8.1     7.6     8.1     8.1     9.1     9.2     8.9     8.4     7.5     7.3     7.9     8.8     8.3     6.8     8.1
 1967     6.1     7.1     7.4     7.4     7.0     7.3     7.0     7.6     7.4     7.0     6.4     5.8     7.3     7.3     7.0     5.9     7.0
 1968     5.9     6.0     6.7     6.9     7.6     7.8     8.4     8.6     7.9     7.2     6.9     6.7     7.1     8.3     7.3     6.7     7.2
 1969     7.1     6.2     7.2     6.9     7.6     8.4     8.1     7.7     8.1     6.8     7.1     7.6     7.2     8.1     7.3     6.7     7.4
 1970     6.5     5.9     7.8     7.8     8.2     8.2     8.5     8.4     7.9     7.6     7.2     6.8     7.9     8.4     7.5     6.6     7.6
 1971     6.9     5.9     7.4     8.0     8.8     9.6     9.1    10.2    10.3     9.0     7.9     7.3     8.1     9.6     9.1     7.2     8.4
 1972     7.7     6.6     7.5     8.1     7.7    10.2     9.1     9.3     9.4     8.0     8.8     7.8     7.8     9.6     8.8     6.7     8.4
 1973     6.2     6.3     5.7     7.1     9.5     8.4     9.4     9.1     9.4     7.7     7.7     7.7     7.4     8.9     8.3     7.3     7.8
 1974     7.5     6.9     7.3     6.9     7.9     8.6     8.0     9.1     9.8     8.1     7.6     7.0     7.4     8.6     8.5     7.0     7.9
 1975     7.1     6.8     6.7     6.9     7.2     7.8     8.7     9.0     8.2    10.4     8.6     7.6     6.9     8.5     9.0     7.4     7.9
 1976     6.9     7.7     7.1     7.3     7.9     8.3     8.7     9.2     9.3     8.2     8.2     7.4     7.4     8.7     8.5     6.9     8.0
 1977     6.9     6.4     7.3     7.3     7.4     8.5     8.9     9.0     8.4     8.0     7.6     7.6     7.3     8.8     8.0     7.4     7.8
 1978     6.9     7.8     6.9     7.5     8.7     7.9     7.8     9.5     8.2     7.3     7.2     6.1     7.7     8.4     7.6     6.5     7.7
 1979     7.5     6.0     7.1     7.1     7.5     8.1     8.7     8.6     8.9     8.5     7.9     8.1     7.3     8.5     8.4     7.4     7.8
 1980     6.1     7.9     7.1     6.6     7.6     9.1     8.6     8.5     9.0     8.7     8.0     7.3     7.1     8.7     8.6     7.5     7.9
 1981     8.4     6.7     7.3     8.7     8.1     9.5    10.0     9.2     9.2     8.9     7.5     7.3     8.0     9.6     8.5     6.4     8.4
 1982     5.4     6.4     8.2     8.6     7.8     7.9     8.6     8.8     9.1     7.7     7.4     6.1     8.2     8.4     8.0     6.4     7.7
 1983     6.6     6.4     6.4     7.3     7.6     7.6     7.9     8.4     8.9     8.7     7.6     6.9     7.1     8.0     8.4     6.3     7.5
 1984     6.3     5.5     7.4     7.1     7.7     7.2     8.5     8.9     9.5     8.3     8.0     6.4     7.4     8.2     8.6     6.7     7.6
 1985     6.9     6.9     6.9     8.0     8.7     9.3     9.0     9.7     9.7     7.9     7.4     7.4     7.9     9.3     8.3     7.1     8.2
 1986     7.0     7.0     8.8     8.0     8.8     8.5     9.5     9.9     9.5     7.8     6.9     6.8     8.5     9.3     8.0     6.7     8.2
 1987     6.1     7.2     7.5     8.8     7.9     9.2     9.5     9.1     8.4     8.3     8.5     7.0     8.1     9.2     8.4     7.7     8.1
 1988     7.8     8.2     8.1     8.1     9.0     8.1     9.3     8.8     9.4     8.7     7.9     7.8     8.4     8.8     8.7     6.6     8.4
 1989     6.2     5.9     7.0     7.1     6.9     8.0     8.5     8.5     8.6     8.5     7.8     6.7     7.0     8.3     8.3     7.2     7.5
 1990     7.3     7.6     8.3     7.9     7.8     8.8     9.7     9.5    10.2    10.1     8.7     9.1     8.0     9.3     9.7     8.0     8.7
 1991     8.1     6.7     6.9     7.8     8.2     9.2     9.0     9.5    10.0     9.0     7.7     7.9     7.6     9.2     8.9     7.4     8.3
 1992     7.3     7.0     6.4     6.8     7.7     7.7     8.4     8.9     9.2     9.0     7.7     8.4     7.0     8.3     8.6     7.6     7.9
 1993     7.4     7.0     7.0     7.5     8.3     8.5     8.9     9.4    10.0     9.8     7.9     8.8     7.6     8.9     9.2     7.6     8.4
 1994     7.1     7.0     8.1     8.5     8.1     9.3     9.1     9.3     9.6     8.1     8.4     7.5     8.2     9.2     8.7     6.8     8.4
 1995     5.9     7.1     7.3     7.8     8.0     9.7     9.3     8.2     9.6     8.8     8.4     7.6     7.7     9.1     8.9     7.4     8.1
 1996     7.5     7.1     7.1     7.8     6.9     8.2     8.7     9.7     8.6     8.5     8.2     6.7     7.3     8.9     8.4     6.2     7.9
 1997     6.1     5.9     7.1     7.7     8.9     7.5     8.1     9.3     9.2     8.0     6.2     7.2     7.9     8.3     7.8     6.7     7.6
 1998     6.6     6.3     7.1     7.1     8.5     8.2     8.9     8.8     7.4     7.9     7.6     7.0     7.6     8.6     7.6     6.7     7.6
 1999     6.4     6.8     7.1     7.6     7.5     7.9     8.2     8.5     8.2     9.3     7.8     7.8     7.4     8.2     8.4     7.3     7.7
 2000     6.7     7.5     7.1     8.3     8.4     7.7     8.7     8.2     8.4     8.4     6.3     7.1     7.9     8.2     7.7     6.6     7.7
 2001     6.3     6.4     6.7     7.7     7.8     7.7     8.7     8.2     8.6     7.0     7.7     6.6     7.4     8.2     7.8     6.3     7.5
 2002     6.1     6.1     6.4     7.0     8.3     7.8     9.0     7.5     7.1     7.5     6.7     7.4     7.2     8.1     7.1     6.6     7.2
 2003     5.8     6.5     7.2     8.1     8.4     8.5     8.6     8.9     8.3     7.9     7.0     6.1     7.9     8.7     7.7     6.4     7.6
 2004     6.7     6.4     6.5     6.8     8.3     8.1     8.9     8.6     7.4     6.3     7.0     5.6     7.2     8.5     6.9     6.0     7.2
 2005     6.5     5.9     6.8     7.7     7.0     7.5     7.8     8.9     8.5     8.2     7.7     6.9     7.2     8.1     8.1     6.8     7.4
 2006     6.6     6.8     6.0     7.0     6.8     7.3     7.5     7.6     7.6     7.1     7.0     5.8     6.6     7.5     7.2     5.7     6.9
 2007     5.4     6.0     6.7     7.4     7.4     8.1     8.6    10.5     8.7     6.9     7.4     6.8     7.2     9.1     7.7     6.4     7.5
 2008     6.4     5.9     7.3     6.7     7.9     7.9     8.4     8.7     8.9     7.7     6.6     6.8     7.3     8.4     7.7     6.9     7.4
 2009     7.0     7.0     7.5     7.8     8.2     8.7     9.3     8.9     9.3     8.5     6.9     7.0     7.8     9.0     8.2     6.5     8.0
 2010     6.2     6.4     7.2     7.1     7.2     7.2     7.9     9.2     8.6     9.0     7.9     7.5     7.2     8.1     8.5     7.4     7.6
