Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Greenland            : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1902    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1903    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1904    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1905    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1906    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1907    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1908    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1909    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1910    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1911    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1912    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1913    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1914    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1915    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1916    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1917    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1918    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1919    17.9    16.3    15.3    13.5    11.2    10.3     9.7    10.8    12.6    10.5    15.1    13.5    13.3    10.3    12.7    15.8    13.0
 1920    17.8    16.3    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.1    13.4    13.3    10.2    12.7    15.8    13.0
 1921    17.8    16.2    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.0    13.4    13.3    10.3    12.7    15.8    13.0
 1922    17.8    16.3    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.1    13.4    13.3    10.2    12.7    15.8    13.0
 1923    17.8    16.2    15.2    13.5    11.1    10.3     9.7    10.7    12.5    10.6    15.1    13.4    13.3    10.2    12.7    15.8    13.0
 1924    17.8    16.3    15.4    13.5    11.2    10.3     9.7    10.7    12.6    10.6    15.0    13.4    13.3    10.3    12.7    15.8    13.0
 1925    17.8    16.3    15.2    13.4    11.2    10.3     9.7    10.7    12.6    10.6    15.1    13.5    13.3    10.3    12.7    15.9    13.0
 1926    17.9    16.3    15.4    13.4    11.2    10.3     9.7    10.7    12.6    10.5    15.0    13.4    13.3    10.2    12.7    15.8    13.0
 1927    17.8    16.2    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.0    13.4    13.3    10.2    12.7    15.8    13.0
 1928    17.8    16.2    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.0    13.4    13.3    10.2    12.7    15.8    13.0
 1929    17.8    16.2    15.3    13.4    11.2    10.3     9.7    10.7    12.5    10.6    15.0    13.4    13.3    10.2    12.7    15.8    13.0
 1930    17.8    16.2    15.3    13.4    11.2    10.3     9.7    10.7    12.6    10.5    15.0    13.3    13.3    10.2    12.7    15.8    13.0
 1931    17.8    16.1    15.3    13.5    11.3    10.3     9.7    10.7    12.5    10.5    15.1    13.4    13.3    10.3    12.7    15.8    13.0
 1932    17.8    16.2    15.2    13.4    11.1    10.3     9.7    10.7    12.6    10.5    15.0    13.3    13.3    10.2    12.7    15.8    13.0
 1933    17.7    16.2    15.2    13.3    11.2    10.3     9.6    10.7    12.6    10.4    15.0    13.2    13.2    10.2    12.7    15.8    13.0
 1934    18.0    16.2    15.3    13.5    11.2    10.2     9.7    10.7    12.6    10.5    15.0    13.4    13.3    10.2    12.7    15.8    13.0
 1935    17.9    16.2    15.3    13.5    11.2    10.3     9.7    10.7    12.5    10.5    15.1    13.4    13.3    10.2    12.7    15.9    13.0
 1936    18.0    16.3    15.2    13.5    11.2    10.3     9.7    10.7    12.5    10.5    15.1    13.6    13.3    10.2    12.7    15.9    13.0
