Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Haiti                : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    10.0    10.3    10.2     9.5     9.1     9.3     9.8     9.8     9.4     9.2     8.9     9.5     9.6     9.6     9.2     9.9     9.6
 1902    10.0    10.3    10.2     9.5     9.1     9.3     9.8     9.8     9.4     9.2     8.9     9.5     9.6     9.6     9.2     9.9     9.6
 1903    10.0    10.3    10.2     9.5     9.1     9.3     9.8     9.8     9.4     9.2     8.9     9.5     9.6     9.6     9.2     9.9     9.6
 1904    10.0    10.3    10.2     9.5     9.1     9.3     9.8     9.8     9.4     9.2     8.9     9.5     9.6     9.6     9.2    10.2     9.6
 1905    10.0    11.2    10.3     9.2     8.5     9.2    10.5    10.2     9.6     8.7     8.7     9.5     9.4    10.0     9.0     9.9     9.6
 1906    10.0    10.3    10.2     9.5     9.1     9.3     9.8     9.8     9.4     9.2     8.9     9.5     9.6     9.6     9.2     9.7     9.6
 1907     9.0    10.7    10.3    11.7     9.6     9.3     9.4     9.8     8.8     8.1     7.7     8.7    10.5     9.5     8.2     9.6     9.4
 1908    10.4     9.9    10.8    10.2    11.3    10.0     9.9    10.1     9.1     8.9     7.1     7.2    10.8    10.0     8.4     8.0     9.6
 1909     8.6     8.1    11.1     9.6     9.1     9.3     9.8     9.8     9.4     8.7     6.4     9.0     9.9     9.6     8.2     8.9     9.1
 1910     8.6     9.1     9.5    10.2     9.8     8.7     9.2     8.3     8.5     8.5     9.2     8.8     9.8     8.7     8.7     9.1     9.0
 1911     8.6     9.9    10.2    12.5     9.9    10.4     9.9     9.8     9.4     8.7     8.9     9.2    10.9    10.0     9.0    10.2     9.8
 1912    10.4    11.2    11.2    10.0     9.4     9.3    10.2    10.1     9.6     8.6     8.7     9.4    10.2     9.9     9.0     9.7     9.8
 1913     9.6    10.2    10.0     8.5     8.8     9.8    10.0    11.1    10.1     9.7     8.8     9.6     9.1    10.3     9.5     9.9     9.7
 1914     9.8    10.2    10.3    10.0     9.7     9.4    11.1    11.3    10.1     9.8     9.6    10.2    10.0    10.6     9.8     9.9    10.1
 1915     9.4    10.2    12.5     8.3    10.3     9.2     9.6     9.5     8.8     9.2     8.4     8.5    10.4     9.4     8.8     8.7     9.5
 1916     8.2     9.4    10.5    10.9     9.3    10.3    10.5    10.3     9.3     8.5     8.5    10.1    10.2    10.4     8.8    10.2     9.6
 1917     9.9    10.6    11.2    10.8    10.4     8.4     9.8     9.8     9.4     9.7     7.8     9.5    10.8     9.3     9.0    10.4     9.8
 1918    11.6    10.2    11.8    10.8     8.7     9.5    10.1    10.6    10.6    10.4     9.6    11.5    10.5    10.1    10.2    12.0    10.5
 1919    11.8    12.9    12.2     8.3    10.3     9.6    10.2     9.9     9.6     9.2     9.8    10.4    10.3     9.9     9.5    10.4    10.3
 1920    10.4    10.6    10.8    11.7    11.2    10.6    11.1    11.0    10.1     9.7     9.4    10.7    11.3    10.9     9.7    10.6    10.6
 1921     9.9    11.4    10.7    10.3     9.0     9.7    10.0     9.8     8.8     9.1     9.3    10.3    10.0     9.8     9.1     9.7     9.9
 1922    10.1     8.7    10.7     9.5     9.9     9.2    10.6    10.8     9.2     9.2     8.6     8.5    10.0    10.2     9.0     9.5     9.6
 1923    10.0    10.2    10.5     9.9    10.5    10.5    10.8    10.9    10.9    10.1    10.0    10.4    10.3    10.7    10.3    10.2    10.4
 1924    10.0    10.3    10.2     9.5    10.6     9.3     9.8     9.8     9.4     9.2     8.9     9.5    10.1     9.6     9.2     9.9     9.7
 1925    10.0    10.3    11.0    12.2     9.1    11.7     9.8     9.8     9.4     9.2    11.9     9.5    10.8    10.4    10.2    10.9    10.3
 1926    10.0    13.1    10.2    11.1    11.0    10.6     9.8     9.9     9.8     7.6     7.1     9.1    10.8    10.1     8.2    10.0     9.9
 1927    10.0    11.1    11.7    10.7    10.0     9.9     9.6    10.2     9.4     9.4     8.4    10.7    10.8     9.9     9.1    11.1    10.1
 1928    10.0    12.6    12.4     9.5    10.5     9.3     9.8     9.0     9.4     9.2     8.9     9.0    10.8     9.4     9.2     9.8    10.0
 1929    10.1    10.4     9.3    10.0     8.9     9.0    10.6     9.3     9.3    10.1     9.7    10.8     9.4     9.6     9.7    10.9     9.8
 1930    10.6    11.4    11.7    11.0     9.6     9.2    10.3    10.3     9.4     9.3     9.2    11.1    10.8     9.9     9.3    11.1    10.3
 1931    10.9    11.3    12.0     9.5     8.8     8.8     9.4     8.8     8.2     8.2     7.9     8.8    10.1     9.0     8.1    10.0     9.4
 1932     9.9    11.4    11.8     9.3     8.1     8.8     9.7     9.1     8.7     9.3     9.2    10.6     9.8     9.2     9.1    10.8     9.7
 1933    11.3    10.5     9.9    10.4     8.6     9.7     9.2     9.3     9.2     8.7     8.3    10.8     9.6     9.4     8.7    11.1     9.7
 1934    11.8    10.7    11.0    10.8     9.4     9.7     9.3     9.6     9.1     9.7    10.3     9.3    10.4     9.5     9.7    10.4    10.1
 1935    11.6    10.3    10.6    10.7     9.4     9.9    10.3     9.5     9.4     9.4     9.2     9.7    10.2     9.9     9.3    10.7    10.0
 1936    11.2    11.1    11.1    10.0     8.4     9.2     9.6     9.1     9.2     9.4     9.8     9.8     9.9     9.3     9.5     9.7     9.8
 1937     8.6    10.6    10.5     9.4     8.5     9.2    10.1     9.5     8.1     8.5     9.6     9.2     9.5     9.6     8.7     9.7     9.3
 1938    10.1    10.0     9.6     9.7     9.1     8.9    10.5     9.6     9.9     9.5     8.4     9.6     9.5     9.7     9.3    10.8     9.6
 1939    11.2    11.6    10.0     9.6    10.0     9.2    10.5    10.8    10.1     8.6     8.9     9.8     9.9    10.2     9.2    10.2    10.0
 1940    11.1     9.8    10.4     9.6     8.5     8.7     9.7    10.0     9.6     9.0     9.2     9.9     9.5     9.5     9.3    10.8     9.6
 1941    11.0    11.4    11.0     9.9     8.6     9.2     9.5     9.7     9.5    10.2     9.5     8.8     9.8     9.5     9.7    10.2     9.9
 1942    10.8    10.9    11.1     9.0     9.3     9.1     9.6    10.0     9.3    10.1     8.9     9.6     9.8     9.6     9.4    10.1     9.8
 1943    10.5    10.4    10.6     9.9     9.2     9.1     9.5     9.4     9.7     8.9     9.1     8.8     9.9     9.3     9.2    10.4     9.6
