Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Henderson_Isl        : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1902     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1903     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1904     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1905     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1906     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1907     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1908     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1909     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1910     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1911     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1912     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1913     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1914     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1915     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1916     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1917     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1918     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
 1919     5.4     5.2     5.2     4.8     4.6     4.5     4.5     4.7     5.0     5.1     4.9     5.0     4.9     4.6     5.0     5.2     4.9
