Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Kiribati             : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1902     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1903     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1904     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1905     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1906     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1907     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1908     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1909     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1910     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1911     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1912     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
 1913     5.7     5.7     5.7     5.9     5.8     5.7     5.8     6.0     6.0     5.9     6.0     5.7     5.8     5.8     6.0     5.7     5.8
