Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Lord_Howe_Isl        : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.3     8.3     6.6     5.7     6.4     5.5     3.9     5.0     6.0     6.3     6.4     7.2     6.2     4.8     6.2     6.5     6.0
 1902     7.3     5.0     4.3     7.3     6.9     6.4     5.5     6.2     6.3     5.6     5.8     6.2     6.2     6.0     5.9     6.1     6.1
 1903     6.8     5.1     5.5     6.2     5.1     5.7     4.1     4.3     5.6     4.8     5.6     5.8     5.6     4.7     5.3     7.6     5.4
 1904     7.2     9.9     4.5     5.0     5.2     6.9     3.7     6.4     7.3     6.1     6.8     6.5     4.9     5.7     6.7     6.8     6.3
 1905     7.4     6.5     6.7     4.8     4.6     6.6     6.2     6.9     6.0     6.5     7.4     6.4     5.4     6.6     6.6     6.5     6.3
 1906     6.9     6.1     5.5    10.1     6.2     5.1     6.7     6.0     4.6     5.9     6.7     6.0     7.3     5.9     5.7     5.1     6.3
 1907     4.2     5.2     5.5     5.7     5.4     3.2     6.6     6.6     6.9     6.3     4.7     5.0     5.5     5.5     6.0     4.6     5.4
 1908     5.2     3.6     4.7     3.3     5.1     5.8     4.8     3.9     4.0     5.0     3.3     3.8     4.4     4.8     4.1     4.9     4.4
 1909     5.6     5.4     5.3     6.2     6.6     4.0     4.2     3.7     4.5     5.5     3.9     5.0     6.0     4.0     4.6     4.8     5.0
 1910     4.5     4.9     3.0     4.7     5.9     3.5     4.3     5.9     4.1     5.1     3.7     5.4     4.5     4.6     4.3     3.9     4.6
 1911     2.8     3.5     5.0     5.8     6.1     6.3     5.0     4.3     5.4     5.1     4.8     6.0     5.6     5.2     5.1     5.8     5.0
 1912     5.8     5.5     5.1     6.8     7.1     4.8     4.0     5.2     7.1     5.7     4.6     4.9     6.3     4.7     5.8     5.0     5.5
 1913     5.2     4.8     6.8     5.1     4.6     4.9     4.9     5.8     5.8     5.3     6.4     5.0     5.5     5.2     5.8     5.2     5.4
 1914     6.1     4.4     3.8     7.3     4.8     4.8     4.8     5.6     5.4     3.7     5.3     4.5     5.3     5.1     4.8     5.3     5.0
 1915     5.9     5.5     6.8     5.6     5.5     5.4     5.1     6.2     6.8     6.6     7.2     4.4     6.0     5.6     6.9     5.3     5.9
 1916     6.1     5.5     5.3     4.6     6.3     4.4     3.5     4.4     3.8     4.2     3.9     4.2     5.4     4.1     3.9     4.8     4.7
 1917     5.1     4.9     5.3     5.9     6.6     5.6     5.4     5.3     5.7     5.2     4.7     4.4     5.9     5.4     5.2     4.6     5.4
 1918     3.7     5.6     5.2     4.8     6.1     7.9     6.9     4.5     6.1     6.7     5.4     5.7     5.4     6.4     6.1     6.1     5.7
 1919     6.4     6.2     5.9     4.4     3.9     5.5     5.1     6.3     7.7     5.8     5.5     5.3     4.8     5.6     6.3     5.1     5.7
 1920     4.5     5.4     5.8     4.6     5.8     5.6     4.8     4.6     5.7     4.2     5.0     5.4     5.4     5.0     5.0     5.1     5.1
 1921     4.1     5.9     4.7     4.5     3.9     4.1     5.2     5.2     5.7     5.1     5.0     4.3     4.4     4.9     5.3     4.6     4.8
 1922     5.2     4.4     7.2     6.2     5.9     4.3     5.3     5.3     5.8     6.2     6.8     4.7     6.4     5.0     6.3     6.2     5.6
 1923     6.8     7.1     7.2     4.3     6.8     5.4     4.0     4.7     6.2     6.0     6.8     5.6     6.1     4.7     6.3     4.9     5.9
 1924     4.6     4.6     5.9     5.8     5.9     5.1     4.8     5.2     5.2     5.4     4.1     5.0     5.9     5.0     4.9     5.3     5.1
 1925     4.6     6.2     4.7     5.1     5.0     4.5     5.6     3.8     6.1     6.2     3.9     4.9     4.9     4.6     5.4     5.7     5.0
 1926     5.4     6.7     4.5     5.3     4.8     4.8     5.2     5.7     6.0     7.0     7.0     5.0     4.9     5.2     6.7     5.2     5.6
 1927     5.0     5.4     4.5     5.0     7.0     5.6     6.8     6.0     6.1     5.5     4.1     4.5     5.5     6.1     5.2     4.7     5.5
 1928     5.3     4.3     5.3     5.2     5.3     5.5     4.6     5.3     6.0     5.7     5.3     5.6     5.3     5.1     5.7     5.0     5.3
 1929     5.2     4.1     4.8     5.3     5.0     4.8     5.3     5.8     5.2     4.4     5.2     6.8     5.0     5.3     4.9     5.6     5.2
 1930     4.5     5.4     4.5     4.9     4.2     4.3     5.1     5.4     6.0     4.0     6.0     5.7     4.5     4.9     5.3     5.3     5.0
 1931     5.4     4.7     4.8     4.6     4.9     5.3     5.1     5.4     6.2     6.2     5.0     4.2     4.8     5.3     5.8     5.5     5.2
 1932     6.1     6.2     5.9     4.9     3.0     4.7     4.8     5.3     3.3     4.6     4.2     5.2     4.6     4.9     4.0     5.9     4.8
 1933     5.1     7.3     4.6     5.2     5.3     5.0     4.7     5.2     4.9     4.5     3.1     3.9     5.0     5.0     4.2     4.7     4.9
 1934     5.1     5.2     5.3     5.3     5.4     5.7     5.5     5.7     6.0     4.5     3.9     4.0     5.3     5.6     4.8     5.1     5.1
 1935     5.7     5.5     6.0     6.7     6.7     6.0     5.3     5.6     4.8     4.2     5.3     5.1     6.5     5.6     4.8     5.2     5.6
 1936     4.9     5.6     4.4     5.9     5.3     5.9     4.8     6.6     5.7     6.4     7.0     5.2     5.2     5.7     6.4     5.2     5.6
 1937     5.1     5.3     5.1     5.4     6.3     5.1     4.6     5.5     6.2     4.3     4.8     4.9     5.6     5.1     5.1     5.2     5.2
 1938     5.0     5.8     5.9     5.4     5.1     5.3     5.1     5.3     5.4     5.4     4.3     6.1     5.5     5.2     5.0     5.8     5.3
 1939     5.5     5.7     3.8     3.8     5.4     4.4     4.6     5.3     5.4     4.9     5.3     5.8     4.3     4.8     5.2     5.4     5.0
 1940     5.2     5.1     4.5     4.8     4.1     4.6     5.5     5.0     4.8     4.7     4.4     4.5     4.5     5.0     4.6     4.4     4.8
 1941     4.2     4.6     4.7     4.4     5.1     4.1     4.6     5.0     4.4     4.6     4.9     4.3     4.7     4.5     4.6     4.8     4.6
 1942     5.1     5.0     4.9     4.4     4.5     4.7     4.4     5.5     4.8     4.4     4.6     4.6     4.6     4.9     4.6     4.9     4.7
 1943     5.0     5.1     5.8     5.1     5.5     5.0     5.3     4.9     5.3     5.0     4.7     4.8     5.5     5.1     5.0     5.0     5.1
 1944     4.7     5.3     5.6     5.5     5.2     5.5     4.4     4.8     5.3     5.4     5.0     5.4     5.4     4.9     5.2     5.1     5.2
 1945     5.1     4.9     5.3     5.3     4.5     3.2     4.7     4.3     5.9     5.2     5.2     4.6     5.1     4.1     5.4     5.0     4.9
 1946     5.2     5.1     5.2     4.4     6.0     5.3     5.0     5.5     5.4     5.4     5.4     5.1     5.2     5.3     5.4     4.5     5.2
 1947     4.5     4.0     4.7     4.7     4.2     4.7     5.5     5.2     5.2     5.1     4.8     4.9     4.5     5.1     5.0     5.0     4.8
 1948     5.2     4.8     4.4     5.5     4.9     4.8     5.2     5.7     5.0     5.4     5.3     5.0     4.9     5.2     5.2     5.2     5.1
 1949     5.3     5.3     4.6     5.2     5.3     5.3     5.3     5.1     5.6     4.7     5.3     4.9     5.0     5.2     5.2     4.2     5.2
 1950     4.3     3.3     3.4     5.0     5.1     4.3     4.1     5.2     5.7     4.7     4.6     4.4     4.5     4.6     5.0     4.7     4.5
 1951     4.6     5.0     5.0     5.5     5.5     4.9     5.5     5.3     5.8     5.6     5.2     5.4     5.3     5.2     5.5     5.3     5.3
 1952     5.4     5.0     4.4     5.3     4.5     4.9     4.6     5.4     6.0     4.9     5.4     5.1     4.7     5.0     5.4     5.0     5.1
 1953     5.1     4.8     5.1     5.5     5.5     5.6     5.1     5.6     5.0     5.2     5.6     5.7     5.4     5.4     5.3     5.3     5.3
 1954     5.1     5.1     5.3     5.3     4.0     4.8     4.5     5.1     5.3     5.2     4.9     4.6     4.9     4.8     5.1     4.3     4.9
 1955     4.5     3.9     4.2     4.1     4.4     4.7     5.1     6.6     5.1     4.8     4.9     4.7     4.2     5.5     4.9     4.3     4.7
 1956     4.3     3.8     3.7     5.3     4.7     4.8     5.3     5.9     5.4     5.7     6.1     4.5     4.6     5.3     5.7     4.4     4.9
 1957     4.8     4.0     5.1     5.1     5.5     4.9     4.8     5.0     5.6     5.3     5.3     5.0     5.2     4.9     5.4     4.7     5.0
 1958     4.6     4.6     4.3     4.3     4.6     3.8     5.0     5.3     5.8     5.5     5.1     5.0     4.4     4.7     5.5     4.7     4.8
 1959     4.3     4.8     5.0     5.2     5.1     4.8     4.8     4.9     4.8     5.0     3.9     4.7     5.1     4.8     4.6     4.6     4.8
 1960     4.4     4.8     4.9     4.5     4.6     4.8     5.0     4.9     4.8     4.9     5.1     4.9     4.7     4.9     4.9     5.0     4.8
 1961     5.0     5.0     4.5     4.5     4.8     4.4     5.5     5.1     5.4     4.8     3.8     4.2     4.6     5.0     4.7     4.3     4.8
 1962     3.9     4.9     4.7     4.4     4.8     5.0     4.6     5.0     4.7     5.7     4.8     4.9     4.6     4.9     5.1     4.7     4.8
 1963     4.6     4.7     3.7     4.8     3.9     4.2     4.8     4.4     5.1     3.9     4.5     4.4     4.1     4.5     4.5     4.5     4.4
 1964     4.6     4.4     4.3     4.0     4.4     4.5     5.3     5.5     4.5     4.7     4.4     5.1     4.2     5.1     4.5     4.8     4.6
 1965     4.8     4.4     5.0     4.7     5.2     4.0     4.8     4.7     4.6     4.5     5.0     4.2     5.0     4.5     4.7     4.5     4.7
 1966     4.6     4.8     4.2     4.4     4.6     4.5     4.9     4.3     4.8     4.2     4.7     4.5     4.4     4.6     4.6     4.4     4.5
 1967     4.6     3.9     3.9     4.0     4.1     3.2     4.5     4.7     5.7     4.0     5.1     4.6     4.0     4.1     4.9     4.6     4.4
 1968     4.6     4.6     4.8     5.0     4.9     5.2     4.7     5.2     5.1     4.8     5.1     4.5     4.9     5.0     5.0     4.5     4.9
 1969     4.8     4.3     4.4     4.7     3.7     4.4     4.2     4.0     5.4     4.0     3.8     4.4     4.3     4.2     4.4     4.3     4.3
 1970     4.3     4.2     4.7     4.4     4.8     4.8     4.8     4.9     4.7     4.2     3.8     3.8     4.6     4.8     4.2     3.9     4.5
 1971     4.1     3.8     4.5     4.8     4.9     4.6     4.5     4.7     4.8     5.0     4.9     4.1     4.7     4.6     4.9     4.0     4.6
 1972     4.0     3.7     4.1     4.8     4.0     4.4     5.3     4.8     4.0     3.8     3.8     4.9     4.3     4.8     3.9     4.1     4.3
 1973     3.9     3.4     4.5     4.5     4.6     4.8     3.8     4.8     4.7     4.3     4.5     4.1     4.5     4.5     4.5     3.9     4.3
 1974     3.5     4.1     4.0     4.3     4.3     5.0     5.6     5.4     5.2     4.7     4.3     4.5     4.2     5.3     4.7     4.4     4.6
 1975     4.1     4.5     3.9     4.4     4.9     4.9     5.0     4.7     3.7     4.5     4.0     3.8     4.4     4.9     4.1     3.8     4.4
 1976     4.1     3.4     3.8     4.1     4.2     3.9     4.5     5.5     5.2     5.4     5.4     4.9     4.1     4.6     5.3     4.8     4.5
 1977     5.0     4.4     4.3     5.1     4.3     5.0     5.1     5.3     5.5     4.9     4.4     5.0     4.6     5.1     4.9     4.6     4.9
 1978     4.4     4.5     4.4     4.3     4.0     4.4     4.3     4.3     4.0     3.9     4.0     4.0     4.2     4.3     4.0     4.0     4.2
 1979     4.0     4.1     4.2     3.8     4.1     3.7     4.8     5.2     4.5     4.6     4.0     4.6     4.0     4.6     4.4     4.2     4.3
 1980     4.2     3.7     4.4     4.1     3.2     4.1     4.7     4.8     5.5     4.4     5.4     4.6     3.9     4.5     5.1     4.3     4.4
 1981     4.3     4.1     4.5     4.9     5.0     4.9     4.9     5.3     5.1     4.4     4.5     4.1     4.8     5.0     4.7     4.1     4.7
 1982     3.7     4.4     3.5     4.6     4.3     4.4     4.7     4.6     4.1     4.7     3.9     4.3     4.1     4.6     4.2     4.4     4.3
 1983     4.2     4.7     4.2     3.7     3.8     4.1     4.2     4.4     4.7     4.1     4.1     4.3     3.9     4.2     4.3     4.4     4.2
 1984     4.4     4.6     5.0     4.0     4.0     3.7     4.2     5.0     5.4     4.1     4.0     4.7     4.3     4.3     4.5     4.5     4.4
 1985     4.4     4.4     4.0     4.3     3.8     4.6     4.4     4.6     4.3     4.2     4.1     4.0     4.0     4.5     4.2     4.2     4.3
 1986     4.0     4.5     4.4     4.8     3.9     4.5     4.6     4.5     4.4     4.7     4.1     4.5     4.4     4.5     4.4     4.4     4.4
 1987     4.3     4.4     4.4     4.1     3.4     3.9     4.7     4.0     5.0     4.4     4.5     4.3     4.0     4.2     4.6     4.1     4.3
 1988     3.7     4.3     4.3     3.4     4.1     4.1     4.2     4.1     4.1     5.1     4.3     4.3     3.9     4.1     4.5     4.6     4.2
 1989     5.0     4.5     4.3     4.5     4.3     4.8     4.9     5.4     5.3     4.9     4.6     4.3     4.4     5.0     4.9     4.4     4.7
 1990     4.4     4.5     4.3     3.6     4.4     4.2     4.7     5.0     4.6     5.1     4.5     4.6     4.1     4.6     4.7     4.7     4.5
 1991     5.0     4.6     4.5     6.2     4.7     5.5     5.4     6.1     6.0     5.5     5.3     5.2     5.1     5.7     5.6     4.7     5.3
 1992     4.6     4.2     3.7     3.8     4.5     5.2     5.3     5.8     5.8     5.2     4.8     4.2     4.0     5.4     5.3     4.4     4.8
 1993     4.3     4.7     4.4     5.1     5.1     5.1     3.9     5.0     5.0     5.0     5.4     5.0     4.9     4.7     5.1     4.6     4.8
 1994     4.2     4.7     4.3     5.2     5.3     5.1     5.5     6.0     6.4     5.9     4.7     4.5     4.9     5.5     5.7     4.3     5.2
 1995     4.2     4.1     4.9     5.1     4.1     5.0     5.5     5.1     5.0     5.1     4.6     5.2     4.7     5.2     4.9     4.7     4.8
 1996     4.0     4.8     4.8     5.2     4.5     4.8     5.1     5.8     5.4     4.6     4.6     4.5     4.8     5.2     4.9     4.5     4.8
 1997     4.6     4.3     5.1     6.7     4.5     5.4     4.6     5.6     4.6     5.0     4.9     4.3     5.4     5.2     4.8     4.4     5.0
 1998     4.8     4.1     4.9     4.6     4.6     4.3     3.9     4.3     4.6     4.9     3.7     4.7     4.7     4.2     4.4     4.2     4.4
 1999     3.9     4.0     4.7     4.9     4.3     4.3     4.4     4.9     5.1     5.1     5.0     4.5     4.6     4.6     5.1     4.6     4.6
 2000     4.5     4.7     4.4     4.9     4.2     5.2     4.6     5.8     4.8     4.4     4.6     4.7     4.5     5.2     4.6     4.7     4.8
 2001     4.5     5.0     4.1     5.3     5.5     5.6     5.3     5.9     5.1     5.0     4.3     4.9     5.0     5.6     4.8     4.7     5.0
 2002     4.7     4.5     5.1     4.7     5.5     5.7     5.7     5.0     5.2     5.7     5.3     5.4     5.1     5.4     5.4     5.0     5.2
 2003     5.1     4.5     4.5     5.1     4.7     4.5     5.4     5.3     5.9     5.5     5.1     4.0     4.8     5.1     5.5     4.6     5.0
 2004     4.5     5.2     3.9     5.3     4.9     5.6     5.4     6.2     5.8     4.7     4.4     4.6     4.7     5.7     4.9     4.5     5.0
 2005     3.9     4.9     5.5     5.0     4.8     4.8     5.0     5.2     5.1     5.0     4.6     4.6     5.1     5.0     4.9     4.4     4.9
 2006     3.7     4.9     4.3     5.4     5.9     4.9     4.3     5.6     5.1     4.8     5.0     5.1     5.2     4.9     5.0     5.0     4.9
 2007     5.3     4.7     4.8     5.3     5.6     4.8     5.5     4.8     5.4     5.2     4.5     4.6     5.2     5.0     5.0     4.2     5.0
 2008     3.7     4.2     4.8     4.8     5.1     4.2     4.6     6.1     4.4     5.2     4.1     4.8     4.9     5.0     4.6     4.6     4.7
