Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Mali                 : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    16.0    16.6    16.4    15.6    14.7    13.5    12.6    12.0    12.7    14.3    15.6    15.5    15.5    12.7    14.2    16.0    14.6
 1902    15.9    16.6    16.4    15.6    14.7    13.5    12.6    11.9    12.7    14.3    15.6    15.5    15.5    12.7    14.2    16.1    14.6
 1903    16.0    16.6    16.3    15.6    14.7    13.5    12.6    12.0    12.7    14.4    15.6    15.5    15.5    12.7    14.2    16.1    14.6
 1904    16.0    16.6    16.4    15.2    14.3    13.3    12.5    11.7    12.7    14.3    15.6    15.5    15.3    12.5    14.2    15.9    14.5
 1905    15.8    16.3    15.6    15.0    14.7    13.5    12.6    12.0    12.7    14.3    15.6    14.1    15.1    12.7    14.2    15.6    14.4
 1906    17.0    15.5    16.3    15.6    15.2    13.6    12.9    12.0    13.5    14.7    16.8    15.5    15.7    12.8    15.0    16.9    14.9
 1907    17.1    18.2    17.8    15.8    14.9    13.4    13.1    12.1    13.3    13.9    16.8    16.6    16.2    12.8    14.7    17.1    15.2
 1908    17.0    17.7    18.0    15.6    14.7    14.4    13.3    12.1    13.1    14.3    16.9    17.6    16.1    13.3    14.8    17.7    15.4
 1909    17.4    18.1    16.4    16.8    14.7    13.6    12.6    12.0    12.7    14.3    15.6    17.1    15.9    12.7    14.2    17.0    15.1
 1910    16.9    16.9    17.6    16.6    14.8    14.1    12.8    12.2    13.2    15.5    15.4    15.1    16.3    13.0    14.7    16.3    15.1
 1911    16.5    17.2    16.9    15.6    14.4    13.3    12.4    11.7    12.5    14.0    16.6    16.6    15.6    12.5    14.3    16.6    14.8
 1912    16.9    16.2    15.9    16.6    14.4    13.2    13.1    12.4    13.0    14.7    16.3    15.5    15.6    12.9    14.7    16.3    14.9
 1913    16.4    17.0    17.1    16.7    15.1    14.4    13.4    12.5    13.1    14.6    15.9    15.7    16.3    13.4    14.5    16.5    15.2
 1914    16.6    17.1    18.1    16.0    14.7    14.3    13.0    11.8    12.8    14.9    16.4    16.4    16.2    13.0    14.7    16.5    15.2
 1915    16.5    16.7    17.0    15.9    14.8    13.6    12.7    12.3    12.9    14.5    15.6    15.6    15.9    12.8    14.3    16.2    14.8
 1916    16.1    16.9    17.0    15.8    15.0    13.5    12.9    12.3    13.0    15.1    15.6    15.6    15.9    12.9    14.5    16.1    14.9
 1917    16.0    16.6    16.4    15.6    14.9    13.8    13.0    12.2    12.9    15.1    15.7    15.8    15.6    13.0    14.6    16.3    14.8
