Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Paracel_Isl          : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1902     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1903     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1904     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1905     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1906     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1907     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1908     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1909     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.2     5.4
 1910     5.1     5.4     5.7     5.7     5.8     5.4     5.2     5.5     5.5     5.5     5.0     5.1     5.7     5.4     5.3     5.7     5.4
 1911     5.1     6.8     6.0     6.0     5.1     4.3     4.8     5.3     6.2     6.4     5.0     5.1     5.7     4.8     5.9     4.8     5.5
 1912     3.3     6.0     6.8     6.6     6.3     4.8     5.5     6.3     6.7     7.6     6.2     4.7     6.6     5.5     6.8     5.6     5.9
 1913     5.9     6.1     5.3     5.9     6.2     5.3     5.3     5.6     6.1     7.4     6.3     4.6     5.8     5.4     6.6     5.7     5.8
 1914     7.2     5.4     6.1     6.7     6.2     4.9     4.9     6.1     6.1     5.6     4.1     4.4     6.3     5.3     5.3     5.4     5.6
 1915     5.5     6.4     6.5     6.2     6.1     5.2     4.4     5.3     6.7     5.5     4.7     6.9     6.3     5.0     5.6     6.6     5.8
 1916     7.1     5.8     5.3     6.5     6.5     4.9     5.9     6.0     5.7     6.4     6.9     6.3     6.1     5.6     6.3     6.7     6.1
 1917     5.9     7.9     6.3     5.7     6.6     5.2     5.0     6.0     7.0     7.1     5.5     5.1     6.2     5.4     6.5     6.6     6.1
 1918     7.4     7.3     6.5     6.6     5.6     5.4     5.8     5.5     5.3     6.9     4.1     5.1     6.2     5.6     5.4     5.5     6.0
 1919     5.4     6.1     5.1     6.5     6.9     4.8     5.0     6.5     6.8     6.8     5.7     5.4     6.2     5.4     6.4     5.8     5.9
 1920     8.2     3.8     4.4     5.7     4.6     5.3     4.6     5.5     5.2     5.5     3.4     2.6     4.9     5.1     4.7     5.4     4.9
 1921     5.8     7.8     7.2     6.8     5.5     6.0     6.2     6.9     6.0     7.2     5.8     4.3     6.5     6.4     6.3     3.7     6.3
 1922     2.7     4.1     4.4     6.5     5.9     5.6     5.2     5.6     5.0     6.6     7.9     5.9     5.6     5.5     6.5     6.7     5.5
 1923     7.5     6.6     7.6     5.7     6.2     4.6     5.2     4.8     6.4     7.3     6.9     5.8     6.5     4.9     6.9     4.7     6.2
 1924     4.3     3.9     5.7     4.7     6.2     4.7     5.2     5.8     6.8     5.8     4.6     7.2     5.5     5.2     5.7     5.3     5.4
 1925     3.3     5.5     5.5     5.2     6.6     6.1     5.2     6.6     7.4     4.0     5.2     4.7     5.8     6.0     5.5     4.7     5.4
 1926     5.4     3.9     5.4     4.7     6.6     5.4     5.9     6.4     7.2     6.7     5.8     3.1     5.6     5.9     6.6     4.9     5.5
 1927     6.1     5.4     6.2     6.0     6.8     6.6     6.1     7.0     6.7     6.8     6.2     6.0     6.3     6.6     6.6     5.4     6.3
 1928     4.7     5.6     6.1     5.3     4.6     5.1     5.6     5.4     5.9     6.1     5.9     5.4     5.3     5.4     6.0     5.5     5.5
 1929     5.8     5.4     5.5     4.4     6.4     6.8     5.8     5.8     5.9     6.9     5.7     6.4     5.4     6.1     6.2     6.3     5.9
 1930     6.4     6.2     5.0     8.0     6.0     6.5     4.0     5.8     5.1     6.9     6.5     4.3     6.3     5.4     6.2     5.6     5.9
 1931     6.3     6.2     5.6     6.7     6.3     5.4     6.1     5.2     6.4     5.8     6.4     4.9     6.2     5.6     6.2     6.0     5.9
 1932     7.4     5.8     6.8     6.8     6.5     5.9     5.4     5.6     5.8     6.5     6.1     5.9     6.7     5.6     6.1     5.6     6.2
 1933     4.3     6.6     7.0     7.3     7.2     6.5     6.1     5.8     6.6     6.9     6.2     5.8     7.2     6.1     6.6     5.7     6.4
 1934     4.7     6.6     6.9     5.6     6.0     6.2     4.6     5.1     5.4     5.6     4.9     6.2     6.2     5.3     5.3     5.4     5.6
