Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Tonga                : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.6     5.6     4.9     5.6     4.6     5.7     4.7     5.5     4.5     4.2     4.1     5.4     5.0     5.3     4.3     5.3     5.0
 1902     5.2     5.2     5.7     4.6     4.9     4.7     5.2     5.6     5.8     5.2     4.1     4.9     5.1     5.2     5.0     4.9     5.1
 1903     4.5     5.5     6.7     5.3     5.5     4.7     6.0     5.5     6.4     5.2     4.6     5.0     5.8     5.4     5.4     5.0     5.4
 1904     4.8     5.3     5.8     4.4     5.2     5.6     5.8     4.5     5.6     4.5     4.3     5.6     5.2     5.3     4.8     5.2     5.1
 1905     4.6     5.4     5.7     4.2     5.6     5.1     5.3     5.2     6.0     5.3     4.9     5.2     5.2     5.2     5.4     5.4     5.2
 1906     5.1     6.0     4.7     4.8     5.2     5.2     4.3     5.1     4.1     4.3     4.3     4.6     4.9     4.9     4.3     5.0     4.8
 1907     5.4     4.9     4.8     5.1     4.5     5.2     4.6     5.2     4.3     5.3     5.2     4.2     4.8     5.0     4.9     5.1     4.9
 1908     5.4     5.7     5.6     5.4     4.9     5.2     5.4     5.1     5.7     5.5     5.2     5.7     5.3     5.2     5.5     5.2     5.4
 1909     4.7     5.3     4.9     4.5     4.1     4.1     5.6     5.2     5.6     5.5     5.3     5.6     4.5     5.0     5.5     6.3     5.0
 1910     6.1     7.2     6.7     5.3     5.8     6.5     6.9     5.8     7.4     7.4     4.2     7.0     5.9     6.4     6.3     6.7     6.4
 1911     6.5     6.5     6.2     6.5     6.4     6.4     6.8     5.6     5.4     7.2     6.0     6.0     6.4     6.3     6.2     5.8     6.3
 1912     5.7     5.8     6.5     4.4     5.4     6.5     5.9     7.0     5.5     5.4     6.1     6.5     5.4     6.5     5.7     6.5     5.9
 1913     7.2     5.8     6.9     6.7     6.1     5.6     6.0     6.5     5.2     5.9     4.9     4.8     6.6     6.0     5.3     5.6     6.0
 1914     5.7     6.5     6.9     4.1     5.8     6.1     5.5     4.6     4.3     6.1     5.0     5.3     5.6     5.4     5.1     5.8     5.5
 1915     7.3     4.9     5.6     5.0     5.2     4.3     6.0     5.1     5.2     6.0     4.4     5.6     5.3     5.1     5.2     5.4     5.4
 1916     5.2     5.6     7.6     5.2     5.2     5.0     4.8     4.6     5.4     4.5     4.3     5.5     6.0     4.8     4.8     5.4     5.3
 1917     5.2     5.7     5.5     5.3     5.0     5.0     5.5     6.9     5.7     5.8     5.3     5.1     5.3     5.8     5.6     6.1     5.5
 1918     7.2     6.1     7.9     6.3     5.4     6.0     6.2     5.4     7.1     5.2     5.6     4.5     6.5     5.9     5.9     5.2     6.1
 1919     5.4     5.8     4.8     5.2     5.0     5.2     6.2     6.1     6.9     8.0     5.4     5.8     5.0     5.8     6.7     6.1     5.8
 1920     6.2     6.5     7.3     6.2     5.2     6.7     6.8     6.7     5.5     6.6     7.1     7.8     6.2     6.7     6.4     6.3     6.6
 1921     5.3     5.8     5.8     5.2     4.5     5.0     5.3     5.4     6.3     5.8     5.4     5.8     5.1     5.2     5.8     5.9     5.4
 1922     5.5     6.3     5.4     4.8     5.0     4.7     5.2     5.4     5.7     5.0     5.5     5.1     5.1     5.1     5.4     5.7     5.3
 1923     5.8     6.3     5.4     5.4     5.9     6.0     6.9     7.1     6.2     5.5     6.6     5.9     5.6     6.7     6.1     6.2     6.1
 1924     6.0     6.8     6.5     6.2     5.5     5.3     5.1     5.6     6.9     7.2     6.7     5.9     6.1     5.3     6.9     6.0     6.1
