Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Trinidad_and_Tobago  : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1902     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1903     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1904     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1905     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1906     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1907     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1908     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1909     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1910     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1911     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1912     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1913     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1914     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1915     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1916     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1917     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1918     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1919     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1920     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1921     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
 1922     8.8     9.2     9.3     9.2     8.5     7.6     7.9     8.2     8.6     8.5     8.3     8.3     9.0     7.9     8.5     8.8     8.5
