Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Zimbabwe             : parameter = Diurnal Temperature Range      : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1902    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1903    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1904    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1905    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1906    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1907    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1908    10.8    10.6    11.6    13.1    15.0    15.6    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.0    14.3    10.8    13.6
 1909    10.8    10.6    11.6    13.1    15.0    16.4    16.0    16.3    15.9    14.2    12.6    11.1    13.2    16.2    14.3    10.9    13.6
 1910    10.7    10.9    11.8    13.7    15.7    16.1    16.4    16.7    16.3    14.4    13.2    11.1    13.7    16.4    14.6    10.9    13.9
 1911    11.1    10.6    12.0    13.2    14.7    15.9    16.3    16.5    16.3    14.2    12.9    11.5    13.3    16.2    14.5    11.2    13.8
 1912    11.2    11.0    12.3    13.1    15.1    15.6    16.2    16.5    16.8    14.8    13.5    11.4    13.5    16.1    15.0    11.0    13.9
 1913    11.0    10.7    12.1    13.1    15.3    16.1    16.4    16.5    16.0    14.7    12.9    11.7    13.5    16.3    14.5    11.2    13.9
 1914    11.0    10.9    11.9    13.5    14.8    15.9    16.5    16.6    16.4    14.2    12.8    11.1    13.4    16.3    14.5    10.6    13.8
 1915    10.7    10.0    11.0    12.8    13.5    13.8    14.9    15.9    16.0    15.3    13.0    11.4    12.4    14.9    14.7    11.4    13.2
 1916    11.3    11.5    11.5    13.6    16.3    16.6    16.4    17.0    16.6    14.4    12.1    11.1    13.8    16.7    14.4    11.1    14.0
 1917    11.6    10.7    12.0    13.3    14.9    16.2    17.1    15.8    15.4    15.1    13.2    10.6    13.4    16.4    14.6    10.6    13.8
 1918    10.7    10.7    11.6    13.8    14.9    16.3    16.2    15.9    16.3    14.1    12.4    12.0    13.4    16.1    14.3    11.7    13.7
 1919    11.8    11.3    12.6    14.1    15.6    15.5    16.2    16.7    16.0    14.8    12.5    10.9    14.1    16.1    14.4    10.7    14.0
 1920    10.4    10.6    10.4    12.9    14.8    16.3    15.0    16.0    15.4    13.4    12.5    11.2    12.7    15.8    13.8    10.5    13.3
 1921    10.4     9.9    11.5    12.7    14.1    16.4    15.4    15.7    15.6    14.7    12.3    11.6    12.8    15.8    14.2    11.3    13.4
 1922    11.1    11.3    12.9    13.7    14.2    15.9    15.6    17.3    16.0    14.0    12.7    10.9    13.6    16.3    14.3    10.7    13.8
 1923    10.7    10.6    11.7    13.6    15.6    16.1    16.4    15.6    16.8    14.6    14.7    12.2    13.6    16.0    15.4    11.5    14.0
 1924    11.4    11.0    11.6    14.4    15.2    15.1    14.7    15.4    14.9    13.0    12.1    10.0    13.7    15.1    13.3    10.2    13.2
 1925    11.0     9.6    10.3    11.8    15.0    16.2    15.9    16.7    16.5    14.9    14.7    12.7    12.4    16.3    15.4    12.1    13.8
 1926    11.7    11.8    11.2    12.7    15.0    15.3    14.7    16.2    15.8    14.4    13.8    11.0    13.0    15.4    14.7    11.6    13.6
 1927    12.2    11.5    12.3    13.6    15.5    15.0    14.6    15.8    14.6    14.1    12.7    11.6    13.8    15.1    13.8    12.0    13.6
 1928    11.4    13.1    11.1    13.0    14.3    15.5    15.7    15.5    15.5    14.6    13.4    11.7    12.8    15.6    14.5    11.3    13.7
 1929    10.8    11.5    10.7    13.8    15.4    15.3    15.7    14.7    15.1    13.9    12.6    11.5    13.3    15.2    13.9    11.7    13.4
 1930    11.1    12.5    11.1    12.7    14.5    15.3    15.2    16.3    17.1    15.2    13.7    12.0    12.8    15.6    15.4    11.7    13.9
 1931    11.2    11.7    12.4    13.8    14.8    15.4    15.6    17.6    16.8    14.7    12.9    12.9    13.7    16.2    14.8    12.9    14.1
 1932    13.8    12.1    12.4    12.4    14.0    15.3    15.8    15.3    15.4    14.4    14.4    10.8    12.9    15.5    14.7    11.0    13.8
 1933    10.5    11.7    13.2    13.8    15.3    14.8    15.0    15.3    14.6    14.9    12.0    10.6    14.1    15.0    13.8    10.6    13.5
 1934    10.8    10.4    11.0    12.8    14.5    12.7    14.5    14.7    14.6    15.0    11.8     9.8    12.8    14.0    13.8    10.6    12.7
 1935    10.7    11.1    12.0    13.1    14.4    14.4    15.6    15.9    16.3    14.4    12.1    11.5    13.2    15.3    14.3    11.1    13.5
 1936    11.5    10.3    10.9    12.2    14.9    15.0    14.6    15.3    15.8    14.0    13.6    12.2    12.6    15.0    14.5    11.2    13.4
 1937    11.5     9.9    12.2    13.5    16.3    17.7    16.5    16.2    16.6    15.0    13.3    11.2    14.0    16.8    15.0    11.3    14.2
 1938    11.2    11.4    11.9    14.1    16.0    14.5    14.8    15.7    15.1    13.6    12.2    10.3    14.0    15.0    13.6    10.3    13.4
 1939    10.6    10.0     9.5    13.2    13.6    13.0    14.8    14.3    14.2    12.9    11.6    10.5    12.1    14.1    12.9    10.8    12.3
 1940    11.8    10.2    10.3    12.1    14.3    13.6    14.9    14.5    14.7    13.2    12.5    12.4    12.2    14.3    13.5    10.6    12.9
 1941     9.0    10.4    11.9    13.5    15.6    14.9    15.5    15.4    15.3    13.6    13.1    11.2    13.6    15.3    14.0    11.0    13.3
 1942    10.7    11.1    11.7    13.0    14.6    15.0    13.7    14.5    14.9    12.2    13.2    10.6    13.1    14.4    13.4    10.5    12.9
 1943    10.4    10.5    11.0    11.5    14.2    15.1    15.8    15.2    15.0    14.7    12.4    10.8    12.2    15.4    14.0    10.2    13.0
 1944    10.6     9.2    11.4    13.3    14.8    14.6    15.9    15.6    15.7    14.2    12.7    12.5    13.2    15.4    14.2    11.1    13.4
 1945    10.3    10.3    11.2    13.4    14.4    16.1    16.2    15.7    15.5    14.4    12.6    12.3    13.0    16.0    14.1    10.7    13.5
 1946     9.6    10.2    11.5    13.2    14.6    14.6    16.1    16.2    15.9    14.8    12.1    12.1    13.1    15.6    14.3    11.6    13.4
 1947    11.4    11.4    11.2    13.4    14.5    15.7    16.5    16.5    15.0    14.4    13.7    10.3    13.0    16.2    14.4    10.3    13.7
 1948    10.5    10.0    10.3    12.4    14.3    16.0    14.8    15.9    15.9    13.8    11.7    13.7    12.3    15.6    13.8    12.6    13.3
 1949    12.3    11.7    11.3    13.8    14.2    14.3    15.5    16.6    16.3    15.3    12.6    10.7    13.1    15.4    14.7    10.8    13.7
 1950    10.7    11.0    11.7    13.4    14.8    15.9    14.7    14.8    15.9    14.9    13.2    11.2    13.3    15.2    14.6    11.0    13.5
 1951    10.1    11.8    11.9    13.5    14.5    15.8    16.2    15.0    16.1    13.0    12.2    10.4    13.3    15.7    13.8     9.2    13.4
 1952     8.4     9.0    13.1    13.8    14.1    13.4    15.3    17.1    15.2    13.4    11.0    11.2    13.7    15.3    13.2     9.9    12.9
 1953     8.8     9.7     9.7    12.3    14.2    16.1    15.6    16.2    15.2    14.6    11.7    10.7    12.0    16.0    13.8    10.5    12.9
 1954    10.4    10.5    12.2    13.7    16.0    15.1    17.2    16.2    15.4    15.4    11.1     9.4    14.0    16.2    14.0     9.3    13.6
 1955     9.6     8.9    10.1    12.9    14.1    14.4    16.2    17.8    15.8    14.2    13.3    10.7    12.4    16.1    14.4    10.5    13.2
 1956    10.7    10.2     9.6    11.3    14.4    14.7    15.9    17.8    15.1    15.5    10.9    10.2    11.8    16.1    13.8    10.9    13.0
 1957    11.3    11.3    11.5    14.7    15.3    16.9    17.0    15.8    14.9    13.5    13.1    10.7    13.8    16.6    13.8     9.2    13.8
 1958     8.7     8.1    11.8    14.1    16.0    14.9    15.8    16.3    15.0    13.1    12.9    10.2    14.0    15.7    13.7    10.3    13.1
 1959    10.5    10.1    12.0    14.3    16.6    15.4    14.3    16.3    15.8    15.9    13.2    10.1    14.3    15.3    15.0    11.1    13.7
 1960    12.6    10.6    12.4    13.3    15.0    13.1    15.0    16.9    15.2    15.0    11.0    11.5    13.6    15.0    13.7    10.6    13.5
 1961    10.1    10.3    10.2    12.6    15.7    14.1    13.3    14.3    15.9    15.7    11.4    11.6    12.8    13.9    14.3    10.9    12.9
 1962     9.9    11.1    12.1    12.4    14.3    18.0    15.5    16.5    17.4    15.7    11.4     8.8    13.0    16.6    14.8     9.6    13.6
 1963    10.8     9.1    11.7    12.7    15.3    15.3    16.7    17.4    16.4    14.0    12.6    11.1    13.2    16.5    14.3    11.0    13.6
 1964    10.8    11.0    13.6    14.4    14.5    16.7    15.6    15.4    16.4    14.2    12.8    10.0    14.2    15.9    14.4    10.8    13.8
 1965    10.1    12.4    12.7    14.4    15.5    15.9    16.3    16.4    15.1    14.8    11.5    12.9    14.2    16.2    13.8    11.0    14.0
 1966    11.5     8.7    11.4    12.5    16.0    13.2    16.3    16.1    15.1    15.3    13.1    10.8    13.3    15.2    14.5    10.0    13.3
 1967     9.5     9.7    10.8    12.5    13.8    14.4    14.5    14.8    15.8    13.9    12.7    12.3    12.4    14.6    14.1    12.1    12.9
 1968    12.6    11.3    12.1    13.3    14.7    16.1    16.3    17.0    16.3    15.6    10.9    10.6    13.4    16.5    14.3    10.8    13.9
