Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Azerbaijan           : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    25.8    14.2     9.2     3.5     1.7     0.4     0.1     0.2     1.3     6.8    11.7    14.8    14.4     0.6    19.8    52.5    89.6
 1902    20.3    17.5    15.3     6.3     2.0     0.4     0.1     0.1     1.7     4.9    15.2    22.0    23.6     0.6    21.8    65.2   105.7
 1903    25.2    18.0    21.3     4.9     1.2     0.5     0.1     0.1     1.5     3.4    11.0    21.5    27.4     0.7    15.9    65.5   108.7
 1904    28.1    15.9    13.7     9.4     2.7     1.0     0.2     0.1     1.0     3.6     7.8    21.8    25.8     1.2    12.3    71.7   105.2
 1905    27.1    22.8    19.6     7.7     2.6     0.6     0.1     0.1     0.9     2.1     6.5    19.3    29.9     0.8     9.4    63.1   109.3
 1906    25.0    18.9    11.3     4.8     1.4     0.6     0.2     0.4     1.5     3.2     9.1    15.7    17.6     1.1    13.8    61.9    92.1
 1907    24.5    21.8    18.5     7.0     2.2     0.7     0.1     0.1     1.6     3.9    14.0    22.2    27.7     0.9    19.5    69.4   116.6
 1908    25.5    21.7    20.2     8.5     3.3     0.8     0.2     0.1     0.7     4.6    11.9    21.7    31.9     1.0    17.2    66.0   119.1
 1909    26.8    17.5    12.4     5.9     1.4     0.7     0.1     0.2     0.6     3.7     5.5    15.3    19.7     1.0     9.8    51.8    90.1
 1910    18.8    17.6    15.4     4.3     1.6     0.5     0.0     0.1     1.0     3.8     7.8    24.7    21.3     0.6    12.6    76.8    95.7
 1911    27.7    24.3    21.9     7.3     2.1     1.0     0.1     0.2     1.5     5.8     8.7    21.5    31.3     1.3    16.0    61.2   122.1
 1912    22.5    17.2    14.0     9.5     3.4     0.5     0.3     0.3     0.8     3.3     8.1    20.8    26.9     1.1    12.2    69.0   100.6
 1913    24.9    23.3    18.9     6.5     2.3     1.1     0.1     0.1     0.9     5.1     9.3    18.9    27.7     1.3    15.3    54.2   111.4
 1914    19.3    16.0    10.2     5.8     2.3     0.8     0.1     0.2     1.6     3.8    14.8    21.6    18.3     1.1    20.1    58.1    96.4
 1915    18.0    18.6    11.6     5.4     2.6     0.8     0.2     0.3     1.3     4.0     7.8    16.4    19.7     1.3    13.1    59.4    86.9
 1916    22.4    20.7    13.9     4.8     1.5     0.9     0.2     0.2     1.7     4.4     9.9    17.4    20.3     1.2    15.9    59.5    97.9
 1917    20.6    21.4    16.4     3.2     2.5     0.8     0.1     0.2     0.7     4.0     8.1    19.8    22.2     1.2    12.8    60.9    98.0
 1918    22.7    18.4    16.7     6.9     3.0     0.9     0.2     0.2     0.8     2.4    10.4    21.5    26.6     1.3    13.6    56.1   104.1
 1919    16.8    17.9    15.3     3.7     2.9     1.2     0.2     0.3     1.0     2.1     7.3    21.6    21.9     1.7    10.4    68.9    90.3
 1920    21.5    25.8    14.6     5.1     2.0     0.6     0.2     0.2     1.2     6.3    16.1    27.1    21.7     1.0    23.6    74.5   120.7
 1921    24.2    23.2    19.4     4.8     1.7     0.4     0.1     0.3     1.8     5.6    12.1    22.6    25.9     0.8    19.4    64.1   116.1
 1922    22.6    18.9    15.6     5.1     1.8     0.7     0.1     0.2     1.7     3.8     8.5    18.5    22.6     1.0    14.0    57.7    97.5
 1923    20.1    19.1    15.2     9.0     1.5     0.3     0.1     0.4     1.2     3.8    10.2    18.4    25.7     0.8    15.1    57.7    99.4
 1924    18.8    20.6    14.9     8.0     1.9     0.3     0.2     0.2     0.6     4.1    10.2    25.4    24.8     0.7    14.9    75.4   105.0
 1925    27.2    22.8    10.3     6.9     1.9     0.8     0.2     0.1     0.9     4.7    11.4    15.4    19.1     1.2    17.0    56.0   102.7
 1926    21.7    18.9    15.6     8.3     1.9     0.8     0.3     0.2     1.8     4.9    10.8    16.1    25.8     1.2    17.5    65.0   101.2
 1927    26.0    22.9    15.9     5.4     1.7     0.3     0.1     0.1     0.9     2.3     9.5    23.8    23.0     0.6    12.7    73.9   108.9
 1928    26.2    24.0    23.7     5.1     2.0     0.8     0.2     0.7     1.0     5.0     8.0    20.1    30.8     1.7    14.0    71.4   116.7
 1929    26.4    24.9    23.7     8.0     1.2     0.9     0.2     0.1     1.4     3.2     8.8    22.4    33.0     1.2    13.4    68.7   121.2
 1930    24.7    21.7    15.2     5.2     2.0     1.1     0.1     0.1     1.3     4.0     7.1    21.7    22.4     1.3    12.5    69.8   104.2
 1931    25.7    22.4    15.3     7.3     2.1     0.6     0.1     0.2     0.8     4.5    11.8    26.3    24.7     0.8    17.1    75.4   117.0
 1932    25.8    23.4    17.1     5.0     1.8     0.4     0.3     0.2     1.2     3.0    13.1    25.1    23.9     1.0    17.3    72.8   116.5
 1933    26.7    21.0    20.4     7.7     2.2     1.1     0.1     0.1     0.9     3.4     8.5    24.6    30.2     1.4    12.8    71.6   116.7
 1934    26.7    20.3    15.4     6.9     2.4     0.9     0.2     0.3     1.5     3.4     8.9    22.0    24.6     1.4    13.7    68.6   108.8
 1935    27.6    18.9    19.0     4.7     2.2     0.9     0.1     0.1     0.6     2.8    10.5    17.3    25.9     1.1    13.9    60.6   104.8
 1936    23.6    19.6    17.2     5.7     2.4     0.7     0.1     0.2     1.7     3.9     6.9    21.7    25.3     0.9    12.5    69.8   103.7
 1937    26.6    21.5    16.1     6.3     2.1     1.3     0.1     0.1     0.5     3.0     7.4    17.2    24.5     1.5    10.9    56.3   102.1
 1938    20.3    18.8    20.2     5.5     1.8     0.7     0.1     0.2     0.8     3.8     9.9    18.1    27.4     1.0    14.4    57.8   100.0
