Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Campbell_Isl         : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     6.7     6.3    10.5     7.8    11.8    10.7    19.8    17.1    13.5     9.8    11.7     9.5    30.2    47.6    34.9    19.6   135.1
 1902     5.0     5.1     6.7    10.4    16.3    13.7    15.8    17.1    12.4    16.3    14.0    13.6    33.5    46.7    42.8    30.0   146.6
 1903    11.0     5.3     7.8     9.7    13.4    17.1    16.3    18.7    15.8     9.8     7.6     5.2    30.9    52.1    33.2    13.0   137.8
 1904     3.4     4.3     8.3     9.5     9.8    12.2    14.7    17.7    15.8    15.0    13.2     9.3    27.5    44.6    44.0    23.4   133.1
 1905     9.8     4.4     5.2    10.9    13.1    15.0    15.0    15.8    16.6    15.8    11.7     7.8    29.3    45.8    44.0    25.9   141.1
 1906     9.3     8.8    10.0    11.4    12.9    12.2    15.3    15.5    14.0    11.8    11.9     5.6    34.3    43.0    37.7    11.5   138.8
 1907     3.7     2.1     3.9     6.5    12.1    15.0    14.7    16.3    16.3    16.1     8.5     3.1    22.5    46.1    40.9    11.2   118.3
 1908     3.4     4.7     5.8     9.7    10.3    11.4    17.9    16.9    10.2    12.6     9.2    10.0    25.8    46.2    32.0    21.6   122.2
 1909     8.8     2.8     4.4     9.9     9.0    11.2    14.2    12.6    13.2    12.3     9.5     3.1    23.4    38.0    35.0    10.7   111.0
 1910     4.4     3.2     4.8    10.9     7.8    10.4    16.9    13.1    12.7    10.0     7.1     4.4    23.6    40.4    29.9    15.2   106.0
 1911     6.1     4.7     3.1     4.3    12.3    11.9    17.1    10.0    14.8    13.6    13.2    12.1    19.7    39.1    41.6    32.2   123.3
 1912    10.0    10.1    10.5     9.7    13.4    12.2    15.0    13.6    12.7    12.9    12.2     8.1    33.6    40.8    37.8    24.5   140.4
 1913     7.6     8.8     6.3    11.2    14.2    12.7     9.8    13.9    10.9    12.1    13.7     8.8    31.6    36.4    36.7    17.6   130.0
 1914     2.8     6.1     6.9     9.2    19.0    12.2    13.6    13.9    14.8    13.1    11.4    10.8    35.1    39.8    39.3    23.4   133.8
 1915     6.9     5.7    10.0     9.5    15.3    15.0    12.1    13.1    13.0     9.8    12.2     5.6    34.7    40.2    34.9    15.1   128.1
 1916     6.9     2.6     3.9     6.5    13.1     8.3    15.3    14.4    10.9    14.7     9.0     4.6    23.5    38.0    34.6    11.5   110.3
 1917     3.2     3.7     5.0     6.7     8.3    12.4    12.6    14.2    13.2    11.8     8.5    10.0    20.0    39.2    33.5    17.1   109.7
 1918     5.2     1.8     5.2     7.6    12.1    11.2    17.1    12.6    14.0    14.4    14.8    11.0    24.9    40.9    43.2    24.8   127.1
 1919     9.0     4.7     6.9     9.5    13.4    11.4    14.7    12.6    18.4    13.1    13.7     9.8    29.8    38.7    45.2    23.3   137.3
 1920     9.0     4.5     6.9     8.3    14.2    15.0     9.3    17.1    16.6    12.3    14.0     7.6    29.4    41.4    42.9    19.3   134.9
 1921     5.2     6.5     3.9    11.4    12.3    11.9    14.4    14.4    12.4    12.6     8.5     9.3    27.7    40.8    33.5    19.1   123.0
