Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = China                : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.6    23.7    20.8    13.6     8.0     4.5     3.0     3.5     6.7    15.6    20.4    25.2    42.4    11.1    42.6    72.9   169.6
 1902    25.0    22.7    20.4    14.6     8.8     4.9     3.5     3.8     6.2    14.2    19.7    24.3    43.9    12.2    40.1    73.2   168.2
 1903    26.1    22.8    21.1    14.1     8.6     4.9     3.0     4.0     6.2    15.2    21.0    25.4    43.8    12.0    42.4    73.9   172.4
 1904    25.9    22.6    21.1    14.5     8.3     4.6     3.4     3.7     6.5    15.6    20.7    25.3    44.0    11.8    42.9    73.1   172.3
 1905    24.6    23.3    22.4    15.8     8.9     4.5     3.2     4.0     6.6    14.8    20.4    23.8    47.1    11.7    41.8    72.6   172.2
 1906    25.8    23.0    21.4    13.8     8.5     4.6     3.1     4.0     6.4    14.9    21.4    24.4    43.7    11.8    42.8    71.9   171.5
 1907    24.8    22.7    22.0    14.1     8.3     5.0     3.5     3.5     6.6    14.7    20.6    24.7    44.4    12.0    42.0    73.3   170.5
 1908    25.2    23.4    22.1    14.5     8.4     4.5     3.2     3.7     6.6    15.2    20.9    24.3    44.9    11.3    42.6    72.1   171.7
 1909    25.5    22.3    21.9    14.2     8.6     5.1     3.2     3.7     6.7    15.5    19.8    24.9    44.6    12.0    42.0    73.3   171.4
 1910    25.6    22.8    22.1    14.8     8.1     5.1     3.6     3.7     7.0    14.9    21.0    25.6    44.9    12.4    42.8    74.1   174.2
 1911    25.9    22.6    21.4    14.0     8.5     4.8     3.2     3.8     6.5    15.5    20.7    24.7    43.9    11.8    42.7    73.1   171.6
 1912    25.9    22.5    21.7    13.7     8.4     4.6     3.4     4.0     7.7    15.6    21.6    25.1    43.9    12.0    44.9    73.2   174.3
 1913    25.8    22.3    22.5    14.9     8.9     5.1     3.3     3.7     6.8    14.9    20.8    25.5    46.3    12.1    42.4    72.1   174.5
 1914    25.0    21.6    20.7    14.0     8.1     4.4     3.1     3.9     6.6    14.9    20.7    24.6    42.7    11.4    42.2    72.6   167.5
 1915    25.7    22.3    21.9    14.8     8.4     4.8     3.3     3.8     6.7    14.6    19.8    24.2    45.1    11.9    41.0    72.8   170.2
 1916    25.6    23.0    22.0    14.4     8.2     4.6     3.5     3.4     6.5    15.0    20.7    25.2    44.6    11.4    42.3    74.9   172.1
 1917    27.0    22.7    22.0    14.6     8.5     4.7     3.2     3.4     6.5    14.9    21.2    26.0    45.1    11.3    42.5    75.6   174.6
 1918    27.0    22.6    20.9    14.3     8.0     4.9     3.1     3.6     6.5    15.3    21.2    24.4    43.3    11.6    43.1    72.6   171.9
 1919    25.6    22.6    20.7    13.9     8.4     4.6     3.2     3.2     6.8    14.8    21.0    25.0    43.1    10.9    42.7    74.5   169.9
 1920    25.8    23.7    21.3    14.1     8.0     4.8     2.9     3.8     6.8    14.3    20.3    24.1    43.4    11.6    41.4    72.5   169.9
 1921    25.9    22.5    21.6    14.2     8.2     4.8     3.1     3.6     6.6    14.7    20.9    24.1    43.9    11.6    42.1    71.1   170.1
 1922    25.6    21.4    20.8    13.2     8.3     4.7     3.2     3.6     6.5    14.4    21.0    25.2    42.3    11.4    41.9    73.6   167.8
 1923    25.8    22.6    19.9    14.0     8.0     4.3     3.3     3.1     6.8    14.7    20.0    24.4    41.9    10.8    41.5    72.4   167.1
 1924    25.1    22.9    21.8    13.6     8.1     4.2     3.0     3.4     6.5    14.9    21.0    24.6    43.5    10.6    42.4    73.9   169.1
 1925    26.1    23.2    21.1    14.4     8.1     4.6     3.3     3.6     6.3    13.9    19.7    25.0    43.6    11.5    39.9    72.3   169.3
 1926    25.2    22.1    20.1    14.2     7.8     4.4     3.2     3.3     5.8    15.5    20.3    24.7    42.1    10.9    41.6    72.4   166.6
 1927    25.3    22.3    21.8    13.3     8.4     4.5     2.8     3.6     6.3    14.3    20.0    24.0    43.5    10.9    40.6    72.0   166.6
 1928    25.0    23.0    20.6    13.4     8.0     4.6     3.0     3.5     6.3    15.1    20.8    24.3    42.0    11.1    42.1    72.2   167.4
 1929    25.4    22.5    20.2    13.0     7.9     4.5     3.1     3.5     6.5    15.4    21.2    24.9    41.1    11.1    43.0    73.2   168.0
 1930    26.8    21.6    20.3    14.0     7.7     4.6     2.9     3.4     6.5    14.7    20.9    24.1    42.0    11.0    42.0    72.1   167.4
 1931    25.5    22.4    20.5    14.0     8.3     4.3     3.3     3.0     6.0    14.3    20.3    24.3    42.8    10.6    40.5    73.4   166.3
 1932    25.3    23.8    21.0    13.4     8.1     4.2     2.8     3.5     5.8    14.4    20.4    24.5    42.4    10.5    40.5    73.0   167.1
 1933    26.6    21.9    21.8    13.4     7.8     4.3     2.9     3.3     6.2    15.1    20.4    23.6    43.0    10.6    41.6    72.4   167.4
 1934    26.7    22.1    21.9    15.5     7.4     4.7     3.1     3.7     6.1    15.5    21.1    23.8    44.7    11.5    42.7    70.5   171.4
 1935    25.3    21.5    19.9    14.2     8.2     4.4     3.0     3.4     5.9    12.7    20.4    25.2    42.4    10.8    39.0    74.6   164.0
 1936    26.2    23.2    23.0    14.5     8.3     4.6     3.1     3.5     6.0    13.9    20.5    24.5    45.9    11.2    40.4    72.0   171.5
 1937    25.5    22.0    21.4    14.3     8.3     4.3     2.9     3.0     6.0    14.1    21.1    24.2    44.1    10.3    41.2    72.3   167.2
 1938    25.6    22.4    20.8    12.6     7.5     4.7     3.0     3.2     6.2    13.7    20.3    24.0    40.9    10.9    40.2    70.8   164.1
 1939    25.2    21.5    20.7    14.1     7.9     4.6     2.9     3.2     6.2    14.7    20.8    25.2    42.7    10.6    41.8    73.4   167.0
 1940    25.6    22.6    20.5    14.3     8.3     4.3     2.8     3.5     6.3    14.0    20.5    23.6    43.1    10.5    40.9    70.2   166.2
