Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Egypt                : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     6.2     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.7     0.0     0.0     0.2     8.2     8.6
 1902     5.5     0.9     0.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     4.1     0.9     0.0     0.2    17.8    11.7
 1903     7.9     5.9     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     2.0     2.3     0.0     0.4     8.8    18.5
 1904     5.2     1.6     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     5.4     0.2     0.0     0.3    19.3    12.7
 1905     7.9     5.9     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.6     1.2     0.0     0.0    10.6    18.7
 1906     5.0     2.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     0.2     0.0     0.0     7.7     8.4
 1907     4.3     2.1     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.9     2.3     0.0     0.2     8.8    10.8
 1908     4.9     2.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     3.9     0.2     0.0     0.3    11.9    11.4
 1909     5.4     2.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.0     0.0     0.0     7.8     8.8
 1910     5.3     1.7     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.3     3.0     0.0     0.1    13.2    13.4
 1911     4.6     5.3     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.4     0.8     0.0     0.0     9.1    13.1
 1912     5.3     1.5     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.2     0.2     0.0     0.0    10.9    10.1
 1913     4.2     3.5     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.6     1.1     0.0     0.1    10.4    12.5
 1914     4.3     2.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     0.1     0.0     0.0     3.6     8.5
 1915     1.3     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     0.0     0.0     0.0     7.9     2.7
 1916     5.9     1.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     0.0     0.0     0.0     5.2     7.8
 1917     2.6     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.5     0.0     0.0     0.0    11.0     7.1
 1918     5.5     3.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.8     0.3     0.0     0.0     3.6    10.6
 1919     1.4     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.4     0.0     0.0     0.0    13.8     4.2
 1920     4.4     7.0     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     2.7     0.7     0.0     0.2    11.1    15.0
 1921     4.0     4.3     2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.9     2.1     0.0     0.0     8.0    12.4
 1922     4.0     2.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.1     0.2     0.0     0.0     7.3     9.4
 1923     2.3     1.9     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     0.6     0.0     0.0     7.2     6.4
 1924     4.7     0.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.9     0.1     0.0     0.1    14.4     7.6
 1925     9.6     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     7.2    13.5
 1926     4.3     1.9     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     0.7     0.0     0.0    10.2     8.5
 1927     2.9     5.8     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     0.2     0.0     0.0     4.6     9.4
 1928     1.1     2.9     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     0.5     0.0     0.0     9.6     5.8
 1929     5.1     3.2     0.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.3     0.9     0.0     0.0    11.2    12.6
 1930     5.6     2.3     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.0     0.0     3.8     8.5
 1931     2.0     1.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.2     0.1     0.0     0.0     9.2     5.9
 1932     4.9     2.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.5     0.2     0.0     0.0     7.6     9.7
 1933     4.3     0.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.1     0.0     0.0     9.5     6.1
 1934     3.4     5.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5     0.0     0.0     0.0     5.5    10.2
 1935     2.2     1.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.4     0.1     0.0     0.1     4.5     5.6
 1936     2.2     0.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.6     0.0     0.0     0.0    11.8     6.6
 1937     7.3     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.0     0.0     0.0     6.7     8.8
 1938     3.4     2.9     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.3     0.0     0.0     6.4     9.6
 1939     3.2     2.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.3     0.0     0.0     5.2     6.5
 1940     3.1     1.2     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     0.4     0.0     0.0     4.1     6.4
 1941     2.2     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.8     0.2     0.0     0.0    10.0     6.5
 1942     4.9     1.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     0.1     0.0     0.0     9.6     7.4
 1943     4.7     3.7     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.4     0.0     0.0     8.0    10.2
 1944     5.2     2.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.1     0.0     0.0    11.3     9.8
 1945     5.1     4.2     2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.6     2.4     0.0     0.0     9.9    15.4
 1946     3.2     3.1     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.8     0.5     0.0     0.0     8.3     8.6
 1947     5.2     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     0.0     0.0     0.0     5.7     7.2
 1948     2.5     2.5     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     4.1     2.3     0.0     0.1    16.2    11.4
 1949     6.1     6.0     0.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.9     0.9     0.0     0.0    11.6    14.9
 1950     5.9     3.8     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.3     0.0     0.0     7.0    10.9
 1951     4.0     2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.3     0.0     0.0     0.0    10.3    10.5
 1952     3.8     2.1     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.6     0.0     0.0     7.9     7.4
 1953     5.5     1.5     1.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.6     1.8     0.0     0.1    13.4    12.5
 1954     7.4     2.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.7     0.1     0.0     0.0     6.5    12.7
