Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Greece               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    15.0     8.2     2.9     1.5     0.3     0.0     0.0     0.0     0.0     0.3     4.0     3.9     4.6     0.0     4.3    15.7    36.1
 1902     7.8     4.0     6.2     1.7     0.6     0.0     0.0     0.0     0.0     0.2     6.1    12.0     8.6     0.0     6.3    30.0    38.8
 1903    10.8     7.2     4.6     2.9     0.2     0.0     0.0     0.0     0.0     0.4     2.6     4.8     7.6     0.0     3.0    20.4    33.4
 1904    11.3     4.2     6.7     1.7     0.2     0.0     0.0     0.0     0.0     0.4     5.9     8.9     8.5     0.0     6.3    37.7    39.3
 1905    16.2    12.5     6.4     2.2     0.1     0.0     0.0     0.0     0.0     1.0     0.9     7.3     8.7     0.0     1.9    25.8    46.7
 1906    10.5     8.0     3.9     1.8     0.3     0.0     0.0     0.0     0.0     0.6     1.6     8.3     5.9     0.0     2.3    35.3    35.0
 1907    15.1    11.9    13.3     3.7     0.0     0.0     0.0     0.0     0.0     0.0     3.5     5.5    17.1     0.0     3.5    25.7    53.1
 1908    11.7     8.5     6.6     2.8     0.0     0.0     0.0     0.0     0.0     0.9     6.8    10.0     9.4     0.0     7.8    38.6    47.4
 1909    14.5    14.1     4.8     1.5     0.1     0.0     0.0     0.0     0.0     0.3     3.0     3.7     6.4     0.0     3.3    17.7    42.0
 1910     9.4     4.6     8.0     1.9     0.3     0.0     0.0     0.0     0.0     0.5     2.9     4.4    10.2     0.0     3.4    30.0    31.9
 1911    11.7    14.0     6.9     2.6     0.3     0.0     0.0     0.0     0.0     0.3     1.3     6.5     9.7     0.0     1.7    25.1    43.6
 1912    13.5     5.0     2.9     3.2     0.3     0.0     0.0     0.0     0.1     0.9     3.5     6.3     6.4     0.0     4.4    28.4    35.7
 1913    10.6    11.5     4.0     1.8     0.4     0.0     0.0     0.0     0.0     0.4     2.3     7.9     6.1     0.0     2.7    28.7    38.9
 1914    12.9     7.9     3.6     1.6     0.3     0.0     0.0     0.0     0.0     0.9     4.5     5.7     5.5     0.0     5.5    17.8    37.5
 1915     5.3     6.7     5.4     2.1     0.2     0.0     0.0     0.0     0.1     0.4     3.2     3.4     7.7     0.0     3.7    19.8    26.8
 1916     9.2     7.1     2.4     1.6     0.1     0.0     0.0     0.0     0.0     0.3     1.4     3.2     4.2     0.0     1.8    21.0    25.5
 1917     7.0    10.7     5.1     2.0     0.3     0.0     0.0     0.0     0.0     0.2     2.0    11.5     7.4     0.0     2.2    30.4    38.8
 1918     9.1     9.8     7.6     1.9     0.1     0.0     0.0     0.0     0.0     0.2     2.8     6.5     9.6     0.0     3.0    19.4    38.0
 1919     6.3     6.7     3.6     1.2     1.1     0.0     0.0     0.0     0.0     0.3     2.2     7.6     5.9     0.0     2.6    27.8    29.1
 1920     7.9    12.4     4.5     0.7     0.1     0.0     0.0     0.0     0.0     1.5     7.1     7.9     5.3     0.0     8.5    25.8    42.0
 1921     6.7    11.2     6.8     2.6     0.1     0.0     0.0     0.0     0.0     0.7     4.0     8.5     9.5     0.0     4.7    28.6    40.6
 1922    10.9     9.2     2.3     1.2     0.1     0.0     0.0     0.0     0.0     0.3     5.1     9.4     3.7     0.0     5.5    26.1    38.7
 1923     9.9     6.8     4.6     1.9     0.0     0.0     0.0     0.0     0.0     0.1     0.5     5.4     6.6     0.0     0.6    29.5    29.3
 1924    15.5     8.7     6.3     1.0     0.0     0.0     0.0     0.0     0.0     0.6     4.4     8.7     7.3     0.0     5.0    23.9    45.2
