Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Greenland            : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    31.0    27.6    30.9    29.9    30.1    27.4    25.4    27.1    28.3    30.7    29.8    30.9    91.0    79.9    88.8    89.9   349.2
 1902    31.0    28.0    31.0    29.9    30.1    26.4    25.3    26.2    28.2    30.3    29.9    31.0    90.9    77.8    88.4    90.0   347.1
 1903    31.0    28.0    31.0    29.9    30.3    27.1    25.1    27.4    28.1    30.3    29.9    30.9    91.3    79.6    88.3    90.9   349.1
 1904    31.0    29.0    31.0    30.0    30.0    26.7    25.1    25.6    28.5    30.8    29.9    30.9    91.0    77.4    89.2    89.9   348.5
 1905    31.0    28.0    30.9    29.7    30.0    27.2    25.1    26.7    28.8    30.3    29.9    31.0    90.6    79.0    88.9    90.0   348.4
 1906    31.0    28.0    31.0    30.0    30.1    27.0    25.8    25.7    28.1    30.6    30.0    31.0    91.0    78.5    88.7    90.0   348.2
 1907    31.0    28.0    31.0    29.9    30.2    27.5    25.3    26.7    28.7    30.4    29.9    31.0    91.1    79.4    89.0    91.0   349.5
 1908    31.0    29.0    31.0    29.7    30.2    27.1    23.3    26.8    27.8    30.5    29.9    31.0    90.9    77.2    88.2    90.0   347.3
 1909    31.0    28.0    30.9    29.8    29.7    25.9    25.2    26.8    28.0    30.7    29.8    31.0    90.4    77.9    88.5    90.0   346.7
 1910    31.0    28.0    31.0    29.9    30.2    27.4    25.2    25.4    28.6    30.4    29.9    30.9    91.1    78.0    88.9    89.9   347.9
 1911    31.0    28.0    31.0    29.8    30.2    27.0    25.0    26.2    28.4    30.2    29.9    31.0    91.0    78.2    88.5    90.9   347.7
 1912    31.0    29.0    31.0    29.8    30.0    25.7    25.3    26.6    28.1    30.6    29.9    31.0    90.8    77.7    88.6    89.9   347.9
 1913    31.0    28.0    31.0    29.9    30.1    26.4    25.7    27.2    28.2    30.4    30.0    31.0    91.0    79.4    88.5    90.0   348.8
 1914    31.0    28.0    31.0    29.9    30.6    28.0    26.0    26.8    28.7    30.4    29.9    31.0    91.5    80.8    89.0    90.0   351.3
 1915    31.0    28.0    30.9    29.9    29.7    26.7    25.7    26.3    27.5    30.2    29.7    30.9    90.5    78.8    87.4    90.8   346.5
 1916    31.0    29.0    30.7    29.9    29.3    26.7    25.5    25.5    27.8    30.5    29.8    30.9    89.9    77.7    88.1    89.6   346.6
 1917    30.8    27.9    30.9    29.8    30.0    27.2    24.3    26.2    28.7    30.8    29.9    31.0    90.8    77.6    89.4    89.9   347.5
 1918    31.0    28.0    31.0    30.0    30.1    27.9    25.2    26.8    28.5    30.6    30.0    31.0    91.0    79.9    89.1    90.0   349.9
 1919    31.0    28.0    30.9    30.0    29.8    27.6    25.8    27.2    28.6    30.2    29.8    30.9    90.7    80.5    88.6    90.9   349.8
 1920    31.0    29.0    31.0    29.8    30.3    26.5    25.3    27.1    28.6    30.5    30.0    31.0    91.1    79.0    89.0    90.0   350.2
 1921    31.0    28.0    31.0    29.9    30.3    27.1    25.5    26.4    28.7    30.6    29.8    31.0    91.2    78.9    89.1    90.0   349.2
 1922    31.0    28.0    30.9    29.8    30.4    27.6    25.6    26.8    28.8    30.3    29.9    30.9    91.1    80.0    88.9    89.8   350.0
 1923    31.0    27.9    30.9    29.7    29.8    26.7    24.9    26.5    28.6    30.5    29.8    30.9    90.4    78.1    88.9    90.8   347.3
 1924    30.9    29.0    30.9    29.8    29.7    26.1    25.0    26.4    28.6    30.5    29.9    31.0    90.4    77.5    89.0    90.0   347.7
 1925    31.0    28.0    30.9    29.9    30.1    26.6    25.8    26.8    28.1    30.4    29.7    30.8    91.0    79.3    88.2    89.7   348.3
 1926    30.9    27.9    30.9    29.7    29.6    26.0    24.1    26.4    28.5    30.3    29.9    30.9    90.3    76.5    88.7    89.8   345.2
 1927    30.9    28.0    31.0    29.8    29.7    26.2    24.6    25.8    27.7    30.5    29.8    30.9    90.5    76.7    88.0    90.8   344.9
 1928    31.0    29.0    30.8    29.7    29.3    26.2    24.1    25.7    27.5    30.1    29.8    30.9    89.8    76.0    87.5    89.5   344.1
 1929    30.7    27.9    30.8    29.6    29.7    26.3    23.8    26.2    28.5    30.6    29.9    31.0    90.1    76.3    89.0    89.9   345.0
 1930    31.0    28.0    30.9    29.7    29.7    26.5    24.5    26.2    27.4    30.5    29.9    31.0    90.3    77.2    87.8    89.9   345.3
 1931    30.9    28.0    31.0    29.9    29.8    25.8    23.0    25.1    27.2    30.4    29.9    31.0    90.6    73.9    87.6    90.7   342.0
 1932    31.0    28.8    30.6    29.7    29.0    26.0    24.0    26.3    27.9    30.4    29.9    31.0    89.3    76.4    88.2    89.9   344.6
 1933    31.0    28.0    31.0    29.8    29.2    26.5    23.6    25.7    28.1    30.4    29.7    30.9    90.0    75.8    88.2    89.8   343.8
 1934    31.0    28.0    31.0    29.7    30.3    26.2    23.7    25.9    28.0    30.5    29.8    30.8    91.0    75.8    88.3    89.8   344.9
 1935    31.0    28.0    30.9    29.7    29.3    26.0    24.3    25.9    27.7    30.5    29.9    30.9    89.9    76.3    88.1    90.6   344.1
 1936    30.9    28.9    30.9    29.7    29.6    26.3    23.0    26.0    27.8    30.4    29.8    31.0    90.2    75.3    88.0    90.0   344.3
 1937    31.0    28.0    30.8    29.9    30.1    26.8    24.5    26.5    28.3    30.6    29.7    30.9    90.9    77.8    88.5    89.9   347.2
 1938    31.0    28.0    31.0    29.9    30.1    26.6    25.3    26.4    28.2    30.6    30.0    31.0    91.0    78.3    88.8    89.9   348.0
 1939    30.9    28.0    31.0    29.7    29.6    26.5    24.0    26.2    27.6    30.1    29.9    30.9    90.3    76.7    87.5    90.6   344.3
 1940    30.9    28.9    30.9    29.7    29.9    26.7    24.5    27.0    28.5    30.3    29.9    30.9    90.6    78.2    88.7    89.7   348.2
 1941    30.9    27.9    30.8    29.6    29.5    26.2    24.6    25.6    27.9    29.9    29.8    30.9    89.9    76.5    87.6    89.7   343.8
 1942    31.0    27.8    30.9    29.9    29.6    26.1    24.3    26.4    28.3    30.6    29.7    30.8    90.3    76.8    88.6    89.6   345.3
 1943    30.8    28.0    31.0    29.9    30.3    26.9    24.8    27.0    28.4    30.6    29.9    30.9    91.2    78.7    88.8    90.9   348.5
 1944    31.0    29.0    30.9    29.8    30.3    26.7    24.8    26.2    28.2    30.5    29.9    31.0    91.0    77.7    88.7    89.9   348.3
 1945    30.9    28.0    30.9    29.9    30.0    26.4    25.3    26.2    28.3    30.1    29.8    30.8    90.8    77.9    88.2    89.7   346.7
 1946    31.0    27.9    30.9    29.9    29.5    26.6    25.4    26.4    28.1    30.1    29.7    30.8    90.2    78.4    87.9    89.4   346.2
 1947    30.9    27.8    30.8    29.8    29.7    26.0    24.2    26.0    28.2    30.3    29.8    30.8    90.4    76.2    88.3    90.7   344.3
 1948    31.0    29.0    31.0    29.9    30.2    25.7    23.8    26.0    28.3    30.5    29.8    31.0    91.1    75.5    88.6    90.0   346.1
