Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Jordan               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    15.8     2.6     0.6     0.1     0.1     0.0     0.0     0.0     0.0     0.0     2.1     7.4     0.7     0.0     2.1    24.3    28.6
 1902    13.5     3.4     5.7     0.4     0.0     0.0     0.0     0.0     0.0     0.0     2.6    10.7     6.2     0.0     2.6    38.1    36.4
 1903    15.7    11.7     7.7     0.2     0.0     0.0     0.0     0.0     0.0     0.0     3.5     7.9     7.8     0.0     3.5    26.3    46.6
 1904    11.6     6.8     4.2     0.7     0.0     0.0     0.0     0.0     0.0     0.0     2.1    13.1     4.9     0.0     2.1    45.3    38.4
 1905    17.5    14.8     7.9     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.3    12.3     8.1     0.0     0.3    34.6    52.9
 1906    13.9     8.5     4.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.2     5.1     4.5     0.0     1.2    27.7    33.2
 1907    13.5     9.1     8.2     0.6     0.0     0.0     0.0     0.0     0.0     0.0     3.9     8.7     8.7     0.0     3.9    32.3    43.9
 1908    13.2    10.4     4.9     0.4     0.0     0.0     0.0     0.0     0.0     0.0     3.2    13.7     5.4     0.0     3.2    35.5    45.9
 1909    13.1     8.7     1.4     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.6     4.9     2.8     0.0     0.6    24.5    30.0
 1910    13.0     6.7    10.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     1.8    12.6    10.7     0.0     1.8    44.1    44.7
 1911    16.7    14.8     8.9     0.6     0.0     0.0     0.0     0.0     0.0     0.0     1.3     8.6     9.4     0.0     1.3    29.0    51.0
 1912    14.2     6.1     4.1     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.4    10.9     4.4     0.0     1.4    33.3    37.1
 1913    12.1    10.3     4.6     0.8     0.0     0.0     0.0     0.0     0.0     0.0     1.9    10.9     5.4     0.0     1.9    29.8    40.6
 1914    11.1     7.8     2.1     1.2     0.0     0.0     0.0     0.0     0.0     0.0     1.7     7.9     3.3     0.0     1.7    22.2    31.8
 1915     8.1     6.2     2.5     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.2     5.2     2.7     0.0     1.2    24.7    23.4
 1916    12.8     6.8     2.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.5     6.5     2.1     0.0     0.5    24.6    28.7
 1917    10.0     8.1     1.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.2     8.1     1.6     0.0     0.2    29.1    28.0
 1918    12.8     8.2     4.1     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.2     9.2     4.4     0.0     0.2    19.9    34.7
 1919     6.9     3.8     1.5     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.1     9.1     1.9     0.0     0.1    33.3    21.9
 1920    10.4    13.7     3.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     2.8    11.0     3.5     0.0     2.8    34.9    41.4
 1921    13.3    10.7     6.9     0.4     0.0     0.0     0.0     0.0     0.0     0.0     1.4    10.1     7.3     0.0     1.4    29.8    42.7
 1922    11.2     8.6     2.7     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.2     9.7     3.0     0.0     0.2    27.3    32.6
 1923     9.2     8.4     4.7     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.3     3.8     5.0     0.0     0.3    18.8    26.7
 1924     9.4     5.6     2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     8.5     2.4     0.0     0.7    37.4    26.5
 1925    19.8     9.1     0.2     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.3     3.6     1.3     0.0     0.3    23.8    34.1
 1926    11.9     8.3     5.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     5.6     5.5     0.0     0.7    31.1    32.1
 1927     9.8    15.6     1.9     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.3     5.9     2.2     0.0     0.3    24.1    33.9
 1928     8.2    10.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     6.8     7.0     0.0     0.5    32.1    32.5
 1929    13.7    11.5     7.6     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.3     8.5     8.0     0.0     0.3    27.0    42.0
 1930    11.6     7.0     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     3.2     1.6     0.0     0.7    16.5    24.0
 1931     7.5     5.8     1.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     2.0     9.8     1.5     0.0     2.0    30.4    26.6
 1932    13.6     6.9     2.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.7    11.6     2.6     0.0     0.7    31.5    35.4
 1933    14.6     5.3     3.6     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.2     7.6     5.1     0.0     0.2    31.6    32.9
 1934    13.1    10.9     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     6.9     1.5     0.0     0.3    23.8    32.8
 1935     8.6     8.3     2.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     1.6     4.8     2.1     0.0     1.6    19.5    25.4
 1936     8.6     6.1     1.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3    13.7     1.6     0.0     0.3    38.9    30.2
 1937    19.1     6.1     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     4.6     0.7     0.0     0.3    24.7    30.8
 1938    10.0    10.2     8.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.1     5.7     8.7     0.0     2.1    22.9    36.6
 1939     9.8     7.5     4.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.9     6.1     4.2     0.0     1.9    21.4    29.4
 1940    10.0     5.4     4.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     4.2     4.2     0.0     0.5    11.7    24.3
 1941     5.5     1.9     2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2    10.8     2.2     0.0     0.2    27.5    20.8
 1942    11.6     5.1     2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     7.6     2.1     0.0     0.1    26.2    26.4
 1943     8.8     9.8     7.5     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     4.5     8.4     0.0     0.1    26.7    31.6
 1944    13.8     8.4     2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     7.9     2.4     0.0     1.2    32.1    33.7
 1945    11.9    12.3    10.9     1.6     0.0     0.0     0.0     0.0     0.0     0.0     1.2    10.6    12.5     0.0     1.2    32.4    48.4
 1946    12.1     9.7     5.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     6.0     5.6     0.0     0.1    21.5    33.5
 1947     9.8     5.7     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     4.9     0.9     0.0     0.8    20.3    22.0
 1948     7.8     7.5    10.1     0.6     0.0     0.0     0.0     0.0     0.0     0.0     1.7    10.4    10.8     0.0     1.7    39.8    38.3
 1949    15.6    13.8     4.4     2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.3     6.1     6.8     0.0     0.3    33.5    42.6
 1950    15.4    12.0     3.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     5.1     3.7     0.0     1.3    19.2    37.5
 1951     8.5     5.6     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     9.1     0.6     0.0     1.1    24.2    24.9
 1952     9.9     5.2     3.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     1.0     3.5     3.7     0.0     1.0    16.8    23.3
 1953     8.9     4.5     7.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     2.7    13.4     7.7     0.0     2.7    30.7    37.0
 1954    11.2     6.1     0.6     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.2     4.8     1.0     0.0     0.2    13.0    23.4
 1955     6.3     1.8     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     5.4     2.1     0.0     1.1    19.3    16.6
 1956     9.3     4.6     5.4     0.2     0.0     0.0     0.0     0.0     0.0     0.0     1.7    10.0     5.6     0.0     1.7    33.6    31.2
 1957    16.0     7.6     3.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     1.0     8.1     3.4     0.0     1.0    24.0    36.1
 1958     9.2     6.6     0.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     4.5     0.9     0.0     1.6    30.1    22.9
 1959     9.0    16.7     5.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     6.9     5.9     0.0     1.7    19.3    40.1
 1960     7.7     4.8     2.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     2.3     2.7     0.0     0.2    21.4    17.7
 1961     9.5     9.6     6.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     4.5     6.1     0.0     1.6    18.3    31.2
 1962     6.9     6.9     0.4     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.2     4.4     0.6     0.0     0.2    11.6    19.1
 1963     4.5     2.7     4.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     8.4     4.4     0.0     0.8    33.8    20.6
 1964    17.8     7.7     1.3     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.3     7.6     1.6     0.0     1.3    23.3    36.0
 1965     9.9     5.8     1.9     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.9     6.8     2.2     0.0     1.9    19.4    26.5
 1966     7.6     5.0     3.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     5.1     3.6     0.0     0.1    29.3    21.3
 1967    13.0    11.2     7.2     0.4     0.0     0.0     0.0     0.0     0.0     0.0     1.9     6.6     7.6     0.0     1.9    27.9    40.4
 1968    12.2     9.0     4.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     4.6     4.5     0.0     0.7    19.4    31.0
 1969     9.6     5.2     0.6     0.4     0.0     0.0     0.0     0.0     0.0     0.0     1.6     5.5     1.0     0.0     1.6    18.9    22.9
 1970     8.1     5.3     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3    11.7     1.1     0.0     0.3    25.8    26.5
 1971     7.2     7.0     2.5     0.6     0.0     0.0     0.0     0.0     0.0     0.0     1.7    10.6     3.0     0.0     1.7    36.2    29.5
 1972    13.4    12.1     3.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7    15.6     3.4     0.0     1.7    34.9    46.3
 1973    14.8     4.4     3.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     4.1     8.5     3.9     0.0     4.1    31.2    35.7
 1974    14.4     8.4     1.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.8     9.5     1.5     0.0     0.8    30.0    34.5
 1975    12.4     8.2     3.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4    10.1     3.1     0.0     1.4    32.3    35.1
 1976    11.0    11.2     3.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.7     5.5     4.0     0.0     0.7    21.8    32.4
 1977    13.4     2.8     2.9     0.2     0.0     0.0     0.0     0.0     0.0     0.0     1.8     8.4     3.2     0.0     1.8    22.6    29.6
 1978     9.4     4.8     1.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     5.0     5.2     2.0     0.0     5.0    17.5    26.4
 1979     8.6     3.7     1.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     8.8     1.6     0.0     0.1    30.3    22.8
 1980    12.6     8.8     3.2     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.6     6.2     3.3     0.0     0.6    25.1    31.6
 1981    11.6     7.2     1.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     2.7     4.9     1.5     0.0     2.7    24.4    28.0
 1982     9.2    10.3     5.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     5.0    11.9     5.9     0.0     5.0    39.6    42.3
 1983    16.9    10.7     5.4     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.3     7.4     5.6     0.0     0.3    23.6    41.0
 1984     9.2     7.0     1.6     0.2     0.0     0.0     0.0     0.0     0.0     0.0     1.3    12.3     1.8     0.0     1.3    26.9    31.5
 1985     5.7     9.0     4.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     6.4     4.3     0.0     0.2    20.0    25.5
 1986     8.8     4.8     1.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.4    10.4     1.6     0.0     3.4    22.1    29.1
 1987     8.4     3.3     6.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     1.3     4.2     6.4     0.0     1.3    20.0    23.7
 1988     9.0     6.8     3.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.6     7.3     3.3     0.0     3.6    37.1    30.0
 1989    18.0    11.8     2.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     8.0     2.6     0.0     0.6    30.7    41.0
 1990    13.3     9.3     3.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.1     4.1     3.9     0.0     0.1    22.0    30.7
 1991    10.9     7.1     0.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5    10.5     0.9     0.0     0.5    39.7    29.8
 1992    16.7    12.5     5.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     1.3    11.5     6.1     0.0     1.3    37.4    48.2
 1993    14.2    11.7     3.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     5.6     3.8     0.0     1.7    17.2    37.0
 1994     5.4     6.3     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2    12.5     2.3     0.0     1.2    27.3    27.7
 1995     8.9     6.0     2.3     0.2     0.0     0.0     0.0     0.0     0.0     0.0     2.8     9.1     2.5     0.0     2.8    22.1    29.2
 1996     8.5     4.5     2.9     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.6     3.6     3.1     0.0     0.6    24.1    20.3
 1997     8.4    12.2     6.3     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.6     4.8     6.5     0.0     0.6    19.9    32.4
 1998     9.1     6.1     3.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.5     3.7     0.0     0.0    15.7    22.4
 1999     7.4     4.8     1.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     6.6     1.6     0.0     0.8    27.6    21.3
 2000    11.7     9.3     4.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5     5.9     4.3     0.0     1.5    20.2    32.7
 2001     8.5     5.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     3.9     0.1     0.0     1.0    20.3    19.3
 2002    12.6     3.7     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     5.7     0.6     0.0     0.7    18.1    23.3
 2003     5.2     7.2     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     6.0     4.1     0.0     0.5    20.0    23.0
 2004     7.7     6.3     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4    10.4     0.7     0.0     0.4    26.4    25.5
 2005     8.9     7.0     1.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     3.2     1.3     0.0     1.7    16.5    22.1
 2006     8.9     4.4     1.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.5    12.1     1.8     0.0     2.5    28.8    29.7
 2007    11.9     4.8     2.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.4     7.5     2.7     0.0     0.4    34.1    27.3
 2008    17.1     9.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     5.9     0.1     0.0     0.4    20.5    32.9
 2009    10.0     4.6     2.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     2.7     2.7     0.0     0.8     7.5    20.9
 2010     3.1     1.7     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.7     0.1     0.0     0.1    15.0     8.8
 2011     6.6     4.6     2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.1     8.7     2.3     0.0     4.1    27.9    26.3
 2012    10.8     8.4     4.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.6     4.3     0.0     0.0    13.4    27.1
 2013     7.2     2.7     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     8.4     0.7     0.0     0.0    20.5    19.1
 2014     6.9     5.2     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     2.8     0.6     0.0     0.9    17.1    16.5
 2015     9.6     4.7     0.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.4     9.6     0.7     0.0     0.4    22.2    25.0
 2016     9.6     3.1     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     6.0     0.6     0.0     0.6  -999.0    20.0
