Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Kara_Sea_Isl         : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    31.0    28.0    31.0    30.0    30.9    24.5    22.5    21.2    25.1    30.9    30.0    31.0    91.9    68.2    86.0    90.0   336.1
 1902    31.0    28.0    31.0    30.0    31.0    25.1    20.1    20.4    24.2    31.0    30.0    31.0    92.0    65.6    85.2    90.0   332.8
 1903    31.0    28.0    31.0    30.0    30.9    25.0    20.8    21.6    23.6    30.9    30.0    31.0    91.9    67.4    84.5    91.0   333.8
 1904    31.0    29.0    31.0    30.0    30.7    22.3    20.0    18.3    24.6    30.2    30.0    31.0    91.7    60.6    84.7    90.0   328.1
 1905    31.0    28.0    31.0    30.0    30.8    25.1    19.0    21.7    23.5    30.6    30.0    31.0    91.8    65.7    84.1    90.0   331.6
 1906    31.0    28.0    31.0    30.0    30.8    22.2    21.2    18.5    23.3    30.4    30.0    31.0    91.8    61.9    83.7    90.0   327.5
 1907    31.0    28.0    31.0    30.0    31.0    24.6    20.3    17.7    21.7    30.8    30.0    31.0    92.0    62.6    82.5    91.0   327.0
 1908    31.0    29.0    31.0    30.0    30.8    21.9    20.1    19.5    23.7    30.8    30.0    31.0    91.8    61.5    84.5    90.0   328.8
 1909    31.0    28.0    31.0    30.0    31.0    23.8    19.1    19.9    24.0    30.8    30.0    31.0    92.0    62.9    84.8    90.0   329.7
 1910    31.0    28.0    31.0    30.0    30.7    24.1    20.0    19.9    23.4    31.0    30.0    31.0    91.7    63.9    84.4    90.0   330.0
 1911    31.0    28.0    31.0    30.0    30.9    23.8    18.8    21.1    23.7    30.8    30.0    31.0    91.9    63.7    84.5    91.0   330.1
 1912    31.0    29.0    31.0    30.0    30.9    24.4    22.5    22.1    24.3    31.0    30.0    31.0    91.9    69.0    85.3    90.0   337.2
 1913    31.0    28.0    31.0    30.0    30.9    23.3    21.4    20.4    24.2    31.0    30.0    31.0    91.9    65.1    85.2    90.0   332.3
 1914    31.0    28.0    31.0    30.0    30.8    24.0    22.6    17.9    23.8    30.8    30.0    31.0    91.8    64.5    84.6    90.0   330.9
 1915    31.0    28.0    31.0    30.0    30.4    20.7    17.5    19.1    24.1    31.0    30.0    31.0    91.4    57.3    85.1    91.0   323.8
 1916    31.0    29.0    31.0    30.0    31.0    24.3    22.3    20.8    22.6    30.6    30.0    31.0    92.0    67.5    83.2    90.0   333.7
 1917    31.0    28.0    31.0    30.0    29.5    23.2    16.6    24.6    26.5    31.0    30.0    31.0    90.5    64.3    87.5    90.0   332.3
 1918    31.0    28.0    31.0    30.0    31.0    24.2    19.4    20.8    22.4    31.0    30.0    31.0    92.0    64.4    83.4    90.0   329.7
 1919    31.0    28.0    31.0    30.0    30.7    24.8    22.8     9.2    18.2    29.2    30.0    31.0    91.7    56.8    77.4    91.0   316.0
 1920    31.0    29.0    31.0    30.0    31.0    24.6    24.1    14.7    24.4    31.0    30.0    31.0    92.0    63.4    85.4    90.0   331.7
 1921    31.0    28.0    31.0    30.0    31.0    22.7    19.6    24.6    24.8    29.6    30.0    31.0    92.0    67.0    84.4    90.0   333.4
 1922    31.0    28.0    31.0    30.0    30.1    18.8    16.4    18.6    24.4    31.0    30.0    31.0    91.1    53.8    85.4    90.0   320.4
 1923    31.0    28.0    31.0    30.0    31.0    21.4    19.0     8.6    19.0    30.2    30.0    31.0    92.0    49.0    79.2    91.0   310.2
 1924    31.0    29.0    31.0    30.0    30.0    23.4     7.8    16.8    22.0    29.6    30.0    31.0    91.0    48.0    81.6    90.0   311.5
 1925    31.0    28.0    31.0    30.0    31.0    25.4    25.0    25.0    25.2    30.6    30.0    31.0    92.0    75.3    85.8    90.0   343.0
 1926    31.0    28.0    31.0    30.0    31.0    25.9    21.6    18.5    25.6    30.2    30.0    31.0    92.0    66.0    85.8    90.0   333.8
 1927    31.0    28.0    31.0    30.0    28.6    22.6    25.2    22.3    20.1    30.4    30.0    31.0    89.6    70.0    80.5    91.0   330.1
 1928    31.0    29.0    31.0    30.0    30.9    23.9    17.4    13.1    21.1    30.8    30.0    31.0    91.9    54.4    81.9    90.0   319.3
 1929    31.0    28.0    31.0    30.0    31.0    24.5    14.2    20.0    19.7    29.0    30.0    31.0    92.0    58.8    78.6    90.0   319.4
 1930    31.0    28.0    31.0    30.0    30.5    24.3    18.1    23.0    24.6    31.0    30.0    31.0    91.5    65.5    85.6    90.0   332.7
 1931    31.0    28.0    31.0    30.0    30.7    24.1    20.5    18.4    19.1    28.3    30.0    31.0    91.7    63.1    77.4    91.0   322.2
