Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Lesotho              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     0.2     0.3     2.3     5.0    17.2    21.9    23.7    18.2    11.8     7.0     2.7     1.2    24.5    63.8    21.6     2.6   111.4
 1902     1.1     0.4     1.5     7.6    14.1    23.4    22.2    19.9    11.5     5.6     3.8     1.0    23.2    65.5    20.9     1.8   112.1
 1903     0.2     0.6     1.9     8.3    15.8    23.4    23.2    18.5    10.4     5.7     3.4     1.1    26.1    65.2    19.5     2.5   112.6
 1904     0.5     0.9     1.8     6.2    15.5    21.6    22.1    19.1    10.4     5.6     2.2     2.6    23.6    62.8    18.2     4.0   108.5
 1905     0.4     1.0     2.5     5.4    16.4    23.5    21.5    21.3     9.8     4.6     3.0     1.1    24.4    66.3    17.3     2.1   110.5
 1906     0.2     0.8     2.0     8.6    15.9    21.0    23.3    21.4    10.4     7.4     3.1     1.9    26.6    65.7    20.9     3.4   116.1
 1907     0.8     0.7     1.2     8.9    18.5    22.7    23.1    18.4     9.7     7.6     4.1     2.4    28.5    64.2    21.4     3.8   118.0
 1908     0.8     0.6     1.9    11.1    16.2    22.6    22.7    19.4     8.8     6.4     3.1     1.1    29.2    64.6    18.3     2.9   114.5
 1909     0.5     1.3     2.7     6.6    16.7    22.9    22.1    18.5    10.1     6.2     3.0     1.8    26.0    63.5    19.3     3.9   112.5
 1910     0.5     1.5     2.0     9.6    18.8    24.3    23.8    21.5    11.9     7.2     6.4     1.9    30.5    69.6    25.6     3.0   129.7
 1911     0.8     0.3     2.7     8.5    17.3    24.4    24.6    21.9    12.2     3.6     3.2     1.1    28.5    70.9    19.0     2.5   120.6
 1912     0.6     0.8     3.2     6.5    14.9    22.1    23.3    19.3    14.5     5.9     3.4     1.4    24.6    64.8    23.8     2.1   115.9
 1913     0.3     0.4     2.8     6.7    16.2    22.4    23.6    17.5     9.8     7.1     2.5     1.9    25.7    63.5    19.4     2.8   111.3
 1914     0.2     0.7     1.6     7.2    12.3    23.3    23.7    20.6     8.6     3.7     3.5     1.1    21.0    67.7    15.7     1.8   106.5
 1915     0.0     0.6     1.0     7.0    16.5    23.0    23.4    20.3     9.7     8.2     4.0     1.9    24.5    66.7    21.9     4.1   115.6
 1916     1.3     0.9     2.5     7.7    21.1    23.2    23.1    22.4    10.7     5.5     2.7     1.2    31.3    68.8    18.9     2.7   122.3
 1917     0.7     0.8     1.9     8.9    18.5    23.0    24.1    22.2     9.9     6.7     3.1     2.0    29.3    69.3    19.8     3.5   121.9
 1918     1.0     0.6     1.6     8.9    19.8    23.6    23.1    19.9     8.3     5.0     3.2     1.5    30.2    66.6    16.5     2.7   116.4
 1919     0.7     0.6     1.9     4.4    16.6    20.8    21.7    19.4    12.2     5.2     3.5     1.8    23.0    62.0    20.8     2.9   108.8
 1920     0.1     1.0     2.5     8.4    16.2    24.7    21.5    18.4    10.4     5.5     1.8     2.4    27.1    64.6    17.8     3.9   113.0
 1921     1.1     0.4     2.3     8.9    17.4    23.5    25.0    21.2    13.4     5.6     2.9     1.8    28.7    69.7    22.0     2.8   123.7
 1922     0.4     0.6     1.5     6.8    17.7    22.4    21.9    18.6     7.1     4.2     3.0     1.0    26.0    62.9    14.3     2.0   105.2
 1923     0.4     0.6     0.9     9.3    18.6    23.0    23.2    18.1     9.9     3.3     1.4     1.2    28.9    64.2    14.6     2.9   109.9
 1924     0.6     1.1     1.8     8.5    17.8    23.7    23.7    21.0    10.0     6.4     2.9     1.5    28.1    68.4    19.3     2.3   119.0
 1925     0.6     0.2     1.0     6.8    15.9    24.9    22.7    18.7     9.2     6.3     2.6     1.3    23.8    66.4    18.1     1.4   110.3
 1926     0.0     0.1     1.7     7.9    16.4    20.9    24.3    20.9     9.7     6.1     4.8     1.4    26.1    66.1    20.6     2.5   114.3
 1927     0.3     0.7     2.1     6.5    18.8    22.3    21.2    19.7     8.3     4.9     2.0     1.4    27.3    63.2    15.2     3.5   108.2
 1928     0.5     1.6     1.5     6.5    15.3    22.3    22.2    20.3    10.2     4.4     2.9     0.8    23.2    64.9    17.4     1.8   108.4
 1929     0.4     0.6     2.4     8.0    14.7    20.2    23.3    18.4     6.5     4.0     1.9     1.0    25.1    61.9    12.4     2.8   101.4
 1930     0.6     1.1     1.2     6.8    16.1    22.1    22.3    20.0    12.0     4.8     2.9     0.7    24.1    64.4    19.7     1.3   110.6
 1931     0.4     0.3     1.0     8.2    12.8    21.7    22.0    18.3    10.1     5.1     1.9     1.1    21.9    61.9    17.2     2.5   102.7
 1932     0.9     0.6     1.2     3.2    12.8    20.6    23.6    17.4     7.0     4.9     1.8     1.4    17.3    61.6    13.7     2.6    95.3
 1933     0.5     0.7     1.4     6.2    14.2    22.5    22.1    18.7     8.8     5.1     2.9     1.9    21.8    63.3    16.8     4.1   105.0
 1934     1.0     1.3     1.6     4.7    11.2    16.5    21.9    14.7     9.6     5.7     2.6     1.5    17.5    53.0    17.8     3.8    92.1
 1935     0.6     1.8     3.5     8.6    16.9    21.9    22.5    22.0    10.7     4.8     3.0     2.6    29.0    66.4    18.6     5.1   118.9
 1936     1.2     1.2     1.3     6.8    17.7    20.4    21.2    17.2    11.0     6.9     4.3     2.1    25.7    58.8    22.2     3.3   111.3
