Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Libya                : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     5.6     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     0.0     0.0     0.0     7.1     8.8
 1902     4.9     0.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     2.7     0.1     0.0     0.1    10.5     8.3
 1903     5.0     2.8     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.4     0.3     0.0     0.1     7.4     9.6
 1904     5.4     0.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     3.4     0.1     0.0     0.2    17.1     9.7
 1905     8.9     4.9     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.8     0.4     0.0     0.0    10.2    17.0
 1906     4.9     2.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.6     0.1     0.0     0.0    12.2    10.0
 1907     6.5     3.1     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     1.4     0.0     0.0     6.5    12.3
 1908     3.5     1.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.0     0.1     0.0     0.1    12.6     8.4
 1909     6.4     3.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     0.0     0.0     0.0     7.7    10.7
 1910     4.8     1.8     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     0.8     0.0     0.0    11.2     9.1
 1911     6.4     3.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     0.2     0.0     0.0     5.5    11.1
 1912     3.8     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     2.5     0.0     0.0     0.1     7.8     6.7
 1913     3.4     1.9     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.2     0.0     0.0     8.6     7.5
 1914     5.2     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     0.0     0.0     0.0     5.7     8.4
 1915     2.7     1.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.0     0.0     0.0     7.3     5.0
 1916     5.3     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     0.0     0.0     0.0     6.1     7.3
 1917     3.9     1.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.9     0.1     0.0     0.1    11.5     9.4
 1918     5.2     2.4     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.2     0.3     0.0     0.0     6.6    10.0
 1919     3.6     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.4     0.0     0.0     0.0     9.1     6.9
 1920     3.8     2.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.9     0.1     0.0     0.0     7.9     8.7
 1921     4.0     2.0     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.5     0.5     0.0     0.0     8.1     9.1
 1922     4.5     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     3.5     0.0     0.0     0.1    10.3     9.3
 1923     5.2     1.5     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.3     0.2     0.0     0.0     9.4     9.2
 1924     5.9     1.2     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.1     0.1     0.0     0.0     9.9     9.3
 1925     6.2     1.6     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.8     0.2     0.0     0.0     6.5     9.8
 1926     4.0     0.7     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.1     0.1     0.0     0.0     8.8     6.9
 1927     4.1     2.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.0     0.0     0.0     5.7     7.6
 1928     2.8     2.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.9     0.2     0.0     0.0    13.1     7.9
 1929     6.4     3.7     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.7     0.4     0.0     0.0     9.2    13.3
 1930     4.6     1.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     0.0     0.0     0.0     5.8     7.4
 1931     2.8     2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.4     0.0     0.0     0.0     9.2     7.3
 1932     4.5     2.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     0.1     0.0     0.0     6.7     8.1
 1933     4.5     0.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     0.1     0.0     0.0     9.5     6.9
 1934     5.2     3.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     0.1     0.0     0.0     8.5     9.6
 1935     5.8     1.4     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     0.3     0.0     0.0     4.9     9.1
 1936     2.6     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.8     0.0     0.0     0.0     8.4     6.1
 1937     4.9     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.2     0.0     0.0     0.0     9.2     7.8
 1938     4.4     2.6     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     0.6     0.0     0.0     5.6     8.9
 1939     3.1     1.1     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     0.4     0.0     0.0     6.1     6.0
 1940     4.1     0.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.1     0.0     0.0     7.9     9.0
 1941     3.3     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.8     0.0     0.0     0.0    12.4     7.8
 1942     6.8     1.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     0.0     0.0     0.0     7.5     9.7
 1943     4.6     1.8     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     0.4     0.0     0.0     9.9     7.5
 1944     6.4     2.8     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.6     0.6     0.0     0.0    13.4    12.4
 1945     7.5     3.3     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.4     1.2     0.0     0.0     8.4    14.5
 1946     3.5     2.5     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.2     0.3     0.0     0.0     7.8     9.5
 1947     4.5     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5     0.0     0.0     0.0     5.6     6.1
 1948     3.1     1.0     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     4.0     1.4     0.0     0.2    14.6     9.7
 1949     6.5     4.1     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.8     0.0     0.0     8.3    12.5
 1950     4.9     2.4     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     2.1     0.6     0.0     0.1     9.0    10.0
