Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Monaco               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    13.4    20.1     7.8     0.9     0.0     0.0     0.0     0.0     0.0     0.0     4.7     8.6     8.7     0.0     4.7    26.3    55.4
 1902     9.8     7.9     4.3     0.0     0.7     0.0     0.0     0.0     0.0     0.0     4.0     8.6     5.0     0.0     4.0    26.9    35.2
 1903    11.0     7.3     4.4     4.9     0.0     0.0     0.0     0.0     0.0     0.0     2.2     7.1     9.3     0.0     2.2    23.6    37.0
 1904     9.5     6.9     5.6     0.1     0.0     0.0     0.0     0.0     0.0     0.0     4.5     7.1     5.8     0.0     4.5    34.7    33.8
 1905    16.9    10.7     4.6     1.0     0.0     0.0     0.0     0.0     0.0     2.0     3.0     7.8     5.6     0.0     5.0    31.2    46.0
 1906    11.3    12.1     8.1     2.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5    12.9    10.1     0.0     1.5    41.9    47.8
 1907    15.3    13.8     9.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     3.9    12.0     0.0     1.0    25.1    45.9
 1908    13.6     7.5     8.8     3.6     0.0     0.0     0.0     0.0     0.0     0.0     3.8     7.4    12.4     0.0     3.8    39.1    44.8
 1909    15.5    16.2    10.3     0.6     0.0     0.0     0.0     0.0     0.0     0.0     4.5     4.3    10.8     0.0     4.5    21.1    51.3
 1910     9.5     7.3     5.2     2.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     3.6     7.2     0.0     4.0    29.8    31.5
 1911    15.5    10.7     5.4     2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.9     4.1     7.8     0.0     0.9    14.9    39.0
 1912     6.3     4.5     2.5     2.7     0.0     0.0     0.0     0.0     0.0     0.1     6.9     8.1     5.1     0.0     7.0    25.7    31.0
 1913     6.7    10.9     3.7     1.6     0.0     0.0     0.0     0.0     0.0     0.0     0.1     8.6     5.3     0.0     0.1    32.9    31.6
 1914    18.7     5.7     4.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     2.8     4.6     4.4     0.0     2.8    25.9    36.2
 1915    11.0    10.2     6.7     2.4     0.0     0.0     0.0     0.0     0.0     0.3     5.5     2.2     9.1     0.0     5.7    16.0    38.2
 1916     6.5     7.3     4.6     1.1     0.0     0.0     0.0     0.0     0.0     0.0     1.7     5.2     5.7     0.0     1.7    33.3    26.5
 1917    13.1    15.0    10.8     4.5     0.0     0.0     0.0     0.0     0.0     0.4     2.5    13.6    15.3     0.0     3.0    32.2    60.0
 1918    10.8     7.7     7.1     1.6     0.0     0.0     0.0     0.0     0.0     0.1     2.0     4.3     8.8     0.0     2.1    22.1    33.6
 1919     8.1     9.7     5.2     3.3     0.0     0.0     0.0     0.0     0.0     1.0     6.3     6.5     8.5     0.0     7.3    17.4    40.1
 1920     5.4     5.5     2.8     0.7     0.0     0.0     0.0     0.0     0.0     0.0     3.6     6.9     3.5     0.0     3.6    21.8    24.9
 1921     5.6     9.3     5.0     2.5     0.0     0.0     0.0     0.0     0.0     0.0     4.5     8.6     7.5     0.0     4.5    30.9    35.5
 1922    12.3    10.0     3.9     2.8     0.0     0.0     0.0     0.0     0.0     0.1     5.3     8.8     6.7     0.0     5.3    26.3    43.1
 1923    11.3     6.3     4.6     1.5     0.0     0.0     0.0     0.0     0.0     0.0     2.0     8.1     6.1     0.0     2.0    33.5    33.7
 1924    13.1    12.3     6.1     1.1     0.0     0.0     0.0     0.0     0.0     0.0     1.5     6.1     7.1     0.0     1.5    21.5    40.1
 1925     8.6     6.9    10.3     1.2     0.0     0.0     0.0     0.0     0.0     0.0     3.3    11.6    11.4     0.0     3.3    28.0    41.7
 1926    13.1     3.4     3.9     0.7     0.1     0.0     0.0     0.0     0.0     0.0     0.1    10.3     4.7     0.0     0.1    30.2    31.6
 1927     9.3    10.7     3.7     0.4     0.0     0.0     0.0     0.0     0.0     0.0     1.3     7.1     4.1     0.0     1.3    22.6    32.5
 1928     8.8     6.7     3.7     1.1     0.1     0.0     0.0     0.0     0.0     0.0     1.1     9.3     5.0     0.0     1.1    47.9    30.8
 1929    17.9    20.7     6.5     3.1     0.0     0.0     0.0     0.0     0.0     0.0     1.6     5.0     9.6     0.0     1.6    19.3    54.9
 1930     5.4     8.8     3.7     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.6     6.5     4.5     0.0     0.6    28.6    25.8
 1931     9.8    12.3     8.1     2.8     0.0     0.0     0.0     0.0     0.0     0.0     0.6    12.3    10.9     0.0     0.6    41.3    46.0
 1932     9.0    19.9     9.0     2.8     0.0     0.0     0.0     0.0     0.0     0.0     1.2     3.7    11.8     0.0     1.2    27.0    45.7
 1933    12.9    10.4     4.6     1.0     0.0     0.0     0.0     0.0     0.0     0.0     3.1    16.9     5.6     0.0     3.1    40.8    48.9
 1934    11.8    12.1     5.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     4.0     2.6     5.3     0.0     4.0    26.2    35.8
 1935    15.3     8.4     7.1     1.8     0.1     0.0     0.0     0.0     0.0     0.0     0.7     8.3     9.1     0.0     0.7    18.1    41.8
 1936     2.9     6.9     2.9     1.4     0.0     0.0     0.0     0.0     0.0     1.7     2.4     7.4     4.3     0.0     4.0    18.5    25.5
 1937     7.6     3.5     5.8     1.1     0.0     0.0     0.0     0.0     0.0     0.0     2.7    10.0     6.9     0.0     2.7    33.2    30.7
 1938    12.1    11.1     2.3     4.5     0.0     0.0     0.0     0.0     0.0     0.0     0.6     9.5     6.8     0.0     0.6    23.3    40.1
 1939     5.6     8.2     9.0     0.3     0.2     0.0     0.0     0.0     0.0     0.0     0.5     8.6     9.5     0.0     0.5    40.1    32.4
 1940    21.0    10.6     5.2     0.6     0.0     0.0     0.0     0.0     0.0     0.0     1.4    19.5     5.9     0.0     1.4    43.7    58.3
 1941    15.8     8.4     5.0     2.7     0.5     0.0     0.0     0.0     0.0     0.0     2.8    10.5     8.2     0.0     2.8    46.7    45.7
 1942    20.0    16.2     2.6     0.6     0.0     0.0     0.0     0.0     0.0     0.0     3.6     7.6     3.2     0.0     3.6    23.3    50.6
 1943     9.0     6.7     2.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     3.1     5.6     3.0     0.0     3.1    26.0    27.5
 1944     7.4    13.0     7.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0    10.3     7.4     0.0     3.0    39.7    41.0
 1945    23.0     6.5     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.3     6.3     1.5     0.0     3.3    23.3    40.5
 1946    12.9     4.2     3.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.3    12.9     3.3     0.0     3.3    45.2    36.5
 1947    19.8    12.6     3.9     0.2     0.0     0.0     0.0     0.0     0.0     0.0     1.4    10.3     4.1     0.0     1.4    24.4    48.1
 1948     5.6     8.4     1.2     0.4     0.0     0.0     0.0     0.0     0.0     0.0     1.8     8.3     1.6     0.0     1.8    27.5    25.9
