Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Severnaya_Zemlya     : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1902    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1903    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    91.0   327.0
 1904    31.0    29.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   328.0
 1905    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1906    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1907    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    91.0   327.0
 1908    31.0    29.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   328.0
 1909    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1910    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1911    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    91.0   327.0
 1912    31.0    29.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   328.0
 1913    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1914    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   327.0
 1915    31.0    28.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    91.0   327.0
 1916    31.0    29.0    31.0    30.0    31.0    24.7    14.3    19.2    25.9    31.0    30.0    31.0    92.0    58.1    86.9    90.0   328.0
 1917    31.0    28.0    31.0    30.0    30.8    24.0    10.3    24.0    28.1    31.0    30.0    31.0    91.8    58.3    89.1    90.0   329.2
 1918    31.0    28.0    31.0    30.0    31.0    25.0    13.3    19.6    24.9    31.0    30.0    31.0    92.0    57.9    85.9    90.0   325.9
 1919    31.0    28.0    31.0    30.0    31.0    25.5    17.4     8.0    22.4    30.9    30.0    31.0    92.0    50.9    83.3    91.0   316.2
 1920    31.0    29.0    31.0    30.0    31.0    25.4    19.2    13.3    25.9    31.0    30.0    31.0    92.0    57.9    86.9    90.0   327.8
 1921    31.0    28.0    31.0    30.0    31.0    24.7    13.8    24.1    26.7    31.0    30.0    31.0    92.0    62.6    87.6    90.0   332.2
 1922    31.0    28.0    31.0    30.0    31.0    20.6    10.3    17.3    26.3    31.0    30.0    31.0    92.0    48.2    87.3    90.0   317.5
 1923    31.0    28.0    31.0    30.0    31.0    22.5    12.9     7.3    22.9    31.0    30.0    31.0    92.0    42.7    83.9    91.0   308.6
 1924    31.0    29.0    31.0    30.0    30.9    24.1     3.6    15.3    24.6    31.0    30.0    31.0    91.9    43.0    85.6    90.0   311.5
 1925    31.0    28.0    31.0    30.0    31.0    26.0    20.2    24.4    27.0    31.0    30.0    31.0    92.0    70.7    88.0    90.0   340.7
 1926    31.0    28.0    31.0    30.0    31.0    26.6    15.8    17.3    27.3    31.0    30.0    31.0    92.0    59.8    88.3    90.0   330.1
 1927    31.0    28.0    31.0    30.0    30.4    23.6    20.7    21.6    23.6    31.0    30.0    31.0    91.4    65.9    84.6    91.0   331.9
 1928    31.0    29.0    31.0    30.0    31.0    24.7    11.2    11.8    24.1    31.0    30.0    31.0    92.0    47.6    85.1    90.0   315.8
 1929    31.0    28.0    31.0    30.0    31.0    26.0     8.0    19.8    23.8    30.9    30.0    31.0    92.0    53.8    84.7    90.0   320.5
 1930    31.0    28.0    31.0    30.0    31.0    24.3    12.6    23.5    26.5    31.0    30.0    31.0    92.0    60.5    87.5    90.0   330.0
 1931    31.0    28.0    31.0    30.0    31.0    25.0    14.4    17.3    23.0    30.8    30.0    31.0    92.0    56.7    83.8    91.0   322.5
 1932    31.0    29.0    31.0    30.0    30.9    21.1     6.5    12.3    21.2    31.0    30.0    31.0    91.9    39.9    82.2    90.0   304.9
 1933    31.0    28.0    31.0    30.0    31.0    26.6    18.5    20.3    27.7    31.0    30.0    31.0    92.0    65.4    88.7    90.0   336.1
 1934    31.0    28.0    31.0    30.0    31.0    24.4    16.8    19.6    26.7    31.0    30.0    31.0    92.0    60.8    87.7    90.0   330.5
 1935    31.0    28.0    31.0    30.0    30.5    23.4    14.3    16.9    25.8    31.0    30.0    31.0    91.5    54.6    86.8    91.0   322.9
 1936    31.0    29.0    31.0    30.0    31.0    24.2    12.4    20.2    22.0    31.0    30.0    31.0    92.0    56.8    83.0    90.0   322.9
 1937    31.0    28.0    31.0    30.0    31.0    24.1    14.9    22.4    25.4    31.0    30.0    31.0    92.0    61.4    86.4    90.0   329.8
 1938    31.0    28.0    31.0    30.0    31.0    23.0    14.8    15.9    23.7    31.0    30.0    31.0    92.0    53.8    84.7    90.0   320.5
 1939    31.0    28.0    31.0    30.0    31.0    24.0    12.8    19.1    26.2    31.0    30.0    31.0    92.0    55.9    87.2    91.0   325.2
 1940    31.0    29.0    31.0    30.0    31.0    22.0    13.9    17.7    24.7    31.0    30.0    31.0    92.0    53.7    85.7    90.0   322.4
 1941    31.0    28.0    31.0    30.0    31.0    21.1     9.5    17.0    25.3    30.9    30.0    31.0    92.0    47.6    86.3    90.0   315.9
 1942    31.0    28.0    31.0    30.0    30.9    22.8    12.7    18.8    24.0    31.0    30.0    31.0    91.9    54.3    85.0    90.0   321.2
 1943    31.0    28.0    31.0    30.0    30.8    20.8    15.2    17.1    25.4    31.0    30.0    31.0    91.8    53.1    86.4    91.0   321.2
 1944    31.0    29.0    31.0    30.0    31.0    25.7    15.1    21.6    24.3    31.0    30.0    31.0    92.0    62.3    85.3    90.0   330.6
 1945    31.0    28.0    31.0    30.0    30.9    21.3    11.6    11.9    24.4    30.9    30.0    31.0    91.9    44.8    85.4    90.0   312.1
 1946    31.0    28.0    31.0    30.0    31.0    25.1    14.0    22.3    27.2    31.0    30.0    31.0    92.0    61.4    88.2    90.0   331.6
 1947    31.0    28.0    31.0    30.0    30.9    24.4    13.5    17.9    25.9    30.5    30.0    31.0    91.9    55.7    86.5    91.0   324.1
 1948    31.0    29.0    31.0    30.0    31.0    25.2    13.4    17.1    25.2    31.0    30.0    31.0    92.0    55.7    86.2    90.0   324.9
 1949    31.0    28.0    31.0    30.0    31.0    26.4    16.9    20.9    24.9    31.0    30.0    31.0    92.0    64.2    85.9    90.0   332.1
 1950    31.0    28.0    31.0    30.0    31.0    24.0    15.0    21.1    25.6    31.0    30.0    31.0    92.0    60.0    86.6    90.0   328.6
 1951    31.0    28.0    31.0    30.0    31.0    24.8    15.3    20.3    24.4    30.9    30.0    31.0    92.0    60.4    85.3    91.0   327.7
 1952    31.0    29.0    31.0    30.0    31.0    24.9    15.6    19.7    23.5    31.0    30.0    31.0    92.0    60.2    84.5    90.0   327.7
 1953    31.0    28.0    31.0    30.0    30.9    23.8    11.2    20.0    26.7    31.0    30.0    31.0    91.9    55.0    87.7    90.0   324.6
 1954    31.0    28.0    31.0    30.0    30.9    23.5    14.2    16.5    25.8    30.9    30.0    31.0    91.9    54.3    86.7    90.0   322.9
 1955    31.0    28.0    31.0    30.0    31.0    24.6    13.4    17.8    25.4    31.0    30.0    31.0    92.0    55.8    86.4    91.0   324.2
 1956    31.0    29.0    31.0    30.0    31.0    25.2    15.6    20.2    26.3    31.0    30.0    31.0    92.0    61.0    87.3    90.0   331.4
 1957    31.0    28.0    31.0    30.0    31.0    24.1    14.0    16.7    28.8    31.0    30.0    31.0    92.0    54.9    89.8    90.0   326.6
 1958    31.0    28.0    31.0    30.0    31.0    25.4    13.1    20.5    27.7    31.0    30.0    31.0    92.0    58.9    88.7    90.0   329.7
 1959    31.0    28.0    31.0    30.0    31.0    23.1    12.5    16.6    24.6    31.0    30.0    31.0    92.0    52.2    85.6    91.0   319.8
 1960    31.0    29.0    31.0    30.0    31.0    23.2    14.3    20.5    26.5    31.0    30.0    31.0    92.0    58.0    87.5    90.0   328.6
 1961    31.0    28.0    31.0    30.0    31.0    24.6    13.5    18.7    25.1    31.0    30.0    31.0    92.0    56.7    86.1    90.0   324.8
 1962    31.0    28.0    31.0    30.0    31.0    25.2    15.1    18.9    26.5    31.0    30.0    31.0    92.0    59.2    87.5    90.0   328.8
 1963    31.0    28.0    31.0    30.0    31.0    25.4    15.3    19.2    28.3    31.0    30.0    31.0    92.0    59.9    89.3    91.0   331.2
 1964    31.0    29.0    31.0    30.0    31.0    25.9    14.6    19.7    26.0    31.0    30.0    31.0    92.0    60.3    87.0    90.0   330.2
 1965    31.0    28.0    31.0    30.0    31.0    25.9    11.2    18.6    24.6    31.0    30.0    31.0    92.0    55.7    85.6    90.0   323.3
 1966    31.0    28.0    31.0    30.0    31.0    25.9    14.9    19.2    26.1    31.0    30.0    31.0    92.0    59.9    87.1    90.0   329.0
 1967    31.0    28.0    31.0    30.0    31.0    25.3    14.1    20.5    25.7    31.0    30.0    31.0    92.0    59.8    86.6    91.0   328.5
 1968    31.0    29.0    31.0    30.0    31.0    25.7    15.4    19.1    26.4    31.0    30.0    31.0    92.0    60.2    87.4    90.0   330.6
 1969    31.0    28.0    31.0    30.0    31.0    24.1    12.5    19.6    26.2    31.0    30.0    31.0    92.0    56.2    87.2    90.0   325.3
 1970    31.0    28.0    31.0    30.0    31.0    24.6    13.7    19.5    26.6    31.0    30.0    31.0    92.0    57.8    87.6    90.0   327.4
 1971    31.0    28.0    31.0    30.0    31.0    24.5    13.6    15.3    24.0    31.0    30.0    31.0    92.0    53.4    85.0    91.0   320.5
