Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Algeria              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    18.4    20.5    25.0    30.3    32.5    39.5    40.1    39.3    35.7    29.2    23.9    18.9    29.3    39.6    29.6    19.8    29.4
 1902    18.2    22.4    25.2    30.3    32.3    36.9    40.2    39.7    35.3    28.8    24.0    19.6    29.3    38.9    29.4    20.2    29.4
 1903    19.5    21.5    25.2    28.8    33.0    36.8    38.8    38.5    35.1    30.5    23.9    19.4    29.0    38.0    29.9    20.1    29.3
 1904    18.5    22.2    24.9    29.3    33.5    38.1    40.0    39.4    35.1    30.0    23.7    20.1    29.2    39.1    29.6    19.1    29.6
 1905    17.7    19.4    25.3    30.2    32.9    38.0    39.6    38.8    35.4    29.4    24.2    19.1    29.5    38.8    29.7    19.4    29.2
 1906    19.0    20.0    25.2    29.0    33.2    38.2    39.2    38.7    35.5    29.8    23.9    18.7    29.2    38.7    29.7    18.6    29.2
 1907    17.7    19.4    23.9    28.3    32.7    37.4    39.0    38.5    35.2    30.0    24.8    20.3    28.3    38.3    30.0    20.1    28.9
 1908    19.3    20.7    23.8    28.1    33.9    37.2    39.4    38.4    35.9    30.0    24.4    19.9    28.6    38.3    30.1    19.5    29.2
 1909    17.9    20.6    25.9    29.0    32.6    36.3    38.2    38.1    35.1    30.2    24.6    20.7    29.2    37.5    30.0    20.0    29.1
 1910    18.2    21.1    24.1    28.4    31.9    37.3    39.2    38.3    34.1    30.9    24.4    20.2    28.1    38.3    29.8    19.4    29.0
 1911    17.2    20.9    24.0    28.3    31.9    37.6    39.4    39.5    36.4    30.2    23.5    20.4    28.1    38.8    30.0    21.1    29.1
 1912    19.1    23.7    26.4    28.7    33.8    37.4    38.6    38.2    34.3    29.4    22.3    19.0    29.6    38.0    28.6    20.0    29.2
 1913    19.7    21.2    24.7    28.6    33.2    37.8    39.3    38.8    35.4    30.1    24.6    19.5    28.8    38.6    30.0    19.8    29.4
