Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bermuda              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    22.3    18.1    21.5    20.6    24.0    28.0    31.6    31.4    30.5    28.3    21.4    21.8    22.0    30.3    26.7    20.5    25.0
 1902    20.8    18.9    22.3    22.1    25.1    27.5    29.8    29.6    29.6    29.3    27.3    22.0    23.2    29.0    28.7    22.4    25.4
 1903    22.4    22.9    24.6    22.9    25.7    26.1    30.4    29.8    29.4    28.5    22.4    19.7    24.4    28.8    26.8    18.9    25.4
 1904    19.0    17.9    20.3    21.0    26.0    27.5    29.6    29.9    29.5    26.7    22.1    19.5    22.4    29.0    26.1    18.8    24.1
 1905    19.9    17.0    21.1    22.1    25.9    27.6    30.4    30.0    30.0    28.8    24.0    23.2    23.0    29.3    27.6    23.1    25.0
 1906    25.2    21.0    19.6    23.0    25.9    28.8    29.8    32.2    31.9    28.9    24.2    22.4    22.8    30.3    28.3    21.7    26.1
 1907    24.2    18.6    22.6    19.8    23.4    26.0    30.5    30.4    31.1    26.1    24.2    23.7    21.9    29.0    27.1    22.1    25.1
 1908    22.6    20.0    22.9    23.7    26.2    28.4    31.3    30.4    29.6    29.4    24.8    23.6    24.3    30.0    27.9    24.2    26.1
 1909    24.6    24.4    20.8    22.9    25.4    29.1    29.5    30.1    29.3    26.9    26.1    20.1    23.0    29.6    27.4    21.6    25.8
 1910    22.9    21.7    23.9    24.4    25.1    27.6    30.8    30.2    30.6    29.9    22.2    19.1    24.5    29.5    27.6    21.7    25.7
 1911    24.1    21.8    20.0    21.2    26.4    28.8    31.3    31.4    30.9    28.7    23.9    25.2    22.5    30.5    27.8    21.1    26.1
 1912    18.9    19.3    20.7    23.9    26.1    27.9    30.3    30.6    31.1    29.5    24.5    24.5    23.6    29.6    28.4    24.6    25.6
 1913    27.6    21.6    24.0    22.9    25.7    27.8    30.9    30.5    29.2    29.2    24.8    23.7    24.2    29.7    27.7    22.2    26.5
 1914    23.2    19.7    18.7    21.9    26.2    28.7    29.7    31.2    28.6    29.4    23.7    21.2    22.3    29.9    27.2    22.4    25.2
 1915    23.2    22.7    18.0    23.2    25.2    26.7    30.0    30.7    31.1    29.2    24.7    20.7    22.1    29.1    28.3    22.1    25.5
 1916    24.7    20.8    18.5    21.4    26.0    27.0    29.9    30.7    29.1    28.4    24.2    21.6    22.0    29.2    27.2    21.4    25.2
 1917    22.9    19.7    20.6    21.6    23.0    27.7    30.4    30.9    28.0    26.7    22.0    17.9    21.7    29.7    25.6    18.9    24.3
 1918    17.2    21.6    22.3    22.1    27.3    27.0    29.3    31.7    28.5    30.0    24.5    24.4    23.9    29.3    27.7    23.0    25.5
 1919    23.3    21.4    22.1    22.1    26.2    27.9    30.6    30.4    30.1    31.9    24.7    20.5    23.5    29.6    28.9    20.1    25.9
 1920    20.0    19.7    20.9    22.0    23.1    27.5    29.6    30.9    30.9    29.9    24.6    23.6    22.0    29.3    28.5    23.3    25.2
 1921    23.6    22.8    26.0    24.6    24.3    28.5    30.9    29.9    32.4    28.4    26.0    22.4    25.0    29.8    28.9    22.2    26.6
 1922    21.2    22.9    22.5    23.4    26.3    29.0    30.1    29.7    30.1    29.3    24.7    23.4    24.1    29.6    28.0    22.0    26.1
 1923    23.1    19.4    21.7    22.7    25.1    29.5    29.7    30.8    30.8    27.7    24.0    26.0    23.2    30.0    27.5    23.1    25.9
 1924    23.1    20.3    20.3    22.4    24.9    28.3    29.9    31.2    29.1    27.8    25.0    22.7    22.5    29.8    27.3    23.5    25.4
 1925    22.4    25.3    23.0    23.9    24.8    30.2    30.7    30.4    31.6    27.2    24.1    22.2    23.9    30.4    27.6    22.2    26.3
 1926    22.5    22.0    18.9    21.5    24.8    27.2    30.4    32.1    30.6    28.8    24.8    21.5    21.7    29.9    28.1    23.0    25.4
 1927    22.1    25.3    22.4    21.9    25.5    26.7    29.8    29.2    30.4    30.1    26.9    23.5    23.3    28.6    29.1    22.8    26.2
 1928    22.8    22.1    21.2    21.9    24.1    28.0    30.5    32.0    29.3    29.6    24.9    23.0    22.4    30.2    27.9    22.6    25.8
 1929    23.2    21.5    23.9    24.0    25.8    28.3    30.1    30.3    30.2    27.9    25.5    23.2    24.6    29.6    27.9    23.8    26.2
 1930    24.3    23.9    21.3    22.3    27.3    29.3    31.5    30.6    32.5    27.5    24.8    21.7    23.6    30.5    28.3    20.9    26.4
 1931    20.7    20.4    20.6    23.0    25.8    27.3    30.3    32.0    31.2    28.3    25.4    23.3    23.1    29.9    28.3    22.5    25.7
 1932    23.1    21.1    20.7    22.7    25.1    28.0    30.5    31.2    29.2    27.8    25.4    24.0    22.8    29.9    27.5    23.0    25.7
 1933    23.5    21.5    21.2    23.1    26.1    28.4    30.5    30.7    30.4    29.0    24.9    22.9    23.5    29.9    28.1    21.3    26.0
 1934    22.0    19.0    22.5    24.0    26.1    28.6    30.2    30.8    30.9    28.3    25.6    22.1    24.2    29.9    28.3    21.2    25.8
 1935    20.7    20.9    21.6    23.0    25.2    28.2    30.3    30.3    30.3    28.1    26.0    21.0    23.3    29.6    28.1    20.6    25.5
