Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Bulgaria             : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -1.3     3.3    10.8    15.4    21.3    26.4    28.5    27.3    22.2    17.4     9.1     7.6    15.8    27.4    16.2     6.8    15.7
 1902     5.7     7.0     8.9    14.3    18.1    25.1    27.3    28.3    23.1    16.9     6.2    -0.2    13.8    26.9    15.4     3.3    15.1
 1903     2.9     7.1    11.4    14.3    21.5    24.3    27.6    27.4    24.2    18.7    11.6     5.4    15.7    26.4    18.2     5.2    16.4
 1904     0.9     9.1     8.5    15.0    21.2    24.9    28.3    27.5    21.6    17.4     7.9     4.8    14.9    26.9    15.6     2.1    15.6
 1905    -0.8     2.4     8.4    14.5    21.5    25.4    29.8    29.9    24.8    15.1    12.7     3.9    14.8    28.4    17.5     3.4    15.6
 1906     1.9     4.5    12.2    16.8    21.5    25.5    28.6    26.8    22.0    15.2    11.3     3.8    16.8    27.0    16.2     1.8    15.9
 1907     0.2     1.2     5.2    13.0    23.7    25.0    27.3    27.4    22.8    20.0     8.2     5.6    14.0    26.6    17.0     3.9    15.0
 1908     1.8     4.4     8.2    14.1    23.2    26.4    27.4    26.8    21.9    15.8     5.2     1.8    15.1    26.9    14.3     0.3    14.8
 1909    -0.7    -0.1     8.9    15.5    20.8    24.8    28.1    28.6    24.7    18.4     9.0     7.3    15.0    27.2    17.4     6.1    15.4
 1910     4.1     6.9    10.4    15.6    20.8    25.0    27.2    27.3    22.6    15.9    10.1     6.5    15.6    26.5    16.2     3.3    16.0
 1911     2.4     1.1     7.6    14.5    21.9    24.9    28.2    27.8    22.9    17.7    12.3     4.2    14.6    27.0    17.6     3.6    15.5
 1912     0.0     6.5    11.5    13.5    19.5    25.7    26.6    25.7    20.6    14.2     8.7     5.0    14.8    26.0    14.5     3.1    14.8
 1913     1.2     3.1    12.5    15.9    19.5    24.3    25.9    25.8    23.5    17.1    10.7     5.0    16.0    25.3    17.1     2.7    15.4
 1914    -0.4     3.5    12.0    16.6    21.0    24.1    27.5    26.5    20.4    14.4     7.0     5.1    16.5    26.0    13.9     5.6    14.8
 1915     6.0     5.6     9.1    15.7    20.8    25.8    28.2    25.5    21.1    16.2     9.0     7.6    15.2    26.5    15.4     5.5    15.9
 1916     4.1     4.8    11.9    15.7    20.4    25.7    28.1    26.5    22.2    17.3    11.0     7.1    16.0    26.8    16.8     4.4    16.2
 1917     4.8     1.4     9.6    16.0    20.5    25.1    27.7    28.8    24.4    18.5    11.7     1.6    15.4    27.2    18.2     3.0    15.8
 1918     4.0     3.2     9.6    14.9    20.1    23.7    27.1    27.3    24.8    19.4     9.0     4.4    14.9    26.1    17.8     4.4    15.6
 1919     4.3     4.3    11.2    16.2    16.8    23.2    26.6    26.2    25.1    17.2    10.4     4.7    14.8    25.3    17.6     3.7    15.5
 1920     4.1     2.3    10.4    17.7    22.3    24.6    29.0    27.6    22.8    13.9     4.9     2.9    16.8    27.1    13.9     3.8    15.2
 1921     5.9     2.7    11.2    14.9    22.3    23.8    27.8    28.5    21.8    16.3     7.9     2.2    16.1    26.7    15.3     1.4    15.4
 1922     0.4     1.7    12.9    14.7    21.1    25.4    28.4    27.6    22.6    16.0     7.2     2.9    16.2    27.1    15.3     3.1    15.1
 1923     2.4     3.9     9.8    14.8    23.4    24.5    28.3    26.9    24.5    19.9    14.9     6.1    16.0    26.6    19.8     2.5    16.6
 1924    -1.6     3.1     7.9    15.1    23.1    26.9    27.5    26.8    25.1    15.8     7.1     2.6    15.4    27.0    16.0     4.8    15.0
 1925     3.0     8.8    10.3    15.7    21.3    22.9    27.8    26.5    22.5    17.3    12.2     2.8    15.8    25.7    17.3     3.6    15.9
 1926     2.5     5.5     8.0    17.3    21.0    24.7    27.2    25.2    22.8    18.8    14.2     4.5    15.4    25.7    18.6     3.2    16.0
 1927     3.8     1.4    12.5    16.1    20.5    26.5    28.9    28.9    25.5    18.2    12.2     1.4    16.4    28.1    18.6     1.7    16.3
 1928     1.7     2.1     6.7    17.1    20.2    24.6    29.8    28.1    24.2    16.4    12.0     3.1    14.7    27.5    17.5     0.9    15.5
 1929    -0.3    -0.0     5.2    13.2    23.5    25.5    28.1    30.4    21.7    18.2    11.9     5.3    14.0    28.0    17.3     4.4    15.2
 1930     3.5     4.3    12.1    16.5    20.4    25.1    28.8    27.8    24.7    17.6    11.6     5.3    16.3    27.2    18.0     4.5    16.5
 1931     3.7     4.4     9.0    13.5    22.5    26.1    29.6    28.5    21.9    17.1     8.4     2.2    15.0    28.1    15.8     0.9    15.6
 1932     1.1    -0.6     6.2    16.3    22.0    25.0    29.5    27.9    26.6    21.6     9.0     5.4    14.8    27.5    19.0     3.4    15.8
 1933     0.5     4.4     8.5    13.0    19.0    22.8    26.2    26.4    21.1    18.3    12.4     0.7    13.5    25.1    17.3     1.9    14.4
 1934     1.8     3.1    13.0    19.2    23.4    25.8    28.6    28.5    23.6    18.4    12.3     5.4    18.5    27.7    18.1     3.3    16.9
 1935     0.5     4.0     7.8    16.1    21.0    26.4    27.6    28.0    24.1    20.8     8.4     6.7    15.0    27.4    17.7     6.7    15.9
 1936     8.0     5.3    12.5    16.7    20.3    23.8    29.1    26.6    22.6    15.8     9.7     3.3    16.5    26.5    16.0     3.2    16.1
 1937     0.3     6.1    14.0    14.6    22.7    26.6    28.9    27.1    25.5    16.5    10.6     6.2    17.1    27.6    17.5     3.9    16.6
 1938     1.7     3.9    11.0    13.6    21.0    26.5    29.7    28.9    22.6    19.0    11.2     3.3    15.2    28.4    17.6     5.0    16.0
 1939     5.8     5.8     8.2    17.5    21.5    24.4    29.1    26.8    22.7    17.8     8.9     4.2    15.7    26.8    16.5     1.6    16.1
 1940    -2.4     2.8     7.6    14.3    18.3    23.6    27.8    24.9    22.8    17.2    12.1    -0.1    13.4    25.5    17.4     3.5    14.1
 1941     2.9     7.6    10.0    16.6    20.0    24.0    27.0    27.0    19.3    16.0     6.0     2.8    15.5    26.0    13.8     0.7    14.9
