Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Cape_Verde_Isl       : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    25.9    26.4    25.1    27.1    25.3    27.9    28.0    29.3    29.8    28.4    25.4    24.6    25.9    28.4    27.9    25.5    26.9
 1902    25.7    26.3    24.2    25.8    25.9    27.8    27.6    29.3    29.6    30.4    28.0    24.4    25.3    28.2    29.3    25.0    27.1
 1903    24.0    26.7    27.5    25.8    26.4    27.1    29.0    29.2    29.7    29.8    29.0    25.0    26.6    28.4    29.5    25.8    27.4
 1904    25.4    26.9    25.1    26.7    25.7    26.3    27.8    28.0    29.1    28.4    28.5    25.1    25.8    27.4    28.7    25.5    26.9
 1905    25.7    25.7    25.6    24.9    25.1    27.7    28.3    28.8    30.7    29.6    27.4    26.4    25.2    28.3    29.2    26.5    27.2
 1906    26.9    26.1    26.7    25.4    26.3    29.0    28.0    28.0    29.7    29.4    28.7    25.7    26.1    28.3    29.2    25.1    27.5
 1907    24.9    24.8    25.0    24.8    24.2    26.0    27.6    28.0    29.1    28.7    25.4    24.2    24.7    27.2    27.7    24.7    26.0
 1908    24.7    25.0    25.5    26.6    26.3    27.5    28.3    28.5    29.7    29.4    28.7    27.7    26.1    28.1    29.2    25.7    27.3
 1909    24.8    24.5    26.4    25.6    26.8    27.6    28.2    28.5    29.2    29.1    27.1    26.8    26.3    28.1    28.4    25.8    27.1
 1910    24.8    25.8    25.1    26.2    26.0    26.6    27.5    28.8    29.6    29.7    30.0    26.2    25.8    27.6    29.8    25.0    27.2
 1911    24.3    24.6    23.8    26.0    26.0    26.8    28.1    29.0    30.0    30.5    28.8    27.4    25.2    28.0    29.8    26.0    27.1
 1912    25.3    25.2    26.3    24.7    25.9    27.2    28.2    28.6    29.7    28.8    28.6    25.3    25.6    28.0    29.0    25.6    27.0
 1913    25.6    25.9    25.7    26.4    25.4    27.6    27.7    29.0    29.7    29.6    29.0    27.5    25.8    28.1    29.4    25.9    27.4
 1914    25.3    24.8    25.6    25.1    26.9    25.9    26.8    28.5    29.4    29.7    27.4    25.8    25.9    27.1    28.9    25.7    26.8
 1915    26.6    24.8    24.5    25.8    26.4    28.7    28.5    28.9    30.1    30.2    28.1    28.0    25.6    28.7    29.5    26.2    27.6
 1916    25.8    24.7    24.4    25.0    25.8    27.4    27.5    28.8    29.4    30.2    28.0    26.8    25.0    27.9    29.2    25.9    27.0
 1917    26.7    24.4    26.0    25.1    25.9    26.5    28.6    28.6    29.1    28.4    26.8    25.3    25.7    27.9    28.1    25.9    26.8
 1918    26.6    25.7    25.2    26.1    27.2    28.7    28.0    28.9    29.4    29.1    27.0    26.0    26.2    28.6    28.5    26.4    27.3
 1919    25.9    27.3    27.7    25.9    26.4    28.7    28.4    29.6    30.1    30.1    30.0    26.4    26.7    28.9    30.1    25.5    28.0
 1920    26.1    24.0    25.1    27.0    26.4    27.3    26.7    28.6    29.0    29.5    27.7    26.5    26.2    27.5    28.7    25.7    27.0
 1921    26.2    24.3    24.5    26.4    25.9    27.3    27.8    29.0    29.7    29.4    27.1    25.5    25.6    28.0    28.7    24.9    26.9
 1922    24.2    24.9    23.9    23.7    25.1    25.4    26.4    28.6    28.8    29.1    28.4    26.4    24.2    26.8    28.8    25.7    26.2
 1923    25.0    25.7    25.0    25.2    25.8    26.3    27.4    28.6    29.9    29.7    28.2    27.4    25.3    27.4    29.3    25.3    27.0
 1924    24.6    23.9    26.0    25.5    26.4    26.8    27.8    28.5    29.4    28.4    28.6    25.8    26.0    27.7    28.8    25.3    26.8
 1925    25.2    25.0    24.9    25.6    26.8    27.0    27.6    28.4    29.1    28.8    28.3    27.6    25.8    27.7    28.7    26.4    27.0
 1926    25.8    26.0    26.1    26.6    25.5    28.1    28.0    29.2    29.4    30.0    28.3    27.1    26.1    28.4    29.2    26.0    27.5
 1927    25.1    25.6    25.3    26.5    27.1    27.4    27.8    28.6    29.3    29.0    29.3    26.8    26.3    27.9    29.2    24.9    27.3
 1928    23.7    24.1    24.6    24.9    26.1    28.1    28.2    28.6    29.5    29.6    27.6    26.4    25.2    28.3    28.9    25.9    26.8
 1929    25.6    25.7    24.1    25.3    25.3    26.9    27.8    28.0    29.1    29.4    27.6    26.2    24.9    27.6    28.7    24.4    26.7
 1930    24.1    23.1    23.6    24.4    25.0    26.3    27.3    28.4    30.0    29.9    29.9    26.1    24.3    27.3    29.9    25.4    26.5
 1931    25.1    24.9    25.3    26.0    25.8    26.2    27.2    29.1    28.9    29.9    28.4    26.8    25.7    27.5    29.1    25.9    27.0
 1932    25.8    25.1    24.7    26.7    26.3    27.6    27.8    28.1    29.5    29.7    28.3    25.7    25.9    27.8    29.2    25.6    27.1
 1933    25.5    25.5    26.4    27.0    26.7    27.1    27.6    28.7    29.5    29.4    27.5    25.1    26.7    27.8    28.8    24.9    27.2
