Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Croatia              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     1.5     2.3    10.1    15.7    20.3    24.3    26.7    25.2    21.3    17.0     8.7     7.8    15.4    25.4    15.7     7.4    15.1
 1902     6.9     7.4    10.3    16.0    15.8    22.0    26.0    25.7    22.2    15.7     8.0     4.0    14.1    24.6    15.3     5.6    15.0
 1903     3.9     8.8    13.0    12.1    20.6    22.7    25.4    26.2    22.5    17.5    10.9     6.6    15.3    24.7    17.0     6.3    15.8
 1904     3.9     8.4    11.2    16.5    21.1    24.7    28.4    26.4    19.7    16.2     9.0     6.4    16.3    26.5    14.9     4.3    16.0
 1905     1.3     5.0    11.3    14.1    19.8    24.0    28.5    27.0    23.4    12.5    11.6     6.6    15.1    26.5    15.8     5.7    15.4
 1906     4.4     6.1    10.5    15.4    20.0    22.4    26.0    25.8    20.0    17.0    12.8     3.9    15.3    24.7    16.6     3.5    15.4
 1907     2.9     3.7     7.9    12.6    22.2    24.3    24.9    26.6    22.7    20.2    10.2     7.2    14.2    25.3    17.7     5.7    15.4
 1908     3.7     6.2     9.3    13.2    23.1    25.6    26.3    24.4    20.4    16.5     6.7     3.9    15.2    25.5    14.5     2.8    14.9
 1909     1.9     2.7     9.4    16.4    19.2    22.6    24.5    25.7    21.6    17.6     8.3     8.5    15.0    24.3    15.8     7.5    14.9
 1910     5.4     8.8    11.2    14.5    19.1    23.6    24.2    24.9    19.3    16.8     9.2     9.2    14.9    24.2    15.1     6.2    15.5
 1911     3.8     5.7    10.5    14.5    19.3    23.0    27.4    27.3    22.9    16.6    13.2     7.7    14.8    25.9    17.6     7.1    16.0
 1912     4.2     9.4    13.0    13.1    19.4    23.7    25.8    23.1    17.1    14.3     6.8     6.9    15.2    24.2    12.7     5.5    14.7
 1913     4.0     5.7    13.1    14.9    19.3    22.9    22.3    23.4    21.1    17.3    11.7     5.8    15.8    22.8    16.7     4.1    15.1
 1914     0.6     5.9    11.2    16.8    18.7    22.0    24.3    25.5    20.2    15.0     9.1     7.8    15.6    24.0    14.7     6.4    14.8
 1915     5.1     6.3     9.2    14.7    21.1    24.8    25.3    23.5    19.7    13.3     8.0     9.4    15.0    24.6    13.7     7.8    15.0
 1916     7.2     6.8    12.8    15.3    20.8    22.6    25.7    24.9    19.5    15.7    11.9     8.7    16.3    24.4    15.7     5.2    16.0
 1917     4.2     2.5     8.3    12.2    21.7    26.1    26.4    26.9    23.8    16.2     9.6     3.7    14.1    26.5    16.5     5.2    15.1
 1918     6.0     6.0    11.0    15.9    20.6    21.0    25.0    24.6    22.8    15.1     8.8     6.7    15.8    23.5    15.6     6.4    15.3
 1919     6.6     5.8    11.0    12.9    17.0    23.0    23.0    26.0    23.3    13.8     8.5     6.1    13.6    24.0    15.2     7.4    14.7
 1920     7.5     8.6    13.3    17.1    22.6    22.0    26.9    23.7    21.8    14.4     7.5     6.0    17.7    24.2    14.6     6.8    16.0
 1921     8.1     6.2    12.8    14.0    21.8    22.5    27.8    27.1    22.4    18.1     7.8     4.9    16.2    25.8    16.1     4.3    16.1
 1922     3.3     4.5    12.3    14.0    21.0    24.3    26.3    26.8    19.7    13.5     7.8     6.2    15.8    25.8    13.6     5.8    15.0
 1923     5.0     6.3    11.0    14.4    21.8    20.0    27.2    26.8    21.6    18.8    11.7     5.2    15.7    24.7    17.4     4.1    15.8
 1924     2.9     4.1     9.4    14.5    21.8    23.5    25.7    22.9    22.8    16.4     9.2     5.7    15.3    24.0    16.1     7.0    14.9
 1925     5.7     9.6     8.6    15.4    20.7    22.7    25.6    25.2    19.7    16.5     9.6     3.8    14.9    24.5    15.3     6.1    15.2
 1926     4.4    10.0    10.0    16.9    18.6    21.3    23.9    24.6    23.1    17.5    15.8     5.2    15.2    23.3    18.8     5.6    15.9
 1927     5.8     5.9    12.9    15.0    20.0    25.5    27.6    26.5    22.8    16.4    11.4     4.0    16.0    26.5    16.9     5.3    16.1
 1928     5.1     6.9     9.5    16.0    17.6    23.5    29.5    27.8    22.0    16.9    11.7     4.4    14.4    26.9    16.9     2.4    15.9
 1929     0.9     1.9     9.1    12.6    21.0    23.8    27.5    26.7    23.2    17.5    11.8     7.8    14.2    26.0    17.5     6.6    15.3
 1930     5.9     6.2    12.5    15.8    19.2    26.0    25.8    25.2    22.9    16.0    12.9     5.9    15.8    25.7    17.2     5.7    16.2
 1931     5.2     6.1     8.3    13.5    22.6    26.1    27.7    25.3    17.6    16.0    10.4     4.2    14.8    26.4    14.7     3.8    15.3
 1932     5.0     2.2     6.9    14.2    20.4    22.8    27.2    28.7    25.6    17.2    10.9     6.8    13.9    26.2    17.9     5.2    15.6
 1933     2.8     5.9    11.4    13.8    17.8    20.8    26.6    26.2    21.6    16.6     9.8     1.9    14.3    24.5    16.0     4.4    14.6
 1934     4.4     7.0    12.7    18.4    21.9    23.2    27.1    25.1    23.3    16.4    11.6     9.3    17.7    25.1    17.1     5.8    16.7
 1935     2.0     6.2     9.4    14.3    18.6    26.3    27.2    25.4    22.2    17.7    11.0     6.0    14.1    26.3    17.0     7.4    15.5
 1936     8.9     7.4    13.2    15.5    19.9    22.9    26.7    25.0    21.5    11.8     9.8     5.8    16.2    24.9    14.3     5.8    15.7
 1937     3.8     8.0    11.4    14.0    21.9    25.1    26.1    24.8    21.4    16.6     9.7     4.9    15.8    25.4    15.9     5.0    15.6
 1938     4.1     6.0    13.4    11.5    18.6    25.8    26.6    24.9    21.4    17.4    12.3     4.4    14.5    25.8    17.0     6.7    15.5
 1939     7.1     8.5     7.4    17.8    17.3    23.9    27.0    26.6    21.0    14.8    11.3     4.2    14.2    25.9    15.7     2.7    15.6
 1940    -0.1     3.9     9.2    15.1    18.3    23.3    25.2    23.2    21.7    15.7    12.7     1.3    14.2    23.9    16.7     3.7    14.1
 1941     2.9     7.0    11.2    13.8    17.1    24.4    26.2    25.2    20.2    14.8     7.5     5.3    14.1    25.3    14.2     2.2    14.6
 1942    -1.7     3.0     9.5    13.8    21.0    24.2    25.9    26.9    25.9    19.2     9.3     7.8    14.8    25.6    18.1     6.5    15.4
 1943     2.5     9.3    12.8    17.0    20.2    22.2    26.7    29.1    24.0    18.2     9.0     6.6    16.7    26.0    17.1     5.9    16.5
 1944     6.6     4.6     6.4    15.9    19.4    22.4    25.7    28.4    21.4    16.3     9.6     4.7    13.9    25.5    15.8     4.5    15.1
