Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ecuador              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1902    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1903    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1904    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1905    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1906    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1907    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1908    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.4    28.1
 1909    28.4    28.4    28.5    28.4    28.0    27.3    27.1    27.8    28.2    28.3    28.4    28.5    28.3    27.4    28.3    28.5    28.1
 1910    28.5    28.5    28.6    27.8    27.4    26.4    26.4    27.0    27.2    27.4    27.8    27.8    28.0    26.6    27.5    28.1    27.6
 1911    28.3    28.2    28.0    27.8    27.4    27.1    26.9    27.6    27.7    28.0    28.5    28.7    27.7    27.2    28.0    29.0    27.8
 1912    29.0    29.1    29.3    29.0    27.7    26.7    26.6    27.2    28.0    28.2    28.0    28.4    28.7    26.8    28.1    28.5    28.1
 1913    28.8    28.3    28.8    28.4    27.8    26.9    27.1    27.9    28.2    28.9    29.1    28.7    28.3    27.3    28.7    28.8    28.3
 1914    29.0    28.8    28.7    28.4    27.6    26.8    26.8    27.8    28.0    28.3    28.3    28.8    28.2    27.1    28.2    29.1    28.1
 1915    29.0    29.4    28.9    28.8    28.2    27.2    27.4    28.1    27.9    28.1    28.1    28.7    28.6    27.6    28.0    28.7    28.3
 1916    28.6    28.8    28.7    29.1    28.1    26.4    26.2    26.9    28.1    27.6    27.6    28.6    28.6    26.5    27.8    28.7    27.9
 1917    28.7    28.8    29.0    29.0    28.4    27.6    26.9    27.4    27.7    27.7    28.5    28.0    28.8    27.3    28.0    28.2    28.1
 1918    28.5    28.1    28.3    28.2    26.2    28.3    27.9    29.0    28.2    28.0    28.0    28.3    27.6    28.4    28.1    28.7    28.1
 1919    28.8    28.9    28.5    28.7    28.5    26.6    26.5    27.3    27.9    27.8    28.2    28.1    28.6    26.8    27.9    28.3    28.0
