Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Estonia              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -0.9    -4.1     0.9     8.1    15.8    21.4    25.1    22.7    16.9    12.6     1.5    -2.8     8.2    23.1    10.3    -2.2     9.8
 1902    -1.8    -1.9     0.4     4.3    11.7    16.6    17.8    17.1    13.2     6.7     1.2    -3.8     5.5    17.2     7.0    -1.7     6.8
 1903    -3.0     1.9     5.0     8.1    15.0    20.2    20.4    17.8    16.1     4.8     3.7     0.1     9.4    19.4     8.2    -1.4     9.2
 1904    -0.5    -3.9     0.7     8.1    11.4    16.6    18.1    18.1    14.9     9.3     1.6    -0.9     6.7    17.6     8.6    -1.6     7.8
 1905    -3.4    -0.4     2.0     6.3    15.1    21.2    20.6    19.4    13.8     6.7     3.0     0.3     7.8    20.4     7.8    -0.2     8.7
 1906    -0.5    -0.2     0.5    10.2    19.4    19.5    22.0    18.1    13.3     8.4     4.3    -1.1    10.0    19.9     8.7    -3.0     9.5
 1907    -5.3    -2.7     2.1     6.6    12.0    18.3    20.3    16.7    14.4    12.6     3.0    -6.8     6.9    18.4    10.0    -3.4     7.6
 1908    -2.1    -1.4     0.6     7.5    12.8    18.2    20.7    19.3    13.0     8.7     0.8    -0.8     7.0    19.4     7.5    -2.4     8.1
 1909    -1.1    -5.5    -0.5     4.6    10.5    18.6    19.6    18.8    16.2    12.4     0.8     0.3     4.9    19.0     9.8     0.1     7.9
 1910    -0.6     0.6     3.0    10.2    16.6    20.0    21.1    18.3    16.5     8.5     1.8     1.3     9.9    19.8     8.9    -1.2     9.8
 1911    -0.8    -3.9     2.0     7.1    16.2    17.7    19.7    21.9    14.7     8.8     5.1     0.4     8.4    19.8     9.5    -3.3     9.1
 1912    -5.3    -5.1     2.2     6.3    12.7    19.7    22.2    21.3    12.3     5.4     2.3     1.7     7.1    21.1     6.7    -0.7     8.0
 1913    -3.6    -0.3     3.3    10.2    13.9    17.8    22.0    21.2    15.9     8.7     5.7    -0.9     9.1    20.3    10.1    -0.8     9.5
 1914    -2.7     1.1     1.1     8.9    15.3    20.5    26.2    18.1    14.6     6.5     2.5     2.5     8.4    21.6     7.8    -1.6     9.5
 1915    -4.5    -2.7    -3.2     7.3    13.1    16.6    21.5    18.7    13.0     6.0     0.5    -6.6     5.7    18.9     6.5    -3.4     6.6
 1916    -2.0    -1.5    -0.8     8.8    13.1    17.3    21.8    16.6    12.9     6.2     4.4    -1.5     7.0    18.6     7.8    -4.3     7.9
 1917    -5.3    -6.1    -4.0     5.6    12.5    22.0    19.7    22.9    14.5     9.8     3.3    -0.9     4.7    21.6     9.2    -2.4     7.8
 1918    -4.4    -1.9     1.8     9.9    14.0    15.9    21.3    18.1    14.1    10.7     4.5    -1.0     8.6    18.4     9.8    -2.0     8.6
 1919    -1.9    -3.0    -0.6     7.0    15.4    18.7    22.6    17.9    16.5     8.1    -1.8    -3.2     7.3    19.7     7.6    -2.3     8.0
 1920    -4.3     0.5     4.9    10.4    17.1    18.1    22.6    19.5    16.1     7.6     4.3    -0.3    10.8    20.1     9.3    -1.6     9.7
 1921    -1.8    -2.6     5.2    12.4    18.5    19.0    18.9    20.1    14.2     8.8    -0.6    -1.1    12.1    19.3     7.4    -3.4     9.3
 1922    -5.4    -3.6     0.3     7.1    14.4    18.6    20.1    18.6    14.9     6.2     2.3    -0.7     7.2    19.1     7.8    -2.9     7.7
 1923    -0.4    -7.4     0.8     5.6    12.8    14.6    20.6    17.2    14.9     9.6     3.9    -2.2     6.4    17.5     9.5    -4.1     7.5
 1924    -5.1    -5.1    -0.7     4.6    14.3    17.8    20.8    21.1    16.5    10.7     4.3     2.3     6.1    19.9    10.5     1.9     8.5
 1925     1.8     1.5    -0.2    10.1    16.2    17.5    24.0    19.0    14.3     6.6    -0.2    -3.4     8.7    20.2     6.9    -4.6     8.9
 1926    -6.3    -4.2     0.8     6.7    14.0    19.4    22.2    19.3    14.6     5.7     4.7    -2.5     7.2    20.3     8.4    -2.7     7.9
 1927    -3.6    -2.1     2.2     5.8    10.7    17.0    24.8    21.8    15.1     7.3     0.2    -4.0     6.3    21.2     7.5    -2.9     7.9
 1928    -2.3    -2.4     1.1     7.3    13.6    14.5    17.6    17.4    14.2     8.2     5.3    -0.8     7.4    16.5     9.2    -5.2     7.8
 1929    -4.8   -10.0     0.8     3.5    15.8    17.0    19.7    19.2    14.9    10.2     5.2     3.2     6.7    18.6    10.1     1.1     7.9
 1930     1.9    -1.6     2.6    10.2    16.3    19.8    21.8    19.9    12.7     9.3     4.1    -1.7     9.7    20.5     8.7    -3.7     9.6
 1931    -4.3    -5.2    -1.2     5.9    16.5    15.9    21.7    19.8    12.0     7.7     3.1    -0.9     7.1    19.1     7.6    -1.2     7.6
 1932     0.9    -3.5    -1.5     7.3    15.4    17.0    24.5    20.8    15.7     7.9     3.6     3.4     7.1    20.8     9.1    -1.3     9.3
 1933    -4.0    -3.2     1.9     7.0    12.6    20.1    22.4    18.8    14.9     8.9     1.2    -2.1     7.2    20.4     8.3    -0.6     8.2
 1934     0.1     0.4     1.4     9.8    16.9    19.2    21.6    21.7    19.1    11.3     5.8     0.1     9.4    20.9    12.1    -0.9    10.6
 1935    -2.8     0.0     2.4     8.2    12.2    19.9    19.3    18.7    14.1     9.9     3.9     0.8     7.6    19.3     9.3    -2.1     8.9
 1936    -1.2    -5.8     2.4     8.1    15.5    23.0    23.6    20.6    14.8     5.7     4.4     2.9     8.7    22.4     8.3    -1.6     9.5
 1937    -4.6    -3.1     0.7    11.3    17.8    21.7    21.6    22.8    16.6    10.1     4.1    -5.2    10.0    22.0    10.3    -2.4     9.5
 1938    -2.3     0.5     4.2     7.4    13.9    18.0    23.5    23.7    18.5    10.3     6.7    -3.0     8.5    21.7    11.8    -1.4    10.1
 1939    -3.1     1.8     1.2     7.2    14.2    20.0    22.6    25.1    14.6     5.2     3.6    -2.4     7.5    22.6     7.8    -7.3     9.2
 1940    -9.2   -10.2    -3.6     5.9    17.1    20.0    22.7    19.0    13.6     8.0     4.3    -2.0     6.5    20.6     8.7    -5.6     7.1
 1941    -9.0    -5.6    -1.1     4.9    12.2    17.4    24.9    20.0    13.1     5.3    -0.9    -5.3     5.3    20.8     5.8    -8.7     6.3
 1942   -12.3    -8.5    -4.3     6.7    12.8    16.8    19.2    20.5    15.2     9.7     1.8    -0.5     5.1    18.8     8.9    -1.7     6.4
 1943    -5.9     1.3     4.4     8.6    14.7    19.6    20.1    18.8    15.4    10.8     4.0     2.0     9.2    19.5    10.1     0.0     9.5
 1944    -0.4    -1.5     0.7     6.2    12.8    17.0    22.8    21.7    15.5     9.9     3.2     0.5     6.6    20.5     9.5    -1.4     9.0
 1945    -3.4    -1.4     0.7     7.5    13.0    17.5    22.7    20.9    13.0     6.9     2.3    -4.0     7.1    20.3     7.4    -3.6     8.0
 1946    -2.6    -4.2     0.0     8.5    14.5    18.7    22.4    19.7    15.4     6.3     1.6    -1.3     7.7    20.3     7.8    -5.6     8.2
 1947    -5.8    -9.8    -2.7     7.0    15.5    20.8    21.8    20.8    16.8     7.9     1.7    -1.1     6.6    21.1     8.8    -3.1     7.8
 1948    -3.7    -4.4     2.1     9.3    17.0    19.5    21.2    19.3    15.3     8.4     3.5     2.0     9.5    20.0     9.0     1.0     9.1
 1949     0.5     0.6     1.4     8.4    17.2    17.2    20.9    18.8    18.7    10.3     4.2     1.7     9.0    19.0    11.1    -2.7    10.0
 1950    -8.2    -1.7     1.6    10.3    15.0    18.4    19.5    20.9    15.4     8.6     2.8    -0.0     8.9    19.6     8.9    -2.5     8.5
 1951    -4.3    -3.3    -1.3     8.6    11.8    18.6    19.8    23.3    17.0     9.8     2.4     2.5     6.3    20.6     9.7     0.2     8.7
 1952    -0.0    -2.0    -3.4     9.2    12.3    17.9    20.4    18.7    12.6     6.0     0.8    -0.3     6.0    19.0     6.5    -2.8     7.7
 1953    -2.5    -5.5     2.6    10.3    14.4    21.4    21.2    19.3    14.3    10.3     3.8    -0.6     9.1    20.6     9.5    -4.0     9.1
 1954    -4.0    -7.4     1.6     5.5    16.6    18.8    20.7    19.2    15.2     8.7     2.3     1.2     7.9    19.6     8.7    -1.5     8.2
 1955    -1.7    -4.1    -1.1     3.0    10.7    16.5    22.2    23.5    17.4     9.6     2.7    -5.0     4.2    20.7     9.9    -6.0     7.8
 1956    -4.1    -9.0     1.1     4.1    13.6    20.9    19.4    16.9    13.7     8.0    -0.4    -0.2     6.3    19.1     7.1     0.0     7.0
 1957     0.0     0.3    -1.1     6.8    13.6    17.1    21.9    19.2    13.3     9.1     4.2     0.7     6.4    19.4     8.9    -2.7     8.8
