Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Finland              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -2.1    -8.8    -0.9     5.3    12.2    19.9    23.6    19.6    14.1     9.1    -3.5    -8.4     5.5    21.1     6.6    -7.7     6.7
 1902    -8.8    -5.8    -4.3     1.4     9.1    14.4    16.7    15.7    10.3     2.2    -2.1    -4.4     2.1    15.6     3.5    -4.4     3.7
 1903    -6.7    -2.1     2.6     5.1    11.9    17.7    18.1    16.6    12.5     0.9    -0.2    -2.1     6.5    17.5     4.4    -4.5     6.2
 1904    -2.2    -9.3    -1.5     6.0     9.4    16.1    17.4    16.2    12.3     6.4    -3.6    -7.4     4.7    16.6     5.1    -6.2     5.0
 1905    -6.7    -4.3    -0.3     3.5    12.7    19.1    19.6    16.9    10.9     2.5    -0.8    -2.3     5.3    18.5     4.2    -3.0     5.9
 1906    -3.1    -3.6    -3.5     7.3    14.8    18.3    21.4    15.7    10.8     5.0    -0.5    -3.6     6.2    18.5     5.1    -5.7     6.6
 1907    -9.8    -3.7     1.7     5.3     9.0    18.2    19.5    15.3    11.1     7.9     1.3    -9.1     5.3    17.7     6.8    -6.8     5.6
 1908    -6.0    -5.4    -1.4     5.0    10.8    16.7    20.1    18.1    11.1     6.7    -3.2    -1.7     4.8    18.3     4.9    -3.1     5.9
 1909    -1.0    -6.7    -2.4     1.4     8.6    17.6    20.5    17.4    13.5     9.0    -3.9    -4.1     2.5    18.5     6.2    -3.3     5.8
 1910    -4.8    -1.0     0.2     5.7    12.8    17.2    19.1    16.6    12.8     4.4    -1.5    -3.3     6.2    17.6     5.2    -4.8     6.5
 1911    -4.0    -7.2     0.5     3.8    13.3    16.2    18.5    19.9    12.3     4.0     0.9    -1.0     5.9    18.2     5.7    -7.1     6.4
 1912    -9.4   -11.0    -0.8     3.0    10.2    18.2    20.8    19.0    10.2     2.1    -1.5    -2.8     4.1    19.3     3.6    -4.5     4.8
 1913    -6.8    -3.7     1.0     6.0    11.1    16.5    22.2    19.0    12.4     3.6     1.2    -6.2     6.0    19.2     5.7    -5.5     6.3
 1914    -6.9    -3.5    -1.4     5.4    11.5    18.6    23.3    16.0    11.8     4.0    -0.6    -1.0     5.2    19.3     5.1    -5.4     6.5
 1915    -9.1    -6.2    -5.3     4.7     9.5    14.3    21.3    16.4    10.0     3.5    -4.8   -13.9     3.0    17.4     2.9    -7.6     3.4
