Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Montenegro           : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -1.4     0.2     8.5    13.0    17.6    22.0    25.1    23.3    20.2    15.2     6.7     6.6    13.0    23.5    14.0     5.5    13.1
 1902     4.0     5.9     7.3    12.8    13.2    20.2    24.5    25.0    21.2    14.1     5.5     0.6    11.1    23.3    13.6     2.7    12.9
 1903     2.6     4.8     9.8     9.2    18.0    20.3    23.5    24.7    21.4    15.3     8.3     5.0    12.3    22.8    15.0     4.0    13.6
 1904     0.6     6.4     7.9    13.1    18.1    21.6    25.7    24.7    18.3    14.0     5.5     3.7    13.1    24.0    12.6     0.9    13.3
 1905    -1.9     1.0     7.7    10.9    17.9    21.1    26.6    26.5    22.0     9.8    10.9     4.0    12.2    24.7    14.2     3.0    13.0
 1906     1.8     3.3     7.9    12.5    17.3    19.7    24.4    24.1    18.1    14.2    10.5     2.0    12.6    22.7    14.3     0.5    13.0
 1907    -0.1    -0.3     3.3     9.4    20.6    22.0    23.5    25.4    21.4    18.6     7.6     5.7    11.1    23.6    15.9     3.1    13.1
 1908     0.7     2.8     7.2    10.6    20.6    23.0    24.4    23.5    19.3    13.3     3.6     1.2    12.8    23.6    12.1    -0.1    12.5
 1909    -0.5    -1.1     7.3    13.0    16.2    20.1    22.4    24.0    19.7    14.4     5.7     6.9    12.2    22.2    13.3     5.6    12.4
 1910     3.5     6.4     7.4    11.5    16.2    20.9    22.1    23.2    17.4    14.0     7.2     6.8    11.7    22.1    12.9     3.3    13.1
 1911     2.0     1.1     7.0    10.9    16.5    20.6    25.1    25.6    20.7    14.6    10.8     4.9    11.5    23.8    15.4     3.9    13.3
 1912     0.4     6.4     9.7     9.3    15.7    21.3    23.9    21.9    16.1    11.6     5.0     4.5    11.6    22.4    10.9     2.7    12.1
 1913     1.2     2.3    10.0    11.9    16.0    20.3    20.4    21.6    19.8    14.4     9.0     3.8    12.6    20.7    14.4     1.0    12.5
 1914    -2.1     1.2     8.0    13.8    16.3    19.8    22.6    23.9    18.2    12.3     6.1     5.2    12.7    22.1    12.2     4.3    12.1
 1915     3.7     4.1     5.6    11.2    18.1    22.5    23.3    22.0    17.4    12.3     5.8     7.4    11.6    22.6    11.9     5.0    12.8
 1916     4.5     3.1    10.1    11.7    17.4    21.0    23.7    22.9    17.4    13.1     9.2     7.1    13.1    22.5    13.2     2.9    13.4
 1917     2.6    -1.0     5.1     9.6    18.3    23.3    24.1    25.7    21.8    14.5     7.6     1.1    11.0    24.4    14.6     1.6    12.7
 1918     3.0     0.9     7.0    12.5    17.3    19.5    22.9    23.5    21.2    13.1     6.2     3.6    12.3    22.0    13.5     3.7    12.6
 1919     4.2     3.2     7.8    10.2    13.4    20.2    21.4    23.9    21.8    11.6     6.6     3.4    10.4    21.8    13.4     3.8    12.3
 1920     4.4     3.6     9.2    14.4    19.2    19.5    24.7    22.5    19.5    11.5     4.0     3.9    14.3    22.2    11.7     4.1    13.0
 1921     5.5     2.8     9.6    10.9    18.7    19.5    25.0    25.4    19.6    14.6     5.1     2.4    13.0    23.3    13.1     1.2    13.3
 1922     0.7     0.4     9.1    11.2    17.6    21.6    24.5    25.0    18.0    12.3     4.5     2.5    12.7    23.7    11.6     2.6    12.3
 1923     2.2     3.0     7.4    11.3    19.3    18.1    24.9    25.3    20.7    16.5    10.6     3.2    12.7    22.7    15.9     1.1    13.5
 1924    -1.1     1.2     6.1    11.2    18.9    21.2    23.4    21.9    21.0    14.2     5.4     2.1    12.1    22.2    13.5     3.9    12.1
 1925     2.1     7.5     5.9    12.5    17.4    19.3    23.4    23.1    18.0    13.6     8.1     1.2    11.9    21.9    13.2     3.4    12.7
 1926     2.6     6.5     6.1    13.9    15.6    18.9    21.3    21.8    20.8    15.5    13.7     2.8    11.9    20.7    16.6     2.8    13.3
 1927     3.3     2.2     9.9    11.6    16.6    23.1    25.5    25.1    21.1    13.7     9.2     0.7    12.7    24.5    14.7     1.9    13.5
 1928     2.0     2.9     5.9    12.6    14.0    20.7    27.4    25.8    20.6    13.8     9.6     2.0    10.8    24.6    14.7    -0.3    13.1
 1929    -1.4    -1.5     4.1     8.7    17.8    20.5    24.5    25.0    20.2    15.2     9.6     5.0    10.2    23.3    15.0     3.8    12.3
