Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Romania              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -3.5     1.0     9.2    14.8    21.1    26.0    26.7    25.5    20.4    15.9     7.1     5.6    15.0    26.0    14.5     4.7    14.1
 1902     4.0     4.6     7.7    13.4    17.4    24.1    25.1    26.3    21.3    15.0     3.8    -2.9    12.8    25.2    13.3     1.2    13.3
 1903     0.8     5.6    10.3    13.7    21.0    23.3    25.8    25.5    22.6    16.8     9.7     2.9    15.0    24.8    16.3     2.6    14.8
 1904    -1.7     6.6     6.9    14.8    20.3    23.7    26.3    25.7    19.6    15.7     5.8     3.0    14.0    25.2    13.7     0.4    13.9
 1905    -2.8     1.0     7.1    13.5    21.1    24.7    27.9    28.1    22.8    13.1    10.4     1.7    13.9    26.9    15.4     1.5    14.0
 1906     0.1     2.9    10.5    16.6    21.4    24.6    26.6    25.0    20.0    13.6     9.7     1.4    16.2    25.4    14.4    -0.5    14.4
 1907    -1.9    -1.1     3.7    11.5    23.7    24.7    25.1    25.6    21.5    18.5     6.0     3.8    13.0    25.1    15.3     2.5    13.4
 1908     0.6     2.9     7.4    13.5    22.6    25.2    25.5    24.6    20.1    14.0     2.8    -0.2    14.5    25.1    12.3    -1.8    13.3
 1909    -2.9    -2.3     7.2    14.5    19.8    23.4    25.9    26.9    23.0    17.0     6.9     5.0    13.9    25.4    15.6     4.2    13.7
 1910     2.2     5.4     9.4    15.1    20.6    24.1    25.1    25.4    20.9    14.2     8.0     4.3    15.0    24.9    14.4     1.4    14.6
 1911     0.8    -0.8     6.6    14.2    21.6    23.5    26.1    26.0    21.0    16.0    10.6     2.5    14.1    25.2    15.9     1.4    14.0
 1912    -2.6     4.4    10.3    12.6    18.7    24.8    24.9    24.0    18.0    12.0     6.1     3.5    13.9    24.5    12.0     1.5    13.1
 1913    -0.8     1.7    11.8    15.9    19.0    22.9    23.5    23.9    21.6    15.4     9.1     3.8    15.6    23.4    15.4     1.0    14.0
 1914    -2.7     1.8    10.5    16.5    20.5    23.3    25.6    24.5    18.6    13.0     4.8     3.2    15.9    24.5    12.1     3.5    13.3
 1915     3.6     3.5     6.8    15.1    20.8    25.1    26.2    23.2    18.8    14.1     6.4     6.0    14.2    24.8    13.1     3.9    14.1
 1916     2.9     2.8    10.6    15.2    19.7    24.0    25.6    24.7    20.2    15.2     8.9     5.0    15.2    24.8    14.8     1.8    14.6
 1917     2.1    -1.8     7.0    15.1    20.2    24.8    25.7    27.1    22.7    16.8     9.6    -0.2    14.1    25.9    16.4     1.4    14.1
 1918     2.8     1.8     8.6    15.9    19.5    22.3    25.2    25.3    23.1    17.5     6.4     2.3    14.6    24.3    15.7     2.2    14.2
 1919     2.0     2.2     9.4    15.2    16.0    22.2    24.6    24.5    23.8    14.6     7.1     2.5    13.5    23.8    15.2     1.8    13.7
 1920     2.1     0.7     9.5    18.5    22.3    22.8    27.5    25.4    21.1    11.7     3.1     1.3    16.8    25.2    12.0     2.3    13.8
 1921     4.9     0.8    11.2    15.1    22.0    22.7    26.0    26.7    20.1    15.1     5.1     0.3    16.1    25.1    13.4    -0.8    14.2
 1922    -2.3    -0.5    11.0    13.6    20.6    24.2    26.6    25.7    19.8    13.1     5.0     0.8    15.1    25.5    12.6     1.0    13.1
 1923     1.0     1.3     8.4    13.9    23.2    22.6    26.2    24.9    22.8    18.6    12.7     3.2    15.2    24.5    18.0    -0.1    14.9
 1924    -4.2     0.7     6.3    13.6    23.2    25.7    25.3    25.0    23.8    15.4     4.9     0.8    14.4    25.3    14.7     3.5    13.4
 1925     2.2     7.5     8.9    15.7    21.4    21.6    26.0    24.5    20.1    15.2     9.8     0.3    15.3    24.0    15.0     1.6    14.4
 1926     0.6     3.8     6.8    16.8    20.2    23.1    25.2    23.4    21.3    17.0    13.1     2.4    14.6    23.9    17.1     1.2    14.5
