Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = USA                  : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.6     1.6     8.4    13.3    20.2    24.9    29.0    27.2    22.0    17.4     8.9     3.3    14.0    27.0    16.1     2.9    14.9
 1902     2.2     3.2     7.8    13.9    20.7    25.0    27.2    26.5    21.7    16.7     8.8     1.2    14.1    26.2    15.7     1.5    14.6
 1903     1.6     1.7     8.7    13.5    19.4    23.7    26.8    26.2    21.9    16.3     7.7     3.4    13.9    25.6    15.3     2.2    14.2
 1904     0.6     2.5     8.1    13.5    20.2    24.3    26.9    25.9    22.6    16.3     9.9     3.5    13.9    25.7    16.3     1.9    14.5
 1905     0.7     1.6    10.6    14.3    19.4    24.6    26.6    26.9    22.6    14.9     9.7     2.5    14.8    26.0    15.7     3.0    14.5
 1906     1.9     4.7     6.0    15.2    19.4    24.4    26.9    26.5    23.6    15.9     7.9     3.5    13.6    25.9    15.8     3.2    14.7
 1907     2.3     3.7    10.1    12.5    18.0    23.6    27.0    26.2    22.4    15.9     8.1     4.3    13.6    25.6    15.5     3.8    14.5
 1908     3.2     4.0     9.5    14.9    19.1    24.2    27.4    25.9    22.8    15.0     9.4     4.3    14.5    25.8    15.7     3.4    15.0
 1909     1.7     4.2     7.2    13.0    18.9    24.8    27.1    27.2    22.2    15.9     9.6    -0.6    13.0    26.4    15.9     0.8    14.3
 1910     1.1     1.8    12.6    15.5    19.6    24.8    27.9    26.4    23.3    17.3     8.4     2.5    15.9    26.4    16.3     3.1    15.1
 1911     2.6     4.2     9.4    13.2    20.6    26.1    27.4    26.3    23.3    15.9     6.6     2.9    14.4    26.6    15.2     2.2    14.9
 1912     0.2     3.6     6.2    14.4    20.5    23.9    26.8    25.4    21.6    16.0     9.6     3.6    13.7    25.4    15.7     2.7    14.3
 1913     1.4     3.0     7.7    14.6    20.1    25.3    27.6    27.4    21.9    14.8     9.9     3.4    14.2    26.8    15.5     3.3    14.8
 1914     3.7     2.8     8.2    14.0    20.6    25.4    28.0    26.7    22.3    17.2    10.2     1.6    14.2    26.7    16.6     2.6    15.1
 1915     1.9     4.4     6.8    16.6    19.1    24.1    26.6    25.8    22.3    16.9     9.5     3.5    14.2    25.5    16.2     2.8    14.8
 1916     1.1     3.7     8.4    14.2    19.5    23.8    28.0    26.7    22.4    15.8     8.3     1.2    14.0    26.2    15.5     1.7    14.4
 1917     0.6     3.3     7.5    13.1    17.4    24.3    27.9    26.6    22.3    15.1     9.1     1.0    12.7    26.3    15.5     1.5    14.0
 1918    -0.8     4.3    10.1    12.9    20.2    26.2    27.5    27.0    21.7    16.7     7.3     3.7    14.4    26.9    15.2     3.2    14.7
 1919     2.6     3.3     8.0    14.3    19.8    25.0    28.1    27.0    23.1    14.9     7.1     1.6    14.0    26.7    15.0     2.3    14.5
 1920     0.7     4.5     7.6    11.3    19.0    24.3    27.2    25.8    22.7    16.2     7.3     3.2    12.6    25.7    15.4     3.9    14.1
 1921     3.2     5.3    11.1    14.3    19.6    25.7    28.1    26.9    23.3    17.3     9.4     4.8    15.0    26.9    16.7     3.0    15.8
 1922     0.9     3.2     7.5    13.6    20.0    25.6    27.1    27.0    24.1    17.4     8.3     3.7    13.7    26.6    16.6     3.5    14.9
 1923     3.8     2.9     7.2    13.7    19.7    24.6    28.0    26.9    22.6    15.3     9.7     4.2    13.5    26.5    15.9     3.1    14.9
 1924     0.8     4.5     6.7    13.0    19.1    25.1    26.8    26.9    21.7    16.6     9.9     1.0    12.9    26.3    16.1     2.5    14.3
 1925     0.7     5.7    10.3    16.1    20.4    25.5    28.0    26.9    23.3    14.0     8.5     3.1    15.6    26.8    15.3     4.1    15.2
 1926     3.3     5.8     8.5    14.6    20.8    25.4    27.9    27.0    22.3    17.0     8.7     2.3    14.6    26.8    16.0     3.7    15.3
 1927     3.0     5.9     8.1    13.6    19.4    24.2    27.5    25.5    22.4    17.3     8.9     1.4    13.7    25.7    16.2     3.4    14.8
 1928     3.7     5.1     8.6    13.0    20.8    23.5    27.4    26.5    22.1    16.6     8.8     4.2    14.2    25.8    15.8     2.5    15.0
 1929     1.4     1.8     8.8    14.1    19.4    24.7    27.7    27.3    22.4    16.4     7.7     4.1    14.1    26.6    15.5     3.4    14.6
 1930    -0.1     6.2     7.7    16.1    19.4    25.2    28.7    27.4    23.1    15.0     8.2     3.3    14.4    27.1    15.4     4.6    15.0
 1931     4.1     6.4     7.5    14.7    19.8    26.2    28.8    26.9    24.1    17.4     9.7     4.2    14.0    27.3    17.1     3.6    15.8
 1932     1.9     4.7     6.9    14.9    20.1    25.1    28.0    26.9    22.9    15.7     7.8     2.0    14.0    26.7    15.5     2.6    14.7
 1933     3.2     2.5     8.6    14.0    19.6    26.6    28.6    26.7    23.8    16.8     9.5     4.3    14.1    27.3    16.7     4.3    15.4
 1934     3.2     5.4     9.8    16.0    22.5    26.2    29.2    27.5    22.5    18.0    10.2     3.7    16.1    27.6    16.9     4.0    16.2
 1935     2.7     5.6     9.6    13.3    18.0    24.5    28.5    27.1    22.9    16.4     7.3     1.9    13.6    26.7    15.5     1.2    14.8
 1936     0.9     0.6     9.5    14.4    21.8    26.7    29.5    28.5    23.4    16.3     8.5     3.7    15.2    28.2    16.1     2.6    15.3
 1937     1.3     2.8     6.9    13.6    20.8    25.2    28.4    28.1    23.5    16.6     8.7     3.1    13.8    27.2    16.3     3.4    14.9
 1938     2.4     4.6    10.1    15.1    19.7    25.0    27.7    27.8    23.8    18.5     8.7     4.5    15.0    26.8    17.0     3.5    15.6
 1939     3.3     2.9     8.9    14.9    21.3    25.1    28.6    27.2    24.1    16.7     9.0     6.5    15.0    27.0    16.6     3.4    15.7
 1940    -0.3     4.0     8.6    14.7    21.1    25.8    28.3    27.0    23.0    17.8     7.6     5.1    14.8    27.0    16.1     4.1    15.2
 1941     2.5     4.5     7.6    15.1    21.1    24.6    27.7    27.0    22.6    16.2     9.3     4.9    14.6    26.5    16.0     3.9    15.3
 1942     3.3     3.5     8.6    15.8    19.8    24.7    28.1    26.7    22.6    16.9     9.1     2.2    14.8    26.5    16.2     3.3    15.1
 1943     1.2     6.5     7.5    15.6    19.9    25.2    28.3    27.4    22.8    16.7     9.5     4.0    14.3    27.0    16.3     4.3    15.4
 1944     3.5     5.2     7.0    13.1    21.0    24.9    27.7    26.9    22.9    17.7     7.9     2.9    13.7    26.5    16.2     3.7    15.1
 1945     3.0     5.1    10.5    13.8    18.8    23.4    27.4    26.7    22.7    16.5     8.1     1.7    14.4    25.8    15.8     3.4    14.8
 1946     3.2     5.2    10.6    16.1    19.2    25.2    28.1    26.2    22.5    16.1     8.2     4.2    15.3    26.5    15.6     3.3    15.4
 1947     1.9     3.7     7.4    14.2    20.2    23.8    27.8    27.6    23.6    18.5     7.0     4.0    13.9    26.4    16.3     2.9    15.0
 1948     1.7     3.0     7.1    15.3    20.1    25.1    27.4    26.7    23.4    16.4     8.0     2.8    14.2    26.4    15.9     2.1    14.7
 1949     0.6     3.0     8.8    14.7    20.5    24.8    27.9    27.1    22.7    16.4    11.8     3.7    14.7    26.6    17.0     3.6    15.2
 1950     2.9     4.3     8.0    13.3    19.6    24.8    26.6    26.4    21.9    18.2     8.3     3.9    13.6    25.9    16.1     3.4    14.9
 1951     1.6     4.6     6.6    14.0    20.8    24.0    27.9    26.8    22.6    16.0     7.5     2.7    13.8    26.2    15.3     3.3    14.6
 1952     2.5     4.8     6.4    14.6    19.8    26.0    28.2    27.2    23.7    17.3     9.1     3.7    13.6    27.1    16.7     4.5    15.3
 1953     4.3     5.5     9.4    13.6    19.7    26.1    28.3    26.9    24.1    17.9    10.0     4.2    14.2    27.1    17.3     4.6    15.8
 1954     2.3     7.4     7.9    15.9    19.6    25.2    28.7    26.9    23.7    16.9    10.6     3.2    14.5    27.0    17.1     2.7    15.7
 1955     2.2     2.6     8.2    15.0    20.4    23.7    28.1    27.5    23.3    16.9     6.3     2.5    14.5    26.5    15.5     2.4    14.7
 1956     1.7     2.8     8.5    13.8    20.7    25.9    27.5    26.7    23.3    17.0     7.8     4.3    14.3    26.7    16.0     3.8    15.0
 1957     1.3     5.7     8.5    14.2    19.5    25.3    28.2    27.1    22.6    14.8     8.1     4.9    14.1    26.9    15.2     3.7    15.0
 1958     3.0     3.2     6.6    14.4    21.4    24.9    27.2    27.6    22.8    16.5     9.4     3.6    14.1    26.6    16.3     3.2    15.0
 1959     1.6     4.3     7.9    14.6    20.3    25.9    27.6    27.3    22.4    15.5     7.9     4.5    14.3    26.9    15.3     3.0    15.0
 1960     1.5     3.0     5.8    14.9    20.1    25.3    28.1    26.8    23.3    16.6     9.0     3.4    13.6    26.7    16.3     3.9    14.8
 1961     2.9     5.5     8.6    12.9    19.8    25.6    27.5    26.9    21.9    16.1     7.6     1.3    13.8    26.7    15.2     2.5    14.7
 1962     1.1     5.2     6.7    14.9    20.6    24.6    27.2    27.3    22.1    17.3     9.2     3.9    14.1    26.4    16.2     3.2    15.0
 1963     0.6     5.0     9.8    14.6    20.7    24.7    27.8    26.7    23.7    19.2     8.9     2.1    15.0    26.4    17.3     2.8    15.3
 1964     3.0     3.5     6.9    13.9    20.2    24.8    28.3    26.1    22.3    17.0     9.0     1.7    13.7    26.4    16.1     2.4    14.7
 1965     2.5     3.0     6.6    14.5    19.9    23.6    27.0    26.1    21.0    16.6    10.1     4.3    13.7    25.6    15.9     2.3    14.6
 1966    -0.4     2.9     8.8    13.7    19.9    25.0    28.5    26.0    22.6    15.9     9.3     2.9    14.1    26.5    16.0     3.5    14.6
 1967     3.5     4.1    10.0    14.3    19.0    24.3    27.0    26.7    22.5    16.4     8.8     3.1    14.4    26.0    15.9     2.7    15.0
 1968     1.5     3.5    10.3    14.2    19.1    24.9    27.7    26.2    22.4    16.5     7.8     1.4    14.5    26.3    15.6     1.6    14.6
 1969     0.5     2.9     6.3    15.6    21.2    24.3    27.6    27.2    23.3    14.9     8.4     4.4    14.4    26.4    15.5     3.4    14.7
 1970    -0.1     6.1     7.4    13.4    20.9    25.0    27.9    27.5    22.2    14.7     8.6     3.7    13.9    26.8    15.2     2.6    14.8
 1971     0.4     3.6     7.1    14.0    18.9    25.6    27.3    26.8    22.2    16.2     8.1     3.7    13.3    26.5    15.5     3.0    14.5
 1972     1.5     3.7     9.1    13.7    20.2    24.7    27.4    26.8    22.0    14.9     6.3     1.8    14.3    26.3    14.4     2.2    14.3
 1973     0.8     3.9     9.0    13.1    19.8    25.1    27.5    26.9    22.3    17.1     8.3     3.9    14.0    26.5    15.9     3.2    14.8
 1974     1.7     3.9     9.6    14.9    20.3    25.2    28.2    26.2    22.1    16.1     8.4     3.0    14.9    26.5    15.5     2.9    15.0
 1975     2.4     3.1     7.0    11.7    20.2    24.2    27.7    26.5    21.7    16.5     8.5     3.4    13.0    26.1    15.5     4.0    14.4
 1976     2.2     6.4     9.0    15.0    19.6    24.8    27.5    26.7    22.7    14.4     8.2     3.4    14.6    26.3    15.1     3.4    15.0
 1977     0.1     6.7     9.0    16.0    20.6    26.0    28.5    27.0    22.9    16.4     8.2     3.1    15.2    27.2    15.8     1.6    15.4
 1978     0.3     1.5     8.7    14.7    19.9    25.1    28.0    27.1    23.3    16.8     8.7     2.7    14.5    26.7    16.3     0.6    14.7
 1979    -1.4     0.4     8.8    13.9    19.8    24.8    27.6    26.4    23.9    17.4     8.7     4.6    14.2    26.3    16.7     3.5    14.6
 1980     1.7     4.3     7.7    15.2    20.3    25.2    29.0    27.1    23.1    16.1     9.2     3.4    14.4    27.1    16.2     4.9    15.2
 1981     4.9     6.3    10.3    16.6    19.9    25.5    27.5    26.7    22.7    14.9    10.2     3.4    15.6    26.6    15.9     2.3    15.7
 1982    -0.0     3.5     8.5    12.9    20.0    23.7    27.3    26.6    22.0    15.1     7.7     4.7    13.8    25.9    14.9     4.1    14.3
 1983     2.5     5.2     8.4    12.5    19.2    24.5    28.1    28.0    22.8    15.9     8.9    -0.1    13.4    26.8    15.9     2.0    14.6
 1984     1.2     4.9     8.2    13.2    20.1    25.2    27.4    27.0    22.2    15.2     7.9     4.2    13.8    26.5    15.1     2.7    14.7
 1985     1.4     2.3     9.4    15.2    20.9    24.6    28.2    26.2    21.2    15.4     6.6     2.7    15.2    26.3    14.4     4.2    14.5
 1986     4.7     5.1    10.8    14.8    20.4    25.9    27.7    26.4    21.5    15.9     7.8     4.7    15.3    26.7    15.1     4.5    15.5
 1987     3.0     5.8     9.3    16.3    21.4    25.9    27.6    26.9    23.0    16.6     9.4     3.9    15.7    26.8    16.4     3.4    15.8
 1988     1.3     4.9     9.6    15.4    21.3    26.7    28.8    27.7    22.7    15.9     8.6     4.5    15.4    27.7    15.7     3.2    15.6
 1989     2.7     2.5     9.1    15.9    20.2    24.8    28.2    26.6    22.7    16.7     8.6     2.0    15.1    26.5    16.0     3.7    15.0
 1990     4.8     4.3    10.4    15.8    19.7    26.1    27.9    27.2    23.9    16.4     9.7     2.7    15.3    27.0    16.7     3.9    15.7
 1991     1.6     7.3     9.4    15.3    20.9    25.4    27.9    27.2    23.0    17.0     6.9     4.5    15.2    26.8    15.6     4.8    15.5
 1992     3.6     6.2    10.1    15.1    20.5    24.6    26.5    25.6    22.1    16.2     7.2     2.4    15.2    25.6    15.2     2.3    15.0
 1993     1.6     3.0     8.7    14.4    20.9    24.5    27.4    26.6    22.0    16.0     7.8     4.5    14.7    26.2    15.3     3.3    14.8
 1994     2.0     3.3    10.0    15.7    20.7    26.2    27.9    27.2    23.2    15.7     8.2     4.5    15.5    27.1    15.7     4.5    15.4
 1995     3.0     6.1     8.8    14.3    19.5    24.6    27.8    27.8    23.1    16.7     8.5     3.5    14.2    26.7    16.1     3.4    15.3
 1996     1.5     5.1     8.2    14.7    20.5    25.6    27.7    26.8    21.5    15.4     6.8     3.3    14.4    26.7    14.6     3.3    14.7
 1997     1.3     5.4     9.7    12.8    19.9    24.7    27.4    26.4    23.5    15.4     7.9     3.1    14.1    26.2    15.6     4.2    14.8
 1998     3.5     6.0     8.5    14.8    21.2    24.4    28.2    27.2    24.3    16.2     9.4     4.3    14.8    26.6    16.7     4.4    15.7
 1999     3.0     5.9     8.6    14.0    19.7    24.5    27.8    27.1    22.5    16.4    11.3     4.5    14.1    26.4    16.7     5.1    15.5
 2000     3.1     7.8    10.8    15.1    20.9    25.0    27.4    27.2    22.7    16.2     6.4     1.5    15.6    26.5    15.1     3.1    15.3
 2001     3.2     4.5     7.8    15.2    20.8    25.4    27.6    27.6    23.1    15.8    10.8     4.2    14.6    26.9    16.6     4.8    15.5
 2002     4.5     5.8     8.1    15.0    19.9    25.9    28.6    26.9    23.5    14.6     9.2     4.9    14.3    27.1    15.8     4.1    15.6
 2003     3.5     3.9     9.2    14.9    20.1    24.6    28.6    27.8    22.5    17.7     8.7     4.3    14.7    27.0    16.3     3.1    15.5
 2004     1.1     4.0    10.7    15.5    21.1    24.9    27.5    26.1    22.7    16.3     9.2     4.7    15.8    26.2    16.0     4.4    15.3
 2005     2.8     5.7     9.3    15.1    20.1    25.4    28.6    27.4    24.1    16.6     9.4     3.6    14.8    27.1    16.7     4.9    15.7
 2006     5.5     5.6     8.5    16.1    21.3    26.1    29.1    27.0    22.1    15.6     9.1     5.4    15.3    27.4    15.6     3.6    15.9
 2007     2.2     3.3    10.4    14.4    21.2    25.7    28.2    28.1    23.7    17.2    10.1     3.7    15.3    27.3    17.0     3.3    15.7
 2008     1.9     4.4     8.6    14.3    19.9    25.3    27.7    26.7    22.7    15.7     8.9     3.2    14.2    26.6    15.8     3.7    14.9
 2009     2.3     5.6     8.7    14.3    20.9    24.8    27.5    26.5    23.3    14.0    10.2     1.8    14.6    26.2    15.9     2.1    15.0
 2010     1.5     3.0     9.5    15.7    20.2    25.4    27.9    27.8    23.8    17.7     9.3     2.4    15.1    27.0    17.0     2.8    15.3
 2011     1.9     4.2     9.1    14.7    19.8    25.5    28.7    28.1    23.6    17.0     8.8     4.9    14.6    27.4    16.5     5.0    15.5
 2012     3.8     6.3    12.2    16.4    21.6    26.3    29.2    27.8    23.5    16.0    10.1     4.3    16.7    27.8    16.5     4.1    16.5
 2013     3.5     4.5     8.2    13.2    20.3    26.2    28.1    27.2    23.4    16.4     8.4     2.6    13.9    27.2    16.1     3.3    15.2
 2014     3.9     3.4     8.8    15.3    21.3    25.1    27.5    27.0    23.4    17.5     8.1     5.4    15.2    26.5    16.3     4.4    15.6
 2015     3.4     4.4    11.1    15.8    20.9    26.4    28.0    27.2    24.2    17.9    10.1     6.1    15.9    27.2    17.4     6.0    16.3
 2016     4.0     8.0    12.1    16.2    20.8    26.9    28.7    27.7    23.9    18.4    11.7     3.4    16.4    27.8    18.0  -999.0    16.8
