Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Andorra              : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -0.6    -3.2     1.6     6.1     8.8    14.3    16.1    15.6    12.9     7.1     1.4    -0.6     5.5    15.3     7.1    -0.1     6.6
 1902    -0.4     0.6     4.0     6.9     6.7    11.7    16.3    15.4    12.2     7.2     3.1     0.5     5.9    14.5     7.5     0.5     7.0
 1903    -0.3     1.2     3.7     4.1     8.6    11.4    15.1    15.4    12.4     9.0     3.4    -0.3     5.5    14.0     8.3     0.2     7.0
 1904    -0.2     1.2     2.1     6.3    10.5    13.7    17.6    16.6    11.6     8.3     2.1     1.1     6.3    16.0     7.3    -0.4     7.6
 1905    -1.7    -0.7     4.0     6.5     7.8    12.9    17.4    15.5    12.2     5.4     2.2    -0.3     6.1    15.3     6.6    -0.3     6.8
 1906     0.2    -0.7     2.0     4.2     8.6    13.5    15.8    16.9    12.7     9.0     3.3    -0.8     4.9    15.4     8.3    -1.2     7.1
 1907    -1.3    -1.4     2.6     4.7     8.3    12.7    14.6    16.2    13.2     8.0     3.9     2.5     5.2    14.5     8.4     0.9     7.0
 1908    -0.5     0.7     1.6     3.9    10.6    12.6    15.4    15.1    12.6     9.0     3.5     0.7     5.4    14.4     8.4    -1.0     7.1
 1909    -1.6    -2.0     1.6     6.3     9.1    10.8    14.1    15.4    11.3     9.1     2.1     1.7     5.7    13.4     7.5     1.1     6.5
 1910     0.1     1.5     2.6     4.6     7.4    12.7    14.3    14.8    11.2     8.2     3.0     1.7     4.9    13.9     7.5    -0.1     6.8
 1911    -2.3     0.4     2.6     4.3     8.8    12.2    17.5    17.7    14.7     8.1     4.0     2.4     5.2    15.8     8.9     2.0     7.5
 1912     0.8     2.8     4.9     4.8    10.0    12.3    14.8    13.6    10.2     7.1     1.3     0.2     6.6    13.6     6.2     0.7     6.9
 1913     1.4     0.5     3.7     4.8     9.0    13.2    14.6    15.3    12.1     8.8     5.2     0.1     5.8    14.4     8.7    -0.2     7.4
 1914    -2.8     2.0     4.1     6.4     8.3    11.3    14.7    15.0    12.8     7.6     2.5     1.4     6.3    13.7     7.6     0.2     6.9
 1915    -0.5    -0.2     2.4     4.2     9.9    13.1    15.5    15.5    11.7     6.5     2.1     2.5     5.5    14.7     6.8     1.4     6.9
 1916     0.9     0.9     2.3     5.5     9.7    11.6    15.2    16.0    11.4     8.1     3.5     1.2     5.8    14.3     7.7    -0.5     7.2
 1917    -1.8    -1.0     1.3     3.3     9.9    13.4    15.9    14.7    13.9     6.4     2.5    -1.6     4.8    14.7     7.6    -0.5     6.4
 1918    -0.4     0.4     2.1     4.0     9.4    11.8    15.5    15.6    13.1     6.0     2.9     1.6     5.2    14.3     7.3     0.5     6.8
 1919    -0.8     0.8     2.6     4.1     9.1    13.2    13.5    16.3    13.5     5.5     0.9     0.4     5.3    14.3     6.6     1.0     6.6
 1920     1.0     1.5     3.6     5.8    10.9    12.6    15.3    14.3    12.3     7.9     2.2    -0.2     6.8    14.1     7.5     0.3     7.3
 1921     1.0     0.2     2.8     4.5     9.4    13.4    17.2    15.6    14.6    10.8     2.1     0.4     5.6    15.4     9.2     0.3     7.7
 1922    -0.7     1.1     3.2     4.7    10.7    12.5    14.8    15.6    10.8     7.6     2.0     0.0     6.2    14.3     6.8     0.4     6.9
 1923    -0.6     1.9     3.9     5.6     9.6    11.2    17.1    17.2    12.3     9.8     3.0     0.2     6.4    15.2     8.4    -0.4     7.6
 1924     0.0    -1.5     3.1     5.9    11.1    13.3    16.4    14.0    13.0     8.6     4.0     0.8     6.7    14.6     8.5     0.7     7.4
