Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Belgium              : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -0.2    -1.4     3.6     9.2    12.5    15.8    19.1    17.3    14.6    10.4     4.5     2.8     8.5    17.4     9.8     2.5     9.0
 1902     4.2     0.4     5.8     9.0     9.3    15.5    16.3    15.6    13.4     8.7     4.2     0.8     8.0    15.8     8.8     3.0     8.6
 1903     2.8     5.5     7.4     5.5    13.1    14.7    16.5    15.9    14.8    11.4     5.9     0.9     8.7    15.7    10.7     1.5     9.5
 1904     0.6     3.1     4.2     9.7    12.9    15.1    19.2    17.1    12.7     9.8     5.0     4.4     8.9    17.1     9.2     2.8     9.5
 1905     0.7     3.4     6.5     7.2    12.1    17.1    18.7    16.8    13.5     6.5     4.4     2.7     8.6    17.5     8.1     2.7     9.1
 1906     3.3     2.2     4.5     8.1    13.0    14.8    17.3    17.6    14.4    12.3     7.5     1.0     8.5    16.6    11.4     1.1     9.7
 1907     1.8     0.6     5.3     7.9    13.0    14.5    14.9    16.5    14.7    11.8     6.3     3.7     8.8    15.3    10.9     2.2     9.3
 1908    -0.7     3.6     3.9     6.6    13.8    16.9    17.4    15.7    14.0    10.5     4.6     1.5     8.1    16.6     9.7     1.0     9.0
 1909     0.9     0.8     3.6     9.3    11.9    13.7    15.2    17.1    13.6    11.7     4.2     3.6     8.3    15.3     9.8     3.8     8.8
 1910     3.4     4.3     5.8     8.2    12.7    16.6    15.9    16.7    13.9    11.2     4.0     5.5     8.9    16.4     9.7     3.4     9.9
 1911     1.0     3.7     5.7     7.8    14.1    15.3    19.7    20.7    15.8    10.9     6.2     5.6     9.2    18.6    11.0     4.3    10.6
 1912     2.3     5.0     7.9     8.7    12.8    15.7    18.8    14.7    11.0     8.7     5.2     5.9     9.8    16.4     8.3     4.3     9.7
 1913     3.2     3.9     7.6     9.1    13.3    15.1    15.1    16.1    14.4    11.6     8.7     3.9    10.0    15.4    11.6     3.2    10.2
 1914    -0.5     6.1     6.5    11.0    11.8    14.8    17.9    18.2    14.2    10.1     5.4     5.4     9.8    17.0     9.9     4.0    10.1
 1915     3.0     3.5     4.4     8.0    13.5    17.0    16.6    16.4    13.8     8.4     3.1     5.9     8.6    16.7     8.4     5.1     9.5
 1916     6.2     3.3     5.2     9.2    13.7    13.1    16.1    17.2    13.8    10.7     6.2     3.2     9.4    15.5    10.2     0.5     9.8
 1917    -0.4    -1.4     2.5     5.2    15.6    18.5    17.6    17.0    15.4     8.5     7.3     0.2     7.8    17.7    10.4     2.6     8.8
 1918     3.1     4.4     5.6     8.7    14.7    14.1    17.1    17.1    13.9     9.6     5.0     6.3     9.7    16.1     9.5     3.4    10.0
 1919     2.5     1.3     4.7     6.8    13.9    15.6    14.6    17.2    15.3     7.5     2.7     4.1     8.5    15.8     8.5     4.8     8.8
 1920     4.5     5.8     8.0     9.8    14.0    16.1    17.1    15.3    14.0     9.5     3.7     2.6    10.6    16.1     9.1     4.2    10.0
 1921     6.3     3.7     7.4     9.3    14.1    15.6    19.6    17.8    15.2    13.7     1.7     3.3    10.2    17.7    10.2     2.2    10.6
