Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Congo                : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.4    25.1    24.8    25.1    24.3    23.4    23.0    22.8    23.6    24.6    24.5    24.5    24.7    23.1    24.2    24.6    24.2
 1902    24.7    24.6    25.2    25.0    24.7    23.9    22.9    23.7    24.3    24.6    24.5    24.5    25.0    23.5    24.5    25.0    24.4
 1903    25.1    25.5    25.8    25.4    24.7    23.3    23.1    23.6    24.6    24.6    24.5    24.5    25.3    23.4    24.6    24.7    24.6
 1904    24.7    24.8    24.8    24.9    24.5    23.7    22.4    22.8    24.6    24.6    24.5    24.5    24.8    23.0    24.6    25.1    24.2
 1905    25.1    25.7    26.2    25.9    25.1    23.6    22.8    23.8    24.0    24.6    24.5    24.5    25.7    23.4    24.4    24.7    24.7
 1906    24.5    25.2    25.7    25.8    24.6    23.8    23.2    23.4    24.6    24.6    24.5    24.5    25.4    23.5    24.6    24.7    24.5
 1907    24.3    25.4    25.4    25.3    24.9    23.8    24.1    24.1    24.5    24.6    24.5    24.5    25.2    24.0    24.5    24.5    24.6
 1908    24.3    24.8    25.3    25.4    24.5    22.8    23.1    22.3    23.9    24.6    24.5    24.5    25.0    22.8    24.3    24.9    24.2
 1909    24.7    25.4    25.5    25.8    25.0    24.9    24.2    24.7    25.0    24.6    24.5    24.5    25.4    24.6    24.7    24.3    24.9
 1910    24.0    24.5    24.7    24.5    24.8    24.6    23.7    23.3    23.8    24.6    23.7    24.0    24.7    23.9    24.0    24.4    24.2
 1911    24.2    24.9    26.0    25.8    25.6    24.3    23.7    23.6    24.3    24.6    24.5    24.5    25.8    23.9    24.5    25.1    24.7
 1912    24.8    26.1    26.3    26.2    25.4    24.7    23.0    23.8    24.1    24.1    23.6    24.4    26.0    23.8    23.9    24.5    24.7
 1913    24.4    24.6    25.0    25.2    25.0    23.2    22.9    23.5    23.9    24.6    24.5    24.5    25.0    23.2    24.3    25.1    24.3
 1914    25.3    25.5    26.2    25.6    24.8    23.6    22.9    23.5    24.7    24.6    24.5    24.5    25.6    23.4    24.6    24.9    24.7
 1915    24.7    25.4    25.2    25.3    23.8    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.8    23.5    24.4    24.9    24.4
 1916    24.7    25.4    25.0    24.5    24.2    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.6    23.5    24.4    24.9    24.3
 1917    24.7    25.4    24.9    25.0    24.8    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.9    23.5    24.4    24.9    24.4
 1918    24.7    25.4    25.7    24.8    23.9    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.8    23.5    24.4    24.9    24.4
 1919    24.7    25.4    25.7    25.7    22.9    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.7    23.5    24.4    24.9    24.4
 1920    24.7    25.4    25.7    24.7    24.1    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.8    23.5    24.4    24.9    24.4
 1921    24.7    25.4    25.0    25.0    24.4    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.8    23.5    24.4    24.9    24.4
 1922    24.7    25.4    24.9    25.1    24.2    23.9    23.1    23.4    24.1    24.6    24.5    24.5    24.7    23.5    24.4    24.9    24.4
