Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = France               : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.3    -0.1     4.6     9.9    13.0    17.0    19.1    18.1    15.6    10.7     4.7     3.5     9.2    18.0    10.3     3.5     9.9
 1902     4.0     3.1     7.2    10.5     9.8    15.2    18.3    17.4    14.9    10.2     6.0     3.2     9.2    17.0    10.4     4.1    10.0
 1903     3.5     5.6     7.5     6.9    12.8    14.8    17.4    17.4    15.5    12.2     6.8     2.6     9.1    16.5    11.5     3.3    10.3
 1904     2.7     4.5     5.5    10.4    13.7    16.4    20.3    18.6    13.9    11.1     5.3     4.6     9.8    18.5    10.1     3.3    10.6
 1905     1.4     3.8     7.3     9.3    11.7    16.6    20.1    17.7    14.9     7.9     5.6     3.6     9.4    18.1     9.4     3.6    10.0
 1906     4.1     3.0     5.5     8.6    12.7    16.0    18.3    19.0    15.4    12.8     7.5     2.0     8.9    17.8    11.9     2.1    10.4
 1907     2.3     1.8     6.0     8.3    12.8    15.2    16.5    18.0    16.1    11.8     7.5     5.5     9.0    16.6    11.8     3.8    10.2
 1908     1.4     4.5     5.0     7.5    14.3    17.1    18.0    17.0    14.7    11.8     6.1     3.5     8.9    17.3    10.9     2.3    10.1
 1909     1.8     1.7     4.6    10.4    12.7    14.3    16.2    17.9    14.2    12.3     4.9     4.9     9.2    16.1    10.5     4.7     9.7
 1910     4.0     5.2     6.5     8.5    11.8    16.2    16.5    17.3    14.1    11.9     5.8     6.0     8.9    16.7    10.6     3.8    10.3
 1911     1.2     4.2     6.4     8.3    13.5    15.9    20.8    21.0    17.4    11.6     7.4     6.3     9.4    19.2    12.1     5.8    11.2
 1912     4.4     6.6     8.5     9.1    13.7    15.7    17.9    15.3    12.5     9.9     5.2     5.3    10.4    16.3     9.2     4.9    10.3
 1913     5.1     4.3     7.8     9.1    12.9    15.9    16.3    17.4    15.2    12.3     9.2     3.9     9.9    16.5    12.2     3.5    10.8
 1914     0.3     6.2     7.4    11.2    12.0    15.1    17.3    18.2    15.2    10.6     6.1     5.7    10.2    16.9    10.6     4.4    10.4
 1915     3.5     4.1     5.5     8.4    14.3    17.3    17.3    17.3    14.5     9.4     4.5     7.0     9.4    17.3     9.4     5.9    10.3
 1916     6.1     4.7     5.9     9.5    13.7    14.0    17.3    18.2    14.2    11.4     7.0     4.3     9.7    16.5    10.9     2.2    10.5
 1917     1.1     1.1     4.2     6.6    15.1    17.8    18.2    17.2    16.5     9.5     7.1     0.9     8.6    17.8    11.0     3.1     9.6
 1918     3.5     5.0     6.3     8.5    14.2    14.8    18.0    18.1    15.4     9.7     6.3     6.5     9.7    16.9    10.5     4.5    10.5
 1919     3.4     3.5     6.1     7.5    13.6    16.5    15.8    19.1    16.5     8.4     4.4     5.1     9.1    17.1     9.7     5.5    10.0
 1920     5.3     6.2     8.1     9.9    14.8    16.1    17.6    16.5    15.2    11.3     5.6     3.8    10.9    16.7    10.7     4.8    10.9
 1921     6.4     4.2     7.2     8.9    13.8    16.9    20.7    18.2    17.0    14.3     4.5     4.3    10.0    18.6    11.9     3.9    11.4
 1922     3.1     4.4     6.7     7.9    15.0    16.5    16.7    17.2    13.6     9.3     5.3     4.4     9.9    16.8     9.4     4.7    10.0
 1923     3.6     6.2     7.5     9.4    12.4    13.7    20.2    18.9    15.2    12.7     5.6     3.7     9.8    17.6    11.1     3.1    10.8
 1924     3.4     2.1     6.3     9.3    14.3    16.2    18.2    15.8    15.5    11.8     7.1     4.5    10.0    16.7    11.4     5.0    10.4
 1925     4.8     5.6     4.1     9.2    13.0    17.0    18.0    17.8    13.5    11.8     4.9     3.8     8.7    17.6    10.1     5.3    10.3
 1926     3.9     8.1     7.2    10.5    11.5    14.5    18.2    18.6    17.5    11.8     8.5     2.5     9.7    17.1    12.6     3.7    11.1
 1927     4.3     4.3     7.7     9.9    13.7    15.8    18.1    17.7    15.3    11.4     6.8     3.0    10.5    17.2    11.2     4.7    10.7
 1928     4.9     6.2     7.1     9.4    11.5    16.1    20.6    19.3    15.7    11.5     8.1     3.6     9.3    18.7    11.8     1.2    11.2
 1929     0.2    -0.3     6.5     7.7    13.3    16.4    19.1    18.1    18.3    11.7     7.4     6.4     9.2    17.9    12.5     5.1    10.4
