Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Ghana                : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.8    28.5    28.0    28.5    26.6    26.5    25.6    25.2    25.6    26.8    27.3    24.7    27.7    25.7    26.6    26.0    26.5
 1902    25.2    28.2    28.9    30.0    28.5    24.9    25.7    25.6    25.6    25.1    27.5    26.4    29.1    25.4    26.1    27.4    26.8
 1903    26.9    28.9    29.4    29.1    28.0    26.5    25.5    25.3    25.7    27.0    27.2    26.4    28.9    25.7    26.6    27.2    27.2
 1904    26.7    28.4    29.4    29.1    28.2    26.7    25.6    25.4    26.0    27.0    27.4    26.6    28.9    25.9    26.8    26.0    27.2
 1905    25.5    25.8    27.8    29.0    28.0    25.8    25.7    24.6    25.7    26.7    28.4    27.4    28.3    25.4    26.9    27.1    26.7
 1906    25.9    28.1    29.6    31.4    28.3    27.1    25.1    24.6    27.0    27.3    27.7    27.5    29.8    25.6    27.3    26.9    27.5
 1907    26.6    26.5    28.2    28.4    29.0    26.4    26.3    25.1    26.2    28.8    27.5    25.2    28.5    25.9    27.5    26.5    27.0
 1908    26.5    27.8    28.7    29.7    29.4    27.6    26.4    24.7    26.1    26.5    26.4    25.6    29.3    26.2    26.3    27.5    27.1
 1909    26.7    30.1    31.9    29.1    27.6    24.8    24.3    23.3    25.8    25.4    27.6    26.5    29.6    24.1    26.3    27.0    26.9
 1910    25.3    29.1    29.0    28.7    28.4    28.3    26.5    25.6    26.4    26.5    27.1    26.4    28.7    26.8    26.7    27.0    27.3
 1911    26.3    28.3    29.0    29.0    27.5    25.3    25.7    24.9    25.5    26.1    27.3    25.2    28.5    25.3    26.3    26.9    26.7
 1912    26.9    28.7    29.0    30.1    28.2    26.7    26.5    25.8    26.6    26.6    26.2    26.3    29.1    26.4    26.4    27.5    27.3
 1913    27.2    28.8    27.1    28.6    28.8    28.4    27.8    27.5    28.0    26.3    24.8    25.0    28.2    27.9    26.3    27.6    27.4
 1914    29.5    28.2    28.4    28.7    29.7    28.4    27.1    25.4    26.5    27.4    29.2    26.3    28.9    27.0    27.7    25.9    27.9
 1915    24.5    27.0    30.3    27.7    27.9    25.1    25.8    25.2    25.1    25.5    26.2    25.1    28.6    25.4    25.6    25.1    26.3
 1916    24.3    25.9    28.9    27.3    26.6    25.3    25.9    23.9    23.9    24.7    24.4    26.5    27.6    25.0    24.3    27.5    25.6
 1917    26.9    29.0    27.1    27.5    26.1    25.1    25.6    25.4    24.1    25.0    23.6    25.8    26.9    25.4    24.2    25.5    25.9
 1918    25.6    25.0    25.8    27.7    26.6    26.6    25.6    23.3    23.9    25.9    25.9    26.5    26.7    25.2    25.2    27.5    25.7
 1919    26.9    29.0    29.5    29.1    28.1    26.6    25.6    25.4    25.8    26.8    27.3    26.5    28.9    25.9    26.6    27.5    27.2
 1920    27.0    29.0    29.5    29.1    28.7    26.6    25.6    25.4    25.8    26.8    27.3    26.5    29.1    25.9    26.6    27.2    27.3
 1921    26.0    29.0    29.5    29.1    29.0    26.6    25.6    25.4    25.8    26.8    27.3    26.5    29.2    25.9    26.6    27.5    27.2
 1922    26.9    29.0    29.5    29.1    28.3    26.6    25.6    23.4    23.5    25.3    26.0    25.5    29.0    25.2    24.9    27.0    26.6
 1923    27.5    28.0    28.7    27.2    28.0    26.4    25.6    24.6    25.5    26.7    26.9    27.1    28.0    25.5    26.3    28.2    26.8
 1924    27.7    29.9    30.0    28.3    28.5    26.2    25.0    25.0    25.7    26.6    26.9    26.0    28.9    25.4    26.4    26.2    27.2
 1925    24.7    28.0    29.5    29.4    28.3    25.6    25.3    25.0    25.4    26.1    27.1    25.7    29.1    25.3    26.2    27.2    26.7
 1926    26.5    29.3    29.6    29.0    27.5    25.6    24.8    25.9    26.5    27.5    27.2    27.0    28.7    25.4    27.0    26.9    27.2
 1927    25.2    28.6    27.8    28.8    27.6    25.3    25.1    24.1    25.6    25.8    26.8    25.9    28.1    24.8    26.1    26.7    26.4
 1928    26.3    27.9    28.2    27.3    27.7    26.5    25.6    24.0    25.4    25.9    26.5    25.7    27.8    25.4    25.9    26.3    26.4
 1929    25.9    27.2    27.9    28.1    28.1    25.6    25.8    24.4    25.8    25.7    25.8    24.6    28.0    25.3    25.8    26.9    26.3
 1930    26.5    29.4    28.8    28.5    27.8    26.0    25.4    25.0    26.1    25.6    28.0    28.0    28.4    25.5    26.6    28.2    27.1
 1931    27.7    28.8    29.5    29.5    28.4    26.8    26.2    26.1    25.0    26.8    27.7    28.3    29.1    26.4    26.5    27.8    27.6
 1932    26.1    28.9    29.2    30.2    28.2    26.5    25.3    25.8    26.0    27.9    28.6    27.7    29.2    25.9    27.5    28.5    27.5
 1933    27.8    30.0    30.0    29.1    27.9    26.2    25.8    25.2    26.3    26.4    27.6    27.1    29.0    25.7    26.7    27.5    27.4
 1934    26.5    28.8    29.3    29.2    28.7    26.6    25.9    25.8    26.5    27.3    28.5    27.1    29.0    26.1    27.4    27.9    27.5
 1935    26.9    29.9    32.3    30.9    28.4    26.0    25.5    25.0    25.8    26.8    27.3    27.2    30.5    25.5    26.6    27.9    27.6
 1936    27.0    29.6    31.1    28.4    27.8    25.9    25.1    24.5    25.1    26.7    27.8    26.1    29.1    25.2    26.5    27.4    27.1
 1937    26.6    29.5    31.2    31.0    29.5    28.0    26.6    26.0    26.5    28.1    29.5    28.8    30.6    26.9    28.0    29.6    28.4
 1938    28.5    31.4    29.9    30.9    30.3    28.9    26.7    25.8    26.9    28.8    30.0    28.0    30.4    27.1    28.6    27.9    28.8
 1939    26.6    29.1    30.7    29.5    28.6    27.5    26.7    25.7    26.1    27.8    29.0    28.4    29.6    26.6    27.6    28.3    28.0
 1940    27.5    29.0    29.5    29.1    28.6    26.6    25.6    25.4    25.8    26.8    27.3    26.5    29.1    25.9    26.6    27.5    27.3
 1941    27.3    28.6    30.4    29.5    28.6    26.9    26.0    26.0    26.8    28.1    28.2    27.3    29.5    26.3    27.7    27.7    27.8
 1942    26.2    29.5    30.0    29.6    27.9    27.1    26.0    25.1    27.0    27.3    28.3    26.4    29.2    26.1    27.5    27.1    27.5
 1943    26.3    28.7    29.4    28.8    27.8    26.4    25.6    25.1    25.9    27.0    27.3    27.3    28.7    25.7    26.7    27.4    27.1
 1944    26.3    28.5    29.1    29.2    29.1    27.2    26.5    25.9    26.4    27.5    27.9    27.2    29.1    26.5    27.3    27.6    27.6
 1945    27.2    28.4    29.0    29.1    28.6    26.9    26.0    25.2    26.3    26.6    27.4    26.1    28.9    26.1    26.8    27.1    27.2
 1946    26.9    28.2    30.1    29.2    28.5    26.2    25.5    24.7    25.5    26.0    27.6    25.9    29.3    25.4    26.4    27.5    27.0
 1947    26.3    30.3    29.2    29.1    28.8    27.0    26.2    25.7    26.1    27.1    26.9    26.6    29.0    26.3    26.7    27.0    27.4
 1948    25.7    28.6    29.0    28.6    27.9    25.9    25.7    25.5    26.2    27.3    26.8    26.4    28.5    25.7    26.7    27.1    27.0
 1949    26.8    28.2    30.2    29.5    28.3    27.1    26.3    25.4    26.3    27.5    27.9    26.8    29.3    26.3    27.2    27.0    27.5
 1950    26.6    27.7    28.7    28.9    28.4    26.9    25.6    24.9    25.6    26.4    26.8    26.2    28.7    25.8    26.3    27.6    26.9
 1951    27.5    29.1    29.6    29.5    27.9    27.3    25.8    25.7    26.5    26.8    27.1    26.6    29.0    26.3    26.8    27.6    27.5
 1952    27.2    28.8    29.7    29.7    28.0    26.7    25.7    25.2    25.6    26.6    27.2    26.7    29.1    25.9    26.4    27.7    27.3
 1953    27.6    28.7    29.1    29.6    27.5    26.1    25.4    25.2    26.0    26.7    27.5    26.3    28.8    25.6    26.7    27.3    27.1
 1954    26.7    28.8    29.3    28.5    27.7    26.0    24.8    24.8    25.6    26.2    27.2    26.7    28.5    25.2    26.3    27.4    26.9
 1955    27.0    28.6    28.8    28.3    27.8    26.0    25.1    25.1    25.4    26.4    27.0    25.9    28.3    25.4    26.2    27.0    26.8
 1956    26.5    28.7    28.6    28.7    27.9    25.9    24.8    24.9    25.7    26.6    27.3    26.3    28.4    25.2    26.5    26.9    26.8
 1957    26.2    28.2    29.2    28.9    27.8    26.4    25.7    25.4    25.7    26.4    27.3    26.9    28.6    25.8    26.5    27.7    27.0
 1958    27.8    28.3    29.9    29.1    28.1    25.9    25.1    25.4    25.7    26.9    27.6    26.7    29.0    25.4    26.8    27.6    27.2
 1959    27.1    28.9    29.6    29.4    27.8    26.6    25.6    25.1    25.7    26.9    27.4    26.3    28.9    25.8    26.7    27.3    27.2
 1960    26.8    28.8    28.9    28.3    28.2    26.2    25.5    25.5    25.9    26.7    27.0    26.7    28.5    25.8    26.5    27.2    27.1
 1961    26.8    28.1    29.4    28.7    28.3    26.1    25.1    24.8    25.4    27.0    27.2    26.3    28.8    25.3    26.5    27.3    26.9
 1962    26.8    28.8    29.5    28.8    27.7    25.7    25.6    24.9    25.5    26.6    27.2    26.2    28.6    25.4    26.4    27.5    26.9
 1963    27.1    29.2    28.9    28.7    27.7    26.9    26.0    25.9    26.5    26.6    26.9    26.7    28.4    26.3    26.7    27.4    27.3
